"","Site","Habitat","NMDS1","NMDS2","NMDS3"
"1","1","Invaded",-0.0891239023595361,-0.476935656542061,-0.149783623470992
"2","2","Restored",0.201877450120504,0.593945913938691,-0.461532742703238
"3","3","Invaded",0.0990364618070957,-0.445478038801012,-0.372974758240828
"4","4","Invaded",0.320060085554814,-0.429207580428929,0.18151233327804
"5","5","Uninvaded",-0.741693266543048,-0.162024159938402,-0.0765293107479069
"6","6","Uninvaded",-0.265734040814822,-0.398804252157555,0.589686293254411
"7","7","Uninvaded",-0.464350705778675,-0.00298846240272451,-0.468644366956432
"8","8","Uninvaded",-0.366687557057963,-0.238384335540609,-0.595885897317126
"9","9","Restored",0.337651565572666,0.306786933305769,-0.199885800948738
"10","10","Uninvaded",-0.893590813643797,-0.0673176706587877,0.166637464859333
"11","11","Invaded",0.448752994401477,-0.158621329017581,0.441784495739668
"12","12","Restored",0.933699374094115,-0.689911511107455,-0.163170903025375
"13","13","Uninvaded",-0.56449777088454,0.173092743123954,0.63640838554737
"14","14","Restored",0.213930864780658,0.769438990420373,0.126413341982672
"15","15","Invaded",0.142381362869285,-0.000653277185055133,0.703863553762165
"16","16","Uninvaded",-1.04780974108413,-0.117720124411721,-0.348207500970873
"17","17","Invaded",0.569597153314568,-0.156445153717972,-0.146589425667194
"18","18","Invaded",0.420895295403064,-0.203534257463823,-0.271281170814954
"19","19","Uninvaded",-0.285809665450223,-0.0767258179263526,0.568956295533801
"20","20","Invaded",0.249163189741865,-0.769935148574207,-0.0122370681798985
"21","21","Restored",0.0467768693520873,0.486300646181249,0.209700455775986
"22","22","Restored",-0.204050914212144,0.510832583647077,-0.288094229842261
"23","23","Restored",0.508330874311764,0.621985722129292,0.170378822901575
"24","24","Restored",0.0920087581146897,0.568953233393463,-0.201628970620461
"25","25","Restored",0.339186078390226,0.363350009734377,-0.0388956731287433
