"","MDS1","MDS2","species"
"Water_Depth",-0.480432445373245,0.254275214284893,"Water_Depth"
"Litter",0.521485087078086,-0.0897797987447834,"Litter"
"Oligochaetae",-0.348603410682872,-0.41632145546021,"Oligochaetae"
"Hirudinea",-0.41890664692927,0.282779957554684,"Hirudinea"
"Hydrozoa",-0.373624354171122,-0.575012559389013,"Hydrozoa"
"Bivalvia",-0.107811621359586,-0.508639395338748,"Bivalvia"
"Gastropoda",-0.29656480799462,-0.545363079184679,"Gastropoda"
"Araneae",0.655362919495742,-0.00830539981651012,"Araneae"
"Isopoda",-0.419515053888937,-0.238826508752854,"Isopoda"
"Ostracoda",-0.240866972820127,-0.420663572884357,"Ostracoda"
"Collembola",0.770750759813327,0.15388784996085,"Collembola"
"Staphylinidae",0.683715713786194,0.187639641783176,"Staphylinidae"
"Hydrophilidae",0.676357530576617,0.0596528936642598,"Hydrophilidae"
"Chironomidae",-0.37877104459064,-0.705795633153995,"Chironomidae"
"Ceratopogonidae",-0.256542711388051,-0.369205320869011,"Ceratopogonidae"
"Dolichopodidae",0.509061427721271,0.0468121909075208,"Dolichopodidae"
"Cecidomyiidae",0.501826237043297,0.21751375959923,"Cecidomyiidae"
"Caenidae",-0.286903574411315,-0.547979395315547,"Caenidae"
"Pleidae",-0.180457192656241,-0.472977603610421,"Pleidae"
"Leptoceridae",-0.178565457081311,-0.553691696824594,"Leptoceridae"
