"","MDS1","MDS3","species"
"Litter",0.475392585991351,-0.404371653769001,"Litter"
"Araneae",0.655191705585512,-0.0251210106680364,"Araneae"
"Collembola",0.757826925663268,0.251550783030398,"Collembola"
"Staphylinidae",0.664948822370158,0.294554973905216,"Staphylinidae"
"Hydrophilidae",0.675460652720815,-0.069426672557656,"Hydrophilidae"
"Curculionidae",0.0880100247152695,-0.603860920214297,"Curculionidae"
"Dolichopodidae",0.447848573649742,0.492468068521827,"Dolichopodidae"
"Stratiomyidae",0.254630442456823,-0.647384802575265,"Stratiomyidae"
"Thysanoptera",0.205680031962518,-0.716970584256709,"Thysanoptera"
"Coenagrionidae",-0.141795424749303,-0.641895124736018,"Coenagrionidae"
