"","benth.SCBD$SCBD"
"Oligochaeta",0.0350025266604673
"Hirudinea",0.0263432710811239
"Hydrazoa",0.0368407092144863
"Bivalvia",0.0360022559775685
"Gastropoda",0.0147904362000385
"Nematoda",0.0606959953186986
"Platyhelminthes",0.0176396991616539
"Acari",0.0631368036743875
"Araneae",0.0270653843831449
"Isopoda",0.10159431281289
"Amphipoda",0.0313849879042779
"Ostracoda",0.0407127881708718
"Collembola",0.06417081115332
"Dytiscidae",0.0101747028175829
"Staphylinidae",0.0198874509006928
"Hydrophilidae",0.0199743669855226
"Lampyridae",0.0306044958052663
"Curculionidae",0.00858099451377027
"Scirtidae",0.00768694263866827
"Chironomidae",0.0280137974184444
"Ceratopogonidae",0.0255952083112735
"Culicidae",0.0104820007408923
"Dolichopodidae",0.00686218705029095
"Sciomyzidae",0.00567541151210734
"Tipulidae",0.022611617179473
"Ephydridae",0.00646096563942954
"Stratiomyidae",0.0112024092174471
"Cecidomyiidae",0.0226593166794581
"Cyclorrhaphous.Bracycera.pupae",0.0111751532881791
"Caenidae",0.0842796327847418
"Pleidae",0.0099683879802911
"Thysanoptera",0.0150031504924717
"Crambidae",0.00953520032376224
"Corduliidae",0.00340741923968578
"Coenagrionidae",0.0187663704946528
"Limnephilidae",0.0302672808021167
"Leptoceridae",0.025745555470854
