"","inv.SCBD$SCBD"
"Oligochaetae",0.0180190538589917
"Hirudinea",0.0886385370316322
"Hydrazoa",0.0456585943160035
"Bivalvia",0.043666791243936
"Gastropoda",0.00129080572415582
"Nematoda",0.0138064865678525
"Platyhelminthes",0.0506185163556164
"Acari",0.00886858126848206
"Araneae",0.0166087152164641
"Isopoda",0.0222668297632299
"Amphipoda",0.00820600314485837
"Ostracoda",0.0131961894560687
"Collembola",0.0463851672765192
"Dytiscidae",0.013545784367328
"Staphylinidae",0.0437906043800703
"Hydrophilidae",0
"Lampyridae",0
"Curculionidae",0.0350938917930737
"Scirtidae",0
"Chironomidae",0.00725703433905731
"Ceratopogonidae",0.010571537352639
"Culicidae",0.069239024978184
"Dolichopodidae",0
"Sciomyzidae",0
"Tipulidae",0.0361475664732252
"Ephydridae",0
"Stratiomyidae",0.0496302577302186
"Cecidomyiidae",0.0891290503466942
"Cyclorrhapha",0.0422550495472484
"Caenidae",0.00637363095684344
"Pleidae",0.040414207927662
"Thysanoptera",0.0286540412277901
"Crambidae",0
"Corduliidae",0
"Coenagrionidae",0.0849591714525381
"Limnephilidae",0.0380145061583086
"Leptoceridae",0.0276943697453088
