"","trt.SCBD$SCBD"
"Oligochaetae",0.0036233285820904
"Hirudinea",0.155083182822995
"Hydrazoa",0.0358730818208054
"Bivalvia",0.0454743839663874
"Gastropoda",0.00976732721308641
"Nematoda",0.0298652972918795
"Platyhelminthes",0.0302923010576233
"Acari",0.0217248720262966
"Araneae",0.0343192364878288
"Isopoda",0.0141868921169375
"Amphipoda",0.0630286191973428
"Ostracoda",0.0253461942960075
"Collembola",0.00458039041196602
"Dytiscidae",0.0473379441037207
"Staphylinidae",0
"Hydrophilidae",0
"Lampyridae",0
"Curculionidae",0
"Scirtidae",0
"Chironomidae",0.0129260262870472
"Ceratopogonidae",0.00764567336498224
"Culicidae",0
"Dolichopodidae",0
"Sciomyzidae",0.0217530838440546
"Tipulidae",0
"Ephydridae",0.0489704592827377
"Stratiomyidae",0.0376625891535287
"Cecidomyiidae",0.0622208041069974
"Cyclorrhapha",0
"Caenidae",0.00378899307320078
"Pleidae",0.0922944606739539
"Thysanoptera",0
"Crambidae",0.0498001271908018
"Corduliidae",0.0376625891535287
"Coenagrionidae",0.0516941486843347
"Limnephilidae",0.0177613176952388
"Leptoceridae",0.035316676094625
