ID,Habitat,Sample Type,Collection date,Water_Depth,Litter,Standing_Dead,Oligochaetae,Hirudinea,Hydrozoa,Bivalvia,Gastropoda,Nematoda,Platyhelminthes,Acari,Araneae,Isopoda,Amphipoda,Ostracoda,Collembola,Dytiscidae,Staphylinidae,Hydrophilidae,Lampyridae,Curculionidae,Scirtidae,Chironomidae,Ceratopogonidae,Culicidae,Dolichopodidae,Sciomyzidae,Tipulidae,Ephydridae,Stratiomyidae,Cecidomyiidae,Cyclorrhapha,Caenidae,Pleidae,Thysanoptera,Crambidae,Corduliidae,Coenagrionidae,Limnephilidae,Leptoceridae
IN1,Invaded,Vegetation,11-May-18,23.3,0.3,18.3,0.000631114,0.25,0,0,0.01006036,0.002624672,0.1428571,0.01150527,0,0.03826087,0.2352941,0,0.1020408,0,0,0,0,0,0,0.003364486,0.002985075,0,0,0,0,0,0,0.3333333,0.25,0,0,0,0,0,0,0,0
IN2,Invaded,Vegetation,16-May-18,58,0,36,0.02019565,0,0.5365854,0.02040816,0.005030181,0.001749781,0,0,0,0.3826087,0.1764706,0.002739726,0,0,0,0,0,0.5,0,0.002242991,0,0,0,0,0,0,1,0,0,0,0,0.3333333,0,0,0.3333333,0.3333333,0
IN3,Invaded,Vegetation,16-May-18,22.3,1.7,18.5,0.3010413,0.25,0,0.02040816,0.03018109,0.2108486,0,0.03451582,0,0.003478261,0.05882353,0.07397261,0,0.09090909,0.2,0,0,0,0,0.01420561,0.0119403,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666667,0.04878049
IN4,Invaded,Vegetation,14-May-18,28.7,0,18.3,0.001893342,0,0,0,0.01609658,0.001749781,0,0.01534036,0,0.3043478,0.4705882,0.002739726,0.06122449,0,0,0,0,0,0,0.008224299,0.002985075,0,0,0,0.4,0,0,0,0,0.002296211,0.5,0,0,0,0.6666667,0.3333333,0.02439024
IN5,Invaded,Vegetation,16-May-18,42,0,21.7,0.01577785,0,0.04878049,0.08163265,0.0110664,0,0.1428571,0.001917546,0,0.5495652,0.3529412,0,0.2857143,0,0.4,0,0,0,0,0.004485982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0.07317073
IN6,Invaded,Vegetation,11-May-18,26.3,0,12.5,0.01483118,0.25,0.07317073,0.5510204,0.02112676,0.000874891,0,0.01534036,0,0.2573913,0.1764706,0.005479452,0,0,0,0,0,0,0,0.009719626,0.0119403,0,0,0,0,0,0,0,0,0.001148106,0,0,0,0,0,0.5,0.09756097
IN7,Invaded,Vegetation,14-May-18,70.5,0,21.7,0.003786684,1,0,0.04081633,0.01509054,0.000874891,0.1428571,0.001917546,0.1,0.1408696,0.2352941,0.002739726,0,0,0,0,0,0,0,0.004859813,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0.6666667,0.5,0.02439024
IN8,Invaded,Vegetation,11-May-18,48.3,0,6.7,0.2641212,0.75,0.02439024,0.1428571,0.02112676,0.01399825,0,0.01342282,0,0.8052174,0.1176471,0.03287671,0.04081633,0,0,0,0,0,0,0.1420561,0.004477612,0,0,0,0,0,0,0,0,0.004592422,0,0,0,0,0,0.3333333,0
RES1,Treated,Vegetation,15-May-18,26.7,1.7,0,1,0.25,0.5853658,0.02040816,0.9607646,0.1881015,0,1,0,0.2521739,0.2941177,0.1671233,0.02040816,0.09090909,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.3333333,0,0.1951219
RES2,Treated,Vegetation,15-May-18,27.2,0,0,0.1555696,0,0.09756097,0.4897959,0.2987927,0.2169729,0,0.1275168,0.1,0.1634783,0.5882353,0.1753425,0,0,0,0,0,0,0,0.517757,0.06119403,0,0,0,0,0,0,0,0,0.2881745,1,0,0.5,0,0,0,1
