Site ID,Habitat,Sample Type,Collection date,Oligochaeta,Hirudinea,Hydrazoa,Bivalvia,Gastropoda ,Nematoda,Platyhelminthes,Acanthocephala,Acari,Araneae,Isopoda,Amphipoda,Ostracoda,Collembola,Dytiscidae,Staphylinidae,Hydrophilidae,Lampyridae,Curculionidae,Scirtidae,Cryptophagidae,Chironomidae,Ceratopogonidae,Culicidae,Dolichopodidae,Sciomyzidae,Tipulidae,Ephydridae,Tabanidae,Psychodidae,Stratiomyidae,Cecidomyiidae ,Mycetophilidae,Cyclorrhaphous-Bracycera pupae,Caenidae,Corixidae,Pleidae,Sternorrhyncha,Thysanoptera,Crambidae,Corduliidae,Coenagrionidae,Limnephilidae,Leptoceridae,Hydroptilidae,
IN3,Invaded,Vegetation,16-May-18,954,1,0,1,30,241,0,0,36,0,2,1,27,0,1,1,0,0,0,0,0,38,8,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,0,1352
RES4,Treated,Vegetation,15-May-18,139,0,8,15,316,68,0,0,39,0,38,1,35,0,0,0,0,0,0,0,0,1415,48,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,6,1,2194
IN5,Invaded,Vegetation,16-May-18,50,0,2,4,11,0,1,0,2,0,316,6,0,14,0,2,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,431
IN7,Invaded,Vegetation,14-May-18,12,4,0,2,15,1,1,0,2,1,81,4,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,143
UNM2,Uninvaded,Vegetation,14-May-18,7,0,0,1,93,6,0,0,130,10,4,4,2,16,0,5,3,2,0,0,0,102,9,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,2,0,403
UNM6,Uninvaded,Vegetation,14-May-18,16,0,0,2,89,7,0,0,64,1,26,2,0,1,0,0,1,31,2,1,0,86,8,0,0,0,10,3,0,1,0,2,0,0,4,0,0,0,3,0,0,3,3,0,0,366
UNT2,Uninvaded,Vegetation,14-May-18,76,0,0,21,5,80,0,1,73,0,23,3,12,18,0,0,0,0,0,0,0,67,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,386
UNT1,Uninvaded,Vegetation,14-May-18,242,0,0,22,10,117,7,0,148,2,4,1,16,11,0,1,0,5,0,1,0,169,5,0,1,0,4,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,0,781
RES8,Treated,Vegetation,15-May-18,527,3,16,22,129,50,1,0,55,0,403,10,157,0,11,0,0,0,0,0,0,616,26,0,0,0,0,0,0,0,0,0,0,0,181,0,1,0,0,1,0,0,0,4,0,2213
UNM4,Uninvaded,Vegetation,14-May-18,92,0,0,0,45,1,0,0,166,1,10,0,0,31,0,3,9,1,0,0,0,30,12,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,1,0,0,0,0,0,410
IN4,Invaded,Vegetation,14-May-18,6,0,0,0,16,2,0,0,16,0,175,8,1,3,0,0,0,0,0,0,0,22,2,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,2,1,0,263
RESOW,Treated,Vegetation,15-May-18,11,1,0,0,2,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,42
UNM3,Uninvaded,Vegetation,14-May-18,35,0,0,0,36,92,0,0,11,6,9,0,0,2,1,0,0,2,0,0,0,23,11,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,234
RES3,Treated,Vegetation,15-May-18,739,0,38,5,220,91,0,0,168,0,6,1,35,0,1,0,0,0,0,0,0,1747,33,0,0,0,0,5,0,0,0,0,0,0,70,0,0,0,0,0,0,2,0,19,0,3180
IN2,Invaded,Vegetation,16-May-18,64,0,22,1,5,2,0,0,0,0,220,3,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,330
UNM1,Uninvaded,Vegetation,11-May-18,70,0,0,0,8,21,0,0,252,6,0,0,1,49,0,4,5,7,0,0,0,28,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461
IN8,Invaded,Vegetation,11-May-18,837,3,1,7,21,16,0,0,14,0,463,2,12,2,0,0,0,0,0,0,0,380,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1767
IN6,Invaded,Vegetation,11-May-18,47,1,3,27,21,1,0,0,16,0,148,3,2,0,0,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,311
UNM5,Uninvaded,Vegetation,14-May-18,66,1,8,6,47,60,0,1,212,0,15,0,14,13,0,0,1,2,1,4,0,39,15,1,0,2,2,0,0,0,1,1,0,0,3,0,0,0,2,0,1,1,2,0,0,521
IN1,Invaded,Vegetation,11-May-18,2,1,0,0,10,3,1,0,12,0,22,4,0,5,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,73
RES6,Treated,Vegetation,15-May-18,566,0,11,49,144,103,2,0,29,1,516,17,39,0,1,0,0,0,0,0,0,559,40,0,0,0,0,0,0,0,1,0,0,0,384,0,0,0,0,0,2,0,0,7,1,2472
RES5,Treated,Vegetation,15-May-18,112,0,1,27,180,491,0,0,0,1,13,0,71,0,0,0,0,0,0,0,0,239,18,0,0,0,0,0,0,1,0,2,0,0,121,0,1,0,0,0,0,0,0,9,0,1287
RES1,Treated,Vegetation,15-May-18,3169,1,24,1,955,215,0,0,1043,0,145,5,61,1,1,0,0,0,0,0,0,2675,670,0,0,0,0,0,0,0,0,0,0,0,871,3,2,0,0,0,0,1,0,8,0,9851
RES2,Treated,Vegetation,15-May-18,493,0,4,24,297,248,0,0,133,1,94,10,64,0,0,0,0,0,0,0,0,1385,41,0,0,0,0,0,0,0,0,0,0,0,251,0,2,0,0,1,0,0,0,41,0,3089
RES7,Treated,Vegetation,15-May-18,1319,1,41,25,994,1143,0,0,140,0,575,14,365,0,2,0,0,0,0,0,0,1109,132,0,0,1,0,0,0,0,0,1,0,0,180,0,0,0,0,0,0,0,2,3,0,6047
