Site,Visit,Date ,Time,Avg_Can,Depth,Moisture,Temp,DissOx,Quadrat,Litter,Water,St Dead,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCOMOS,CARCRAWE,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CLAMARIS,Chara spp.,CORSTOLO,Eleocharis Spp,Equisetum Spp,fern,FRAVIRGI,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,LYSTHYRS,PHRAUSTR,Polygonum Spp,POTALPIN,Rosa Spp,Solidago Spp.,TYPHA SPP,Unk Forb,UTRINTER
IN1,1,01-Jun-17,14:00,202,35,86.3,20,3.61,1,0,33,25,7.5,0.01,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
IN1,1,01-Jun-17,14:00,210,36,87.9,20.2,6.48,2,0,50,15,15,0,0,1,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
IN1,1,01-Jun-17,14:00,210,35.5,87.5,20.2,5.85,3,0,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0
IN2,1,10-Jun-17,9:00,224,22,58,19.4,3.85,1,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0
IN2,1,10-Jun-17,9:00,232,20,61.2,19.3,5.65,2,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
IN2,1,10-Jun-17,9:00,245,44,66.9,19.3,4.17,3,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
IN3,1,10-Jun-17,10:30,246,38,65.2,18.8,3.73,1,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,33,0,0,0,0,0,0,0
IN3,1,10-Jun-17,10:30,243,34,66.7,18.5,3.91,2,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,66,0,0,0,0,0,0,0
IN3,1,10-Jun-17,10:30,222,33,66.2,18.7,4.73,3,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,25,0,0,0,0,0,0,0
IN4,1,01-Jun-17,15:00,195,38.5,72.5,20.7,5.87,1,0,50,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0
