"","Site","Treatment","Year","N","LCBD"
"1","IN1","Invaded",2018,6,0.0268228457883121
"2","IN2","Invaded",2018,6,0.0410136488551482
"3","IN3","Invaded",2018,6,0.0302848331323975
"4","IN4","Invaded",2018,6,0.0439026196554934
"5","IN5","Invaded",2018,6,0.0406508578215537
"6","IN6","Invaded",2018,6,0.0231402722989284
"7","IN7","Invaded",2018,6,0.0462732709968038
"8","IN8","Invaded",2018,6,0.029489862543921
"9","INOW","Invaded",2018,5,0.045970744884855
"10","RES1","Restored",2018,6,0.0398872146170017
"11","RES2","Restored",2018,6,0.0313720178828735
"12","RES3","Restored",2018,6,0.0350238357190607
"13","RES4","Restored",2018,5,0.0470887816037237
"14","RES5","Restored",2018,4,0.0529903669250588
"15","RES6","Restored",2018,6,0.0450905367278145
"16","RES7","Restored",2018,6,0.0557560596254705
"17","RES8","Restored",2018,6,0.04627138155941
"18","RESOW","Restored",2018,5,0.0351333068849861
"19","UNM1","Uninvaded",2018,6,0.0213807379674808
"20","UNM2","Uninvaded",2018,6,0.0215016378434056
"21","UNM3","Uninvaded",2018,6,0.0249895128085329
"22","UNM4","Uninvaded",2018,6,0.0245324744768496
"23","UNM5","Uninvaded",2018,6,0.0231511357968537
"24","UNM6","Uninvaded",2018,6,0.0345096468338954
"25","UNOW","Uninvaded",2018,5,0.0655466192061951
"26","UNT1","Uninvaded",2018,6,0.0359429551086628
"27","UNT2","Uninvaded",2018,6,0.0322828224353116
