Sites,ID,Treatment,Date,Year,N,YrCol,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Chrysomelida,Collembola,Cecidomyiida,Sciaridae,Scatopsidae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Dolichopodid,Empididae,Psychodidae,Ephydridae,Carnidae,Ulidiidae,Chloropidae,Drosophilida,Muscidae,Anthomyiidae,Stratiomyida,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Scelionidae,Platygastrid,Braconidae,Diapriidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Limnephilida,Psocoptera,Noctuidae,Crambidae,
IN1,IN1,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3333333,0.1282051,0.02508961,0.1428571,0.2,0,0,0,0,0,0.25,0.3333333,0.4285714,0,0,1,0,0,0,0,0.1168831,0,0.09090909,0,0,0,0.07692308,0,0,0,0.5,0,0,0,0,0.08,0,0,0,0,0,0,0,4.95610508
IN2,IN2,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0.25,0,0,1,1,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0.04032258,0.2857143,1,0,1,0.1818182,1,1,0,0,1,0,0,0,0,1,0,0,0.01948052,0,0,0,0,1,0,0,0,0,0.5,0,0.05555556,0,0,0.04,0,0,0,0,0,0,0,11.12289116
IN3,IN3,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1794872,0.01523297,0,0.5,0,0,0,0.3333333,0,0.25,0,0,0,0,0,0,0,0,0,0.09740259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04255319,0.04,0,0,0,0,0,0,0,1.45800925
IN5,IN5,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0.137931,1,0,1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0.1025641,0.203405,0,0.3,0,0,0.3636364,0.3333333,0.5,1,0.3333333,0,0,0,0,1,0,0.3333333,0,1,0,0.2727273,0,0.4,0,0.2307692,0,0,0,1,0,0,0,0,0.04,0,0,0,0,0,0,0,11.0510329
IN6,IN6,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.006272402,0.2857143,0.1,0,0,0,0.6666667,0,0,0,0.1428571,0,0,0,0,0,0,0,0.03246753,0,0,0,0,0,0,0,0,0,0,0,0.05555556,0,0,0,0,0,0,0,0,0,0,3.289533592
IN7,IN7,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0.4102564,0.05824373,0,0.1,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0.6666667,1,0.1428571,0,1,0,0.2,0,0.03846154,0,0,1,0,0,0,0,0,0.04,0,0,0,0,0,0,0,6.90648547
IN8,IN8,Invaded,19-Jun-17,2017,Col._1,2017Col._1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.02419355,0,0,0,0,0.3636364,0,0,0,0,0,0,0,0,0,0,0,0,0.03896104,0,0,0,0,0,0.03846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79858583
INOW,INOW,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02060932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01948052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08510638,0.04,0.1428571,0,0,0,0,0,0,0.30805332
RES1,RES1,Treated,19-Jun-17,2017,Col._1,2017Col._1,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02564103,0.08512545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,1.40076648
RES3,RES3,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02564103,0.516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0.08,0,0,0,0,0,0,0,0.794930236
RES4,RES4,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692308,0.281362,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.006493506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,1.869020976
