"","Sites","ID","Treatment","Date","Year","N","YrCol","NMDS1","NMDS2","NMDS3"
"1","IN1","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",-0.212085460765667,0.10504772412019,-0.150265659914568
"2","IN2","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",-0.303280483388967,0.241973853452415,-0.155509421081255
"3","IN3","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",0.0603426944205152,0.177683214030904,-0.339755216847663
"4","IN5","IN5","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",-0.0830494758475226,0.276208953031517,-0.175594501732784
"5","IN6","IN6","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",-0.25699006861222,0.188240859686076,-0.434600818315143
"6","IN7","IN7","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",0.029336860263506,0.304919552102362,-0.205743045285964
"7","IN8","IN8","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",-0.337090223212695,-0.15019479265648,-0.0319238202970011
"8","INOW","INOW","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",0.37691370130518,-0.324994390896021,0.0855262222941735
"9","RES1","RES1","Treated","19-Jun-17",2017,"Col._1","2017Col._1",-0.0231888943803165,-0.197710947797405,0.230748777420245
"10","RES3","RES3","Treated","19-Jun-17",2017,"Col._1","2017Col._1",0.306857887209474,-0.139382464488373,0.000842827132664085
"11","RES4","RES4","Treated","19-Jun-17",2017,"Col._1","2017Col._1",0.230498661290324,0.0654435646492604,-0.0647224520091295
"12","RES5","RES5","Treated","19-Jun-17",2017,"Col._1","2017Col._1",0.3091119876308,0.0354019137657363,0.35508197369519
"13","RES6","RES6","Treated","19-Jun-17",2017,"Col._1","2017Col._1",-0.0463699118653011,-0.339354895961271,0.0878934499089341
"14","RES7","RES7","Treated","19-Jun-17",2017,"Col._1","2017Col._1",0.190817253268402,-0.465809656627995,-0.0188924770722673
"15","RES8","RES8","Treated","19-Jun-17",2017,"Col._1","2017Col._1",0.33428255718462,0.146199380655203,0.128326131425183
"16","RESOW","RESOW","Treated","19-Jun-17",2017,"Col._1","2017Col._1",0.292570961047089,-0.12095631182105,0.255532085997567
"17","UNM1","UNM1","Uninvaded","19-Jun-17",2017,"Col._1","2017Col._1",-0.198053598946949,0.368149407040922,-0.164920985184575
"18","UNM2","UNM2","Uninvaded","19-Jun-17",2017,"Col._1","2017Col._1",0.217459739809961,0.433201541987641,0.0307235074682497
"19","UNM3","UNM3","Uninvaded","19-Jun-17",2017,"Col._1","2017Col._1",0.0443209496569722,0.486026251617697,0.0732496758742254
"20","UNM4","UNM4","Uninvaded","19-Jun-17",2017,"Col._1","2017Col._1",0.00611675053348024,0.125348969655727,-0.367764945738792
"21","UNOW","UNOW","Uninvaded","19-Jun-17",2017,"Col._1","2017Col._1",0.318449381805742,-0.362640301774443,-0.177913952045673
"22","UNT1","UNT1","Uninvaded","19-Jun-17",2017,"Col._1","2017Col._1",-0.314157396103199,0.026114466334968,-0.0324334648935556
"23","UNT2","UNT2","Uninvaded","19-Jun-17",2017,"Col._1","2017Col._1",-0.339458057279816,-0.0506463687204195,-0.178339782598986
