"","Araneae","Acari","Curculionidae","Staphylinidae","Anthicidae","Erotylidae","Cryptophagidae","Latridiidae","Coccinellidae","Chrysomelidae","Collembola","Cecidomyiidae","Phoridae","Ceratopogonidae","Chironomidae","Culicidae","Dolichopodidae","Empididae","Psychodidae","Ephydridae","Carnidae","Ulidiidae","Chloropidae","Drosophilidae","Muscidae","Anthomyiidae","Stratiomyidae","Tipulidae","Dixidae","Syrphidae","Caenidae","Pteromalidae","Eulophidae","Aphelinidae","Scelionidae","Platygastridae","Braconidae","Diapriidae","Aphididae","Cicadellidae","Anthocoridae","Miridae","Hemerobiidae","Libellulidae","Coenagrionidae","Thysanoptera","Hydroptilidae","Leptoceridae","Molannidae","Polycentropodidae","Phryganeidae","Limnephilidae","Psocoptera","Noctuidae","Crambidae"
"1",0.25,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0.128205128205128,0.025089605734767,0.142857142857143,0.2,0,0,0,0,0,0.25,0.333333333333333,0.428571428571429,0,0,1,0,0,0,0,0.116883116883117,0,0.0909090909090909,0,0,0,0.0769230769230769,0,0,0,0.5,0,0,0,0,0.08,0,0,0,0,0,0,0
"2",0.25,0,0,1,0,0.5,0,0,0,0.25,0,0,0,0,0.0403225806451613,0.285714285714286,1,0,1,0.181818181818182,1,1,0,0,1,0,0,0,0,1,0,0,0.0194805194805195,0,0,0,0,1,0,0,0,0,0.5,0,0.0555555555555556,0,0,0.04,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.179487179487179,0.0152329749103943,0,0.5,0,0,0,0.333333333333333,0,0.25,0,0,0,0,0,0,0,0,0,0.0974025974025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425531914893617,0.04,0,0,0,0,0,0,0
"4",0,0.137931034482759,1,0,0,1,0,0,0.5,0,0,0,0,0.102564102564103,0.203405017921147,0,0.3,0,0,0.363636363636364,0.333333333333333,0.5,1,0.333333333333333,0,0,0,0,1,0,0.333333333333333,0,1,0,0.272727272727273,0,0.4,0,0.230769230769231,0,0,0,1,0,0,0,0,0.04,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00627240143369176,0.285714285714286,0.1,0,0,0,0.666666666666667,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0.0324675324675325,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0.5,1,0,0,0,0.41025641025641,0.0582437275985663,0,0.1,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0.666666666666667,1,0.142857142857143,0,1,0,0.2,0,0.0384615384615385,0,0,1,0,0,0,0,0,0.04,0,0,0,0,0,0,0
"7",1,0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0.0241935483870968,0,0,0,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0.038961038961039,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206093189964158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194805194805195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851063829787234,0.04,0.142857142857143,0,0,0,0,0,0
"9",0.25,0,0,0,0,0,1,0,0,0,0,0,0,0.0256410256410256,0.0851254480286738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0.516129032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.08,0,0,0,0,0,0,0
