ID,Treatment,Date,Year,N,YrCol,Araneae,Acari,Curculionidae,Staphylinidae,Anthicidae,Erotylidae,Cryptophagidae,Latridiidae,Coccinellidae,Chrysomelidae,Collembola,Cecidomyiidae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Dolichopodidae,Empididae,Psychodidae,Ephydridae,Carnidae,Ulidiidae,Chloropidae,Drosophilidae,Muscidae,Anthomyiidae,Stratiomyidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Scelionidae,Platygastridae,Braconidae,Diapriidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Molannidae,Polycentropodidae,Phryganeidae,Limnephilidae,Psocoptera,Noctuidae,Crambidae
IN1,Invaded,19-Jun-17,2017,Col._1,2017Col._1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,28,1,2,0,0,0,0,0,1,1,3,0,0,3,0,0,0,0,18,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
IN2,Invaded,19-Jun-17,2017,Col._1,2017Col._1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,45,2,10,0,2,2,3,2,0,0,7,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
IN3,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
IN5,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,4,1,0,0,2,0,0,1,0,0,0,0,4,227,0,3,0,0,4,1,1,4,1,0,0,0,0,8,0,1,0,154,0,3,0,2,0,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
IN6,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IN7,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,1,4,0,0,0,16,65,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,22,0,11,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
IN8,Invaded,19-Jun-17,2017,Col._1,2017Col._1,4,0,0,0,0,2,0,0,0,0,0,0,1,0,27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INOW,Invaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0
RES1,Treated,19-Jun-17,2017,Col._1,2017Col._1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RES3,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
RES4,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
RES5,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RES6,Treated,19-Jun-17,2017,Col._1,2017Col._1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
RES7,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RES8,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RESOW,Treated,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
UNM1,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,36,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM2,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM4,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,368,0,7,0,0,3,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNOW,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,7,5,1,0,0,0,0
UNT1,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,2,0,0,0,0,0,0,0,1,0,0,0,0,8,27,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
UNT2,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT3,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,0,1,0,0,0,0,0,0,0,0,0,0,0,37,330,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0
UNT4,Uninvaded,19-Jun-17,2017,Col._1,2017Col._1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,54,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,43,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0
IN1,Invaded,16-Jun-18,2018,Col._3,2018Col._3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
