Site ,Treatment,Date,Year,N,YrCol,Araneae,Acari,Carabidae,Anthicidae,Erotylidae,Cryptophagid,Latridiidae,Scirtidae,Coccinellida,Lampyridae,Chrysomelida,Cocc.Larvae,Cecidomyiida,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Psychodidae,Ephydridae,Chloropidae,Agromyzidae,Drosophilida,Muscidae,Anthomyiidae,Stratiomyida,Tabanidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Ceraphronida,Scelionidae,Braconidae,Ichneumonida,Formicidae,Eurytomidae,Mymaridae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Polycentropo,Phryganeidae,Psocoptera,Cosmopterigi,Gracillariid,Noctuidae
IN1,Invaded,28-Jun-17,2017,Col._2,2017Col._2,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.02391171,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05263158,0,1,0.5,0,0,0,0,0.01190476,0,0,0.25,1,0,0,0,0,0,0.1034483,0.2,0.5,0,0,0,0
IN2,Invaded,28-Jun-17,2017,Col._2,2017Col._2,0.125,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.007970571,0,0,0,0,0.125,0,0,1,0,0,0,0,0,0,0,0,0.01754386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN3,Invaded,28-Jun-17,2017,Col._2,2017Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001839362,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN4,Invaded,28-Jun-17,2017,Col._2,2017Col._2,0.0625,0,1,0,0,0,0,1,0,0,0,0,0,0.125,0.06131208,0,0,0,0,0.375,1,0,0,0,0,0,0,0,0,0.1666667,0,0.07017544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06896552,0,0,0,0,0,0
IN5,Invaded,28-Jun-17,2017,Col._2,2017Col._2,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04966278,0.1333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05263158,0,0,0,0,0,0,0,0.01190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN6,Invaded,28-Jun-17,2017,Col._2,2017Col._2,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001226242,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0,0,0,0,0
IN7,Invaded,28-Jun-17,2017,Col._2,2017Col._2,1,0,0,0,0,0,0,0,0,0,1,0,1,0.0625,0.003065604,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.0877193,0,0,0,0,0,0,0,0.02380952,0,0,1,0,0,0,0,0.1666667,0.08333334,0,0,0,0,0,0,0
IN8,Invaded,28-Jun-17,2017,Col._2,2017Col._2,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005518087,0.2,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0.1666667,0,0.03508772,0,1,0,0,0,1,0,0.04761905,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
INOW,Invaded,28-Jun-17,2017,Col._2,2017Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.007357449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.1034483,0,0,0,0,0,0
RES1,Treated,28-Jun-17,2017,Col._2,2017Col._2,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
RES2,Treated,28-Jun-17,2017,Col._2,2017Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3059473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.1034483,0,0,0,0,0,0
RES3,Treated,28-Jun-17,2017,Col._2,2017Col._2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01190476,0,0,0,0,0,1,0,0.1666667,0,0.5862069,0,0,0,0,0,0
RES4,Treated,28-Jun-17,2017,Col._2,2017Col._2,0.0625,1,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.07541385,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
RES5,Treated,28-Jun-17,2017,Col._2,2017Col._2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1293685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02380952,0,1,0,0,0,0,0,0,0,0.5172414,0,0,0,0,0,0
RES6,Treated,28-Jun-17,2017,Col._2,2017Col._2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007970571,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0
RES7,Treated,28-Jun-17,2017,Col._2,2017Col._2,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07234825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES8,Treated,28-Jun-17,2017,Col._2,2017Col._2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.03556101,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03448276,0,0,0,0,0,0
RESOW,Treated,28-Jun-17,2017,Col._2,2017Col._2,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1299816,0.1333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.4166667,0,0,0,0,0,0,0
UNM1,Uninvaded,28-Jun-17,2017,Col._2,2017Col._2,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01348866,0,0,0.5,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.1666667,0,0,0,0,0,0,0,0
UNM2,Uninvaded,28-Jun-17,2017,Col._2,2017Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02636419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,28-Jun-17,2017,Col._2,2017Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01655426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
