"","Site","Treatment","Date","Year","N","YrCol","NMDS1","NMDS2","NMDS3"
"1","IN1","Invaded","28-Jun-17",2017,"Col._2","2017Col._2",-0.047620745011938,-0.00398535216964466,-0.315688306492011
"2","IN2","Invaded","28-Jun-17",2017,"Col._2","2017Col._2",0.320886798710296,0.0886799467117154,0.245025444070736
"3","IN3","Invaded","28-Jun-17",2017,"Col._2","2017Col._2",0.430952095979028,0.312859273425424,-0.136370600720706
"4","IN4","Invaded","28-Jun-17",2017,"Col._2","2017Col._2",0.0209652229038822,0.317970014448101,-0.0454282302945788
"5","IN5","Invaded","28-Jun-17",2017,"Col._2","2017Col._2",0.0369873034340607,-0.327412486178237,0.121594120925309
"6","IN6","Invaded","28-Jun-17",2017,"Col._2","2017Col._2",0.199246011743185,-0.0406755988636685,0.0748239104844099
"7","IN7","Invaded","28-Jun-17",2017,"Col._2","2017Col._2",0.22951174886364,0.0265927900198782,-0.157102482097955
"8","IN8","Invaded","28-Jun-17",2017,"Col._2","2017Col._2",0.24876719945174,0.106020329081174,-0.267524040868599
"9","INOW","Invaded","28-Jun-17",2017,"Col._2","2017Col._2",-0.36486586018271,0.243108964457994,0.090204494717444
"10","RES1","Treated","28-Jun-17",2017,"Col._2","2017Col._2",0.0491453512286195,0.142673912218706,-0.41628777959081
"11","RES2","Treated","28-Jun-17",2017,"Col._2","2017Col._2",-0.427562709810453,0.0263644359460184,0.0944830165995126
"12","RES3","Treated","28-Jun-17",2017,"Col._2","2017Col._2",-0.104159767141806,0.303232575168909,-0.182540591680153
"13","RES4","Treated","28-Jun-17",2017,"Col._2","2017Col._2",-0.240727416880475,0.203709543396033,-0.299060740825029
"14","RES5","Treated","28-Jun-17",2017,"Col._2","2017Col._2",-0.46978281918344,0.210738520388956,-0.130975852489754
"15","RES6","Treated","28-Jun-17",2017,"Col._2","2017Col._2",0.159886024143349,-0.232369914538199,-0.334629295825908
"16","RES7","Treated","28-Jun-17",2017,"Col._2","2017Col._2",-0.246736872601349,-0.242779827497788,0.0460567708457848
"17","RES8","Treated","28-Jun-17",2017,"Col._2","2017Col._2",0.016073359908415,0.0734872688666906,-0.0639550562816912
"18","RESOW","Treated","28-Jun-17",2017,"Col._2","2017Col._2",-0.0722977240008899,-0.17965156323997,0.132110366598534
"19","UNM1","Uninvaded","28-Jun-17",2017,"Col._2","2017Col._2",0.342382666461939,-0.147648789967635,-0.199990961625321
"20","UNM2","Uninvaded","28-Jun-17",2017,"Col._2","2017Col._2",-0.306081384698026,-0.461457901835226,-0.0639338674795918
"21","UNM3","Uninvaded","28-Jun-17",2017,"Col._2","2017Col._2",-0.462195331931234,-0.305381778759422,-0.292899860762533
"22","UNM4","Uninvaded","28-Jun-17",2017,"Col._2","2017Col._2",0.496534712440206,0.0491821427171112,0.0270562455320256
"23","UNOW","Uninvaded","28-Jun-17",2017,"Col._2","2017Col._2",-0.353472100741729,-0.093595883334807,0.119546572069403
"24","UNT1","Uninvaded","28-Jun-17",2017,"Col._2","2017Col._2",0.139081519094711,0.230690306008272,0.369371766661242
"25","UNT2","Uninvaded","28-Jun-17",2017,"Col._2","2017Col._2",0.230539489580628,0.11819088857158,0.00567003991803343
"26","UNT3","Uninvaded","28-Jun-17",2017,"Col._2","2017Col._2",-0.0134673399599036,-0.0103162797039028,0.18830629312218
"27","UNT4","Uninvaded","28-Jun-17",2017,"Col._2","2017Col._2",0.329289175118079,-0.245793021684229,0.100957978025198
"28","IN1","Invaded","25-Jun-18",2018,"Col._4","2018Col._4",0.0743317898577123,-0.136586331757536,0.310065765642209
"29","IN2","Invaded","25-Jun-18",2018,"Col._4","2018Col._4",0.206871478197023,-0.24386188141193,0.398819852642344
"30","IN3","Invaded","25-Jun-18",2018,"Col._4","2018Col._4",0.187463716112592,-0.43525688622804,0.263535557035061
"31","IN4","Invaded","25-Jun-18",2018,"Col._4","2018Col._4",-0.149159062353983,0.144356912518619,0.40445546843692
"32","IN5","Invaded","25-Jun-18",2018,"Col._4","2018Col._4",0.0398547411491829,-0.472118374201632,0.0103017868239944
"33","IN6","Invaded","25-Jun-18",2018,"Col._4","2018Col._4",0.113469633324494,-0.263871293929119,-0.216829300672728
"34","IN7","Invaded","25-Jun-18",2018,"Col._4","2018Col._4",0.418195483755668,-0.0586263621524006,0.0540598245783464
"35","IN8","Invaded","25-Jun-18",2018,"Col._4","2018Col._4",0.179914201642811,0.0169115697800981,0.37861976136734
"36","INOW","Invaded","25-Jun-18",2018,"Col._4","2018Col._4",-0.413502584288917,-0.192893939457394,0.230869659821337
"37","RES1","Treated","25-Jun-18",2018,"Col._4","2018Col._4",0.0266616471487455,0.0943997955208141,0.0912842148621126
"38","RES2","Treated","25-Jun-18",2018,"Col._4","2018Col._4",-0.0938322999067368,0.208395526450585,0.105870544823491
"39","RES3","Treated","25-Jun-18",2018,"Col._4","2018Col._4",-0.20921247878074,0.373060435734613,0.0203977372631243
"40","RES5","Treated","25-Jun-18",2018,"Col._4","2018Col._4",-0.336798638559651,0.144328269918446,0.150689871949937
"41","RES6","Treated","25-Jun-18",2018,"Col._4","2018Col._4",-0.348829281510085,0.0787784935226631,-0.283024376326051
"42","RES7","Treated","25-Jun-18",2018,"Col._4","2018Col._4",-0.348008041303948,0.108348028169415,-0.0332763922836307
"43","RES8","Treated","25-Jun-18",2018,"Col._4","2018Col._4",-0.216075123640369,-0.0683551017672867,0.278688366864355
"44","UNM1","Uninvaded","25-Jun-18",2018,"Col._4","2018Col._4",0.130245573410617,0.16283611608783,-0.105951202336943
"45","UNM2","Uninvaded","25-Jun-18",2018,"Col._4","2018Col._4",-0.0705330527614829,0.355636226100748,0.213589185651672
"46","UNM3","Uninvaded","25-Jun-18",2018,"Col._4","2018Col._4",-0.095235975214067,-0.328837507545522,-0.258259148961091
"47","UNM4","Uninvaded","25-Jun-18",2018,"Col._4","2018Col._4",0.182106104991331,0.318771398447162,-0.160446132168362
"48","UNM5","Uninvaded","25-Jun-18",2018,"Col._4","2018Col._4",-0.0705211242435137,-0.0865357745739933,-0.411606477676018
"49","UNM6","Uninvaded","25-Jun-18",2018,"Col._4","2018Col._4",0.199886258774212,-0.0649154020002657,-0.346295129679479
"50","UNOW","Uninvaded","25-Jun-18",2018,"Col._4","2018Col._4",-0.217820203948913,0.0965403074358664,0.229231763847148
"51","UNT1","Uninvaded","25-Jun-18",2018,"Col._4","2018Col._4",0.279932447574996,-0.385920624056383,-0.0762041188324986
"52","UNT2","Uninvaded","25-Jun-18",2018,"Col._4","2018Col._4",0.389316183655198,0.472983885740808,0.0425935647922357
