"","Araneae","Acari","Anthicidae","Erotylidae","Cryptophagidae","Latridiidae","Coccinellidae","Lampyridae","Chrysomelidae","Coccinellidae.Larvae","Cecidomyiidae","Ceratopogonidae","Chironomidae","Culicidae","Chaoboridae","Dolichopodidae","Psychodidae","Ephydridae","Chloropidae","Agromyzidae","Drosophilidae","Muscidae","Anthomyiidae","Stratiomyidae","Tabanidae","Dixidae","Syrphidae","Caenidae","Pteromalidae","Eulophidae","Ceraphronidae","Scelionidae","Braconidae","Ichneumonidae","Formicidae","Mymaridae","Aphididae","Cicadellidae","Anthocoridae","Miridae","Hemerobiidae","Libellulidae","Lestidae","Coenagrionidae","Thysanoptera","Hydroptilidae","Leptoceridae","Polycentropodidae","Phryganeidae","Psocoptera","Cosmopterigidae","Gracillariidae","Noctuidae"
"1",0.3125,0,0,0,0,0,0,0,0,0,0,0.0625,0.0239117106069896,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0526315789473684,0,1,0.5,0,0,0,0.0119047619047619,0,0,0.25,1,0,0,0,0,0,0.103448275862069,0.2,0.5,0,0,0,0
"2",0.125,0,0,0.5,0,0,0,0,0,0,0,0,0.00797057020232986,0,0,0,0,0.125,0,0,1,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0.00183936235438381,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.0625,0,0,0,0,0,0,0,0,0,0,0.125,0.0613120784794605,0,0,0,0,0.375,1,0,0,0,0,0,0,0,0,0.166666666666667,0,0.0701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689655172413793,0,0,0,0,0,0
"5",0.0625,0,0,0,0,0,0,0,0,0,0,0,0.049662783568363,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0526315789473684,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.125,0,0,0,0,0,0,0,0,0,0,0,0.00122624156958921,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0
"7",1,0,0,0,0,0,0,0,1,0,1,0.0625,0.00306560392397302,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.087719298245614,0,0,0,0,0,0,0.0238095238095238,0,0,1,0,0,0,0,0.166666666666667,0.0833333333333333,0,0,0,0,0,0,0
"8",0.625,0,0,0,0,0,0,0,0,0,0,0,0.00551808706315144,0.2,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.0350877192982456,0,1,0,0,0,0,0.0476190476190476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0.0625,0.00735744941753525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.103448275862069,0,0,0,0,0,0
"10",0.375,0,0,0,0,0,0,0,0,0,0,0,0.0177805027590435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0.305947271612508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.103448275862069,0,0,0,0,0,0
"12",0,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0119047619047619,0,0,0,0,0,1,0,0.166666666666667,0,0.586206896551724,0,0,0,0,0,0
"13",0.0625,1,0,0,0,0,0,0,0,0,0,0.0625,0.0754138565297364,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0.129368485591662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,1,0,0,0,0,0,0,0,0.517241379310345,0,0,0,0,0,0
"15",0.25,0,0,0,0,0,0,0,0,0,0,0,0.00797057020232986,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0
