ID,Treatment,Date,Year,N,YrCol,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Lampyridae,Anthicidae.L,Cocc.Larvae,Erotylidae.L,Collembola,Cecidomyiida,Sciaridae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Ephydridae,Carnidae,Sciomyzidae,Chloropidae,Agromyzidae,Muscidae,Anthomyiidae,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Scelionidae,Braconidae,Ichneumonida,Pompilidae,Diapriidae,Sphecidae,Crabronidae,Eurytomidae,Mymaridae,Encyrtidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Polycentropo,Phryganeidae,Psocoptera,Cosmopterigi,Gracillariid,Noctuidae,Crambidae
IN1,Invaded,08-Jul-17,2017,Col._3,2017Col._3,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1428571,0,0,0.3636364,0.3636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04545455,0,0,0,0,0,0,0
IN2,Invaded,08-Jul-17,2017,Col._3,2017Col._3,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08958838,0,0,0.4545455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN3,Invaded,08-Jul-17,2017,Col._3,2017Col._3,0.06666667,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05084746,0,0,0,0.1818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01298701,0,0,0,0,0,0,0,0
IN4,Invaded,08-Jul-17,2017,Col._3,2017Col._3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1912833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666667,0,0,0,0,0,0,0,0,0,0
IN5,Invaded,08-Jul-17,2017,Col._3,2017Col._3,0.06666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2300242,0.02857143,0,0.09090909,0,0,0,1,0,0,0,0,0,0,0.3333333,0,0,0,0.1666667,0,1,1,0,0,0,0,0,0,0,0,0,0.001733102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN6,Invaded,08-Jul-17,2017,Col._3,2017Col._3,0.1333333,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.1113801,0.05714286,0,0.4545455,0.2727273,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.06666667,0.06666667,0,0,0,0,0.2352941,0,0,0,0
IN7,Invaded,08-Jul-17,2017,Col._3,2017Col._3,0.06666667,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.004842615,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN8,Invaded,08-Jul-17,2017,Col._3,2017Col._3,0.1333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0212766,0.07506053,0.02857143,0,1,0.4545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,1,0,0,0,0,0.05892548,0,0,0,0,0,0,0,0,0,0,0,0,0.05882353,0,0,0,0
INOW,Invaded,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666667,0,0.02597403,0,0,0,0,0,0,0,0
RES1,Treated,08-Jul-17,2017,Col._3,2017Col._3,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06295399,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES2,Treated,08-Jul-17,2017,Col._3,2017Col._3,0.1333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04255319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03846154,0,0.1666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4090909,0,0,0,0,0,0,0
RES3,Treated,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6004843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.02597403,0.5909091,0,0,0,0,0,0,0
RES4,Treated,08-Jul-17,2017,Col._3,2017Col._3,0.1333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5714286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03896104,0.04545455,0,0,0,0,0,0,0
RES5,Treated,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2566586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.09090909,0,0,0,0,0,0,0
RES6,Treated,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04255319,0.1089588,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01298701,0.2727273,0,0,0,0,0,0,0
RES7,Treated,08-Jul-17,2017,Col._3,2017Col._3,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04255319,0.2857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01298701,0,0,0,0,0,0,0,0
RES7,Treated,08-Jul-17,2017,Col._3,2017Col._3,0.06666667,0.4285714,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1985472,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.1818182,0,0,0,0,0,0,0
RESOW,Treated,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02421308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02597403,0,0,0.25,0,0,0,0,0
UNM1,Uninvaded,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031477,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03333334,0,0,0,0,0,0,0,0.01298701,0.09090909,0,0,0,0,0,0,0
UNM2,Uninvaded,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2348668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05084746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM4,Uninvaded,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004842615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666667,0,0,0,0,0,0,0,0,0
UNOW,Uninvaded,08-Jul-17,2017,Col._3,2017Col._3,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04255319,0.04600484,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
UNT1,Uninvaded,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.01694915,0,0,0,0.1818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0.5,0,0,0,0,0,0,1,0.002599653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT1,Uninvaded,08-Jul-17,2017,Col._3,2017Col._3,0,0,0,0,0,0,0,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.002421308,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333333,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT3,Uninvaded,08-Jul-17,2017,Col._3,2017Col._3,0.8666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840194,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0.03846154,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666667,0.02597403,0,0,0,0,0.375,0,0,0
UNT4,Uninvaded,08-Jul-17,2017,Col._3,2017Col._3,0.1333333,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007263923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0
IN1,Invaded,04-Jul-18,2018,Col._5,2018Col._5,0.2,0,0,0,1,1,0,0.2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0.1525424,0,0,0,0.3636364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03333334,0,0,0,0,0,0,0,0,0.09090909,0,0,0,0,0,0,0
IN2,Invaded,04-Jul-18,2018,Col._5,2018Col._5,0.2,0,0,0,0,0,0,0.2,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0.01210654,0.3428572,0,0,0.7272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666667,0.06666667,0,0,0,0,0.1176471,0,0,0,0
IN3,Invaded,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1719128,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666667,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
IN3,Invaded,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0.4,0,0,0,0,0.5,0,0,0,0,0,1,0,1,0,0.4164649,0.05714286,0,0,0,0,0,1,0,0,0,0,0,0.25,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0.002599653,0.03333334,0,0,0,0.6,0.5,0.06666667,0.06666667,0,0,0,0,0,0,0,0,0
IN5,Invaded,04-Jul-18,2018,Col._5,2018Col._5,0.06666667,0,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0,0,0,0,0,0,0.1016949,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.09090909,0,0,0.1176471,0,0,0,0
IN6,Invaded,04-Jul-18,2018,Col._5,2018Col._5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09443099,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06666667,0,0,0.09090909,0,0,0,0,0,0,0
