ID,Treatment,Date,Year,N,YrCol,Araneae,Acari,Carabidae,Anthicidae,Throscidae,Erotylidae,Latridiidae,Phalacridae,Coccinellida,Lampyridae,Chrysomelida,Cocc.Larvae,Erotylidae.L,Collembola,Cecidomyiida,Scatopsidae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Empididae,Ephydridae,Carnidae,Sciomyzidae,Chloropidae,Muscidae,Calliphorida,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Scelionidae,Platygastrid,Braconidae,Ichneumonida,Pompilidae,Formicidae,Diapriidae,Sphecidae,Crabronidae,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Psocoptera,Cosmopterigi,Gracillariid,Noctuidae,Crambidae
IN1,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0.1690141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678733,0,0,0.25,0,0.2142857,0,0.5,0,0,0,0,0,0,0,0,0,0,0.1818182,0,0,0.3333333,0,0,0,0,0,0.5,0,0,0,0,0,0.03571429,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
IN2,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0.1690141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04298643,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2272727,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.00255102,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0
IN3,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0.01408451,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0.3333333,0.07142857,0.02714932,0,0,0.125,0,0.03571429,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.1811225,0.03571429,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
IN4,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0.1971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857,0.0158371,0.01851852,0,0,0,0.03571429,0,0,0,0,0,0,0,0,0,0,0,0,0.2727273,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.02168367,0.07142857,0,0,0,0.5,0,0,0,0.3,0,0,0,0,0,0,0,0
IN5,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0.2253521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02262443,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1363636,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.00255102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN6,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0.07042254,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1,1,0,0,0.06561086,0,0,0.875,0,0.1071429,0,0,1,0.5,0,1,0,0,0,0,0,0,0.2272727,0.3333333,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0.006377551,0,0,0,0.4285714,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0
IN7,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0.05633803,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.004524887,0,0,0,0,0,0,0,0,0,0,0.5333334,0,0,0,0,0,0,0.04545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02423469,0.07142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN8,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0.1408451,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0.01357466,0,0,0.75,0,0.07142857,0,0,0,0,0,0,0,0,0,0,0,0,0.04545455,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0.4961735,0.07142857,0,0,0.1428571,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0
INOW,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1428571,0.03393665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1481481,0,1,0,0,0,0,0,0,0
RES1,Treated,21-Jul-17,2017,Col._4,2017Col._4,0.05633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857,0.6447964,0,0,0,0,0.03571429,0,0,0,1,0,0,0,0,0,0,0,0,0.04545455,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
RES3,Treated,21-Jul-17,2017,Col._4,2017Col._4,0.1971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8891402,0,0,0,0,0.03571429,0,0.5,0,0,0,0.06666667,0,0,0,0,1,0,0.09090909,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00255102,0,0,0,0.1428571,0,0.125,0,0.2777778,0.2,0,0,0,0,0,0,0,0
RES4,Treated,21-Jul-17,2017,Col._4,2017Col._4,0.1267606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0.280543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.04545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127551,0,0,0,0.2857143,0,0.125,0,0.05555556,0.4,0,0,0,0,0,0,0,0
RES5,Treated,21-Jul-17,2017,Col._4,2017Col._4,0.01408451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7285068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RES6,Treated,21-Jul-17,2017,Col._4,2017Col._4,0.02816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
RES7,Treated,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,1,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0.6428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03703704,0,0,0,0,0,0,0,0,0
RES8,Treated,21-Jul-17,2017,Col._4,2017Col._4,0.05633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2058824,0,0,0,0,0.03571429,0,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00127551,0,0,0,0.1428571,0,0,0,0.01851852,0.3,0,0,0,0,0,0,0,0
UNM1,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0.01408451,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.2857143,0.03846154,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255102,0,0,1,0,0,0,0,0.03703704,0.8,0,0,0,0,0,1,0,0
UNM2,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1561086,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01851852,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5714286,0.1176471,0,0,0,0,0.1785714,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555556,0.2,0,0,0,0,0,0,0,0
UNOW,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01357466,0,0,0,0,0.03571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0.01851852,0,0,0,0,0,0,0,0,0
UNT1,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0.01408451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01851852,0,0,0,0.03571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0
UNT2,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002262444,0.01851852,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0
UNT3,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0.07042254,0,0,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.07142857,0.06561086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.01851852,0.3,0,0,0,0,0.03125,0,0,0
UNT4,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0.9577465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678733,0.01851852,0,0,0,0.03571429,0,0,0,0,0,0,0,0,0,0,0,0,0.1363636,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0
IN1,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0.02816901,0,0,1,0,0.3333333,0.5,0,0,0.2,0,0,0,0,0,0,0,0,0.00678733,0,0,0,0,0.1071429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN2,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0.07042254,0,0,0.5,0,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0.03846154,0.4444444,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6428571,0,0,0.2857143,0,0.25,0,0,0.4,0,0,0,0.1052632,0,0,0,0
IN3,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.1493213,0.05555556,0,0,0,0.03571429,0,0,0,0,0,0.06666667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003826531,0.1071429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IN4,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1428571,0.6719457,0,0,1,0,0.03571429,0,0,0,0,0,0,0,0.1111111,0,0,0.08333334,0,0,0,1,0.3333333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8571429,0,0,0,0,0.2,0,0,0,0.1754386,0,0,0,0.09090909
IN6,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0.1267606,0,0,0,0,0.6666667,0,0,0.2,0.2,0,1,0.3333333,0,0,0,0,0,0.01131222,0.07407407,0,0,0,0.07142857,0.3333333,0,0,0,0,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857,0,0,1,0,0.125,0,0.01851852,0.1,0,0,0,0.01754386,0,0,0,0
IN6,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0.02816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03571429,0,0,1,0,0,0,0.09259259,0,0,0,0,1,0,0,0,0
IN7,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0.1126761,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.5,0,1,0,0.2307692,1,1,0,0,0.03571429,0,0,0,0,0,0,0,0.4444444,0.6666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0.2857143,1,1,0,0,0.3,0,0,1,0.122807,0.03125,0,0,0
IN8,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0.09859155,0,0,0,0,0.3333333,1,0,0,0.2,0,0.2,0,0,0,0,0,0,0.08597285,0.09259259,0,0,0,0.07142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857,0,0.125,0,0.1111111,0,0,0,0,0.01754386,0,0,0,0
INOW,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0.1830986,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.03167421,0,0,0,0,0.03571429,0,0,0,0.5,0,0,0.5333334,0,0,0,0.9166667,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0.05555556,0.2,0,0,0,0,0.03125,0,0,0
RES1,Treated,23-Jul-18,2018,Col._6,2018Col._6,0.01408451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009049774,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES2,Treated,23-Jul-18,2018,Col._6,2018Col._6,0.01408451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857,0.1470588,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857,0,0.625,0,1,0.3,0,0,0,0,0,0,0,1
RES3,Treated,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857,0.1380091,0,0.1111111,0,0,0,0,0,0,0,0,0,0.2,0.1111111,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01851852,0,0,0,0,0,0,0,0,0
RES4,Treated,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01809955,0,0,0,0,0.03571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555556,0,0,0,0,0,0,0,0,0.09090909
RES5,Treated,23-Jul-18,2018,Col._6,2018Col._6,0.04225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6428571,0.2488688,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127551,0,0,0,0,0,0.125,0,0.05555556,0.1,0,0,0,0,0,0,0,0
RES6,Treated,23-Jul-18,2018,Col._6,2018Col._6,0.1971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.07466064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0,0,0,0.01851852,0.1,0,0,0,0,0,0,0,0
RES7,Treated,23-Jul-18,2018,Col._6,2018Col._6,0.04225352,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2142857,0.03846154,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0,0,0.1111111,0.05555556,0.5,0,0,0,0,0,0,0,0
RES8,Treated,23-Jul-18,2018,Col._6,2018Col._6,0.04225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01357466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01851852,0,0,0,0,0,0,0,0,0
RESOW,Treated,23-Jul-18,2018,Col._6,2018Col._6,0.5070422,0,0,0,0,0,0.5,0,0.2,0,0,0.2,0,0,0,0,0,0,0.06108597,0,0,0,0,0.1071429,0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03571429,0,0,0,0,0,0,0.1296296,0.1,0,1,0,0,0,0,0,0
UNM1,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,0.05633803,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0.07142857,0.8280543,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127551,0.03571429,0,0,0,0,0,0.1111111,0,0,0,0,0.5,0,0,0,0,0
UNM3,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0.05429864,0,0,0.125,0,0,0,0,0,0,0,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.007653061,0.03571429,0,0,0.1428571,0,0,0.1111111,0,0,0,0,0,0,0,0,1,0
UNM4,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,0.01408451,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0,0,0,0.07142857,0.04524887,0,0,0,0,0.07142857,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0.6666667,0,0,0,0,0,0,0,1,0,0,0,1,0.6785714,0,0,0,0,0,1,0.01851852,0,0,0,0,0,0,0,0,0.09090909
UNM5,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,0.02816901,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.07692308,0,0,0,0,0,0.3333333,0.5,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003826531,0.1071429,1,0,0,0,0,0.1111111,0,0.1,0,0,0,0,0,0,0,0
UNM6,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,1,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.1428571,0.04524887,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03443877,0,0,0,0.1428571,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0
UNOW,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857,0.06561086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03703704,0,0,0,0.5,0,0,0,0,0
UNT1,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,0.07042254,0,1,0,0,0.3333333,0,0,0,0,1,0,0,0,0,0,0,0,0.09276018,0.537037,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0.3333333,0.6666667,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.03571429,1,0,0,0.5,0,0,0,0.2,0,0,0,0.1754386,1,0,0,0
UNT2,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,0.01408451,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0.002262444,0.05555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0877193,0.03125,0,0,0
UNM2,Uninvaded,23-Jul-18,2018,Col.6,2018Col.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
