,ID,Treatment,Date,Year,N,YrCol,Araneae,Acari,Anthicidae,Erotylidae,Latridiidae,Coccinellidae,Lampyridae,Chrysomelidae,Coccinellidae.Larvae,Erotylidae.Larvae,Collembola,Cecidomyiidae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Chaoboridae,Dolichopodidae,Empididae,Ephydridae,Carnidae,Sciomyzidae,Chloropidae,Muscidae,Calliphoridae,Stratiomyidae,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronidae,Scelionidae,Platygastridae,Braconidae,Ichneumonidae,Formicidae,Diapriidae,Sphecidae,Crabronidae,Mymaridae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Libellulidae,Lestidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Molannidae,Polycentropodidae,Phryganeidae,Psocoptera,Cosmopterigidae,Gracillariidae,Noctuidae,Crambidae
1,IN1,Invaded,21-Jul-17,2017,Col._4,2017Col._4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,IN2,Invaded,21-Jul-17,2017,Col._4,2017Col._4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,IN3,Invaded,21-Jul-17,2017,Col._4,2017Col._4,1,0,0,0,0,2,0,0,1,0,0,0,1,1,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,1,0,0,1,142,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,IN4,Invaded,21-Jul-17,2017,Col._4,2017Col._4,14,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,2,0,0,17,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
5,IN5,Invaded,21-Jul-17,2017,Col._4,2017Col._4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,IN6,Invaded,21-Jul-17,2017,Col._4,2017Col._4,5,0,0,0,0,0,0,0,1,0,0,2,0,0,29,0,0,7,0,3,0,0,1,1,0,15,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
7,IN7,Invaded,21-Jul-17,2017,Col._4,2017Col._4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,IN8,Invaded,21-Jul-17,2017,Col._4,2017Col._4,10,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,389,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,INOW,Invaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0
10,RES1,Treated,21-Jul-17,2017,Col._4,2017Col._4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,285,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
11,RES3,Treated,21-Jul-17,2017,Col._4,2017Col._4,14,0,0,0,0,0,0,0,0,0,0,0,0,14,393,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,12,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0,15,2,0,0,0,0,0,0,0,0
12,RES4,Treated,21-Jul-17,2017,Col._4,2017Col._4,9,0,0,0,0,0,0,0,0,0,0,0,0,2,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,3,4,0,0,0,0,0,0,0,0
13,RES5,Treated,21-Jul-17,2017,Col._4,2017Col._4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
14,RES6,Treated,21-Jul-17,2017,Col._4,2017Col._4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
15,RES7,Treated,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,1,0,0,0,0,0,0,0,0,0,9,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
16,RES8,Treated,21-Jul-17,2017,Col._4,2017Col._4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0
17,UNM1,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,1,0,0,0,1,0,0,0,0,0,0,0,0,4,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,8,0,0,0,0,0,3,0,0
18,UNM2,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,UNM3,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,2,0,0,0,0,0,0,0,0,8,52,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
20,UNOW,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
21,UNT1,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,UNT2,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,UNT3,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,5,0,1,0,0,1,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0
24,UNT4,Uninvaded,21-Jul-17,2017,Col._4,2017Col._4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
25,IN1,Invaded,23-Jul-18,2018,Col._6,2018Col._6,2,0,2,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,IN2,Invaded,23-Jul-18,2018,Col._6,2018Col._6,5,0,1,3,1,0,0,0,0,3,0,0,0,0,17,24,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,2,0,0,4,0,0,0,6,0,0,0,0
27,IN3,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,3,0,0,0,1,0,0,0,0,0,1,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
28,IN4,Invaded,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,297,0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,28,0,0,6,0,0,0,0,2,0,0,0,10,0,0,0,1
29,IN6,Invaded,23-Jul-18,2018,Col._6,2018Col._6,9,0,0,2,0,1,1,0,5,1,0,0,0,0,5,4,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,1,0,1,1,0,0,0,1,0,0,0,0
30,IN6,Invaded,23-Jul-18,2018,Col._6,2018Col._6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,5,0,0,0,0,57,0,0,0,0
31,IN7,Invaded,23-Jul-18,2018,Col._6,2018Col._6,8,0,0,0,0,3,0,0,0,0,0,1,3,0,102,54,9,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,2,2,8,0,0,3,0,0,2,7,1,0,0,0
32,IN8,Invaded,23-Jul-18,2018,Col._6,2018Col._6,7,0,0,1,2,0,1,0,1,0,0,0,0,0,38,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,6,0,0,0,0,1,0,0,0,0
33,INOW,Invaded,23-Jul-18,2018,Col._6,2018Col._6,13,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0
34,RES1,Treated,23-Jul-18,2018,Col._6,2018Col._6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,RES2,Treated,23-Jul-18,2018,Col._6,2018Col._6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,54,3,0,0,0,0,0,0,0,11
36,RES3,Treated,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,RES4,Treated,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
38,RES5,Treated,23-Jul-18,2018,Col._6,2018Col._6,3,0,0,0,0,0,0,0,0,0,0,0,0,9,110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0
39,RES6,Treated,23-Jul-18,2018,Col._6,2018Col._6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
40,RES7,Treated,23-Jul-18,2018,Col._6,2018Col._6,3,0,1,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,5,0,0,0,0,0,0,0,0
