"","NMDS1","NMDS2","X.alltaxa12.vectors..r","X.alltaxa12.vectors..pvals"
"Araneae",-0.944843587887258,0.327521899158414,0.0600369664669171,0.204
"Acari",-0.890245276632767,0.455481445761567,0.052856588642134,0.278
"Curculionida",-0.584616951699097,-0.811309447612966,0.0822994228191647,0.118
"Staphylinida",-0.676630432107034,-0.736322794938911,0.129084423667451,0.026
"Carabidae",-0.986754603942493,0.162220071502552,0.17417515171326,0.009
"Anthicidae",-0.374956075236246,-0.927042578117872,0.333410326478447,0.001
"Throscidae",0.0512552434901878,0.998685586165517,0.10069531662065,0.065
"Erotylidae",-0.928642814138818,-0.3709750985556,0.199298179741799,0.002
"Cryptophagid",-0.999997012226043,0.00244449156019613,0.0437213112841542,0.302
"Latridiidae",-0.471036405360369,-0.882113770907802,0.0639142321440163,0.192
"Phalacridae",-0.279438437324451,-0.960163610925591,0.0362168916860907,0.402
"Scirtidae",-0.762702604491163,0.646749361887893,0.119230458500206,0.033
"Coccinellida",-0.559453916087172,-0.82886145752757,0.136910560886589,0.01
"Lampyridae",-0.550384345789518,-0.834911415606377,0.162683517343917,0.012
"Chrysomelida",-0.93037047544883,-0.366620755567818,0.0622140952934022,0.175
"Nitidulidae",-0.382045796630118,-0.924143392162308,0.170638272020886,0.003
"AnthiciLarv",-0.667522430174038,-0.744589689167495,0.0476149778643355,0.277
"CocciLarvae",-0.379457026611914,-0.92520936276869,0.0178406491754636,0.66
"ErotLarvae",-0.393255274742527,-0.919429327837208,0.094038500236117,0.051
"Collembola",-0.119071890040024,-0.992885635409384,0.129567948513945,0.027
"Cecidomyiida",-0.847015234006312,-0.531568615854278,0.22747657117798,0.001
"Sciaridae",0.31263970225018,-0.949871789546841,0.18919696821295,0.003
"Scatopsidae",-0.454306282006583,0.890845554588087,0.0680794868522265,0.168
"Phoridae",-0.552212075490427,-0.833703678582838,0.147515729285172,0.004
"Ceratopogoni",0.702046527836669,-0.712131078350382,0.057742094011754,0.193
"Chironomidae",0.940057768786416,-0.341015236234842,0.2443436864607,0.002
"Culicidae",-0.494554373214864,-0.86914669183864,0.18173646000404,0.004
"Chaoboridae",-0.434431142196205,-0.90070504755447,0.0474453962425533,0.278
"Dolichopodid",-0.900923301646001,0.433978345717005,0.3004896342176,0.001
"Empididae",0.9683276431438,0.249682950005751,0.109628468420222,0.012
"Psychodidae",-0.853656867266891,0.520835821510078,0.0978584319907096,0.04
"Ephydridae",-0.862258013200963,-0.50646926725195,0.129295159862784,0.027
"Carnidae",-0.993999515835816,0.109384471101541,0.195222158155079,0.002
"Sciomyzidae",0.197847008595337,-0.980232911705109,0.0641179755991353,0.184
"Ulidiidae",-0.8411619456061,0.540783303425836,0.0808941968995111,0.079
"Chloropidae",-0.739656914252616,-0.672984137404663,0.221091461719241,0.001
"Agromyzidae",0.235702856015913,-0.971825171348192,0.0491409478025595,0.289
