"","Site","Treatment","NMDS1","NMDS2","NMDS3"
"1","IN1","Invaded",-0.259530160767298,0.100526897629521,0.339099970677163
"2","IN2","Invaded",-0.540075428287557,0.20363868227233,0.192162270490813
"3","IN3","Invaded",-0.421836666328164,-0.214823747306083,-0.337101853456773
"4","IN4","Invaded",-0.370492247674869,-0.188649181789502,0.0207820430758085
"5","IN5","Invaded",-0.312037588060816,0.204510279118543,0.201746021706829
"6","IN6","Invaded",-0.283055312916378,-0.490872931565074,-0.098333087384984
"7","IN7","Invaded",-0.493563251556299,0.0932316172534142,-0.00371938875729099
"8","IN8","Invaded",-0.179166244531708,0.5238497500342,0.0522845209317215
"9","INOW","Invaded",0.533233845063091,0.54230037850521,0.275923721184307
"10","RES1","Restored",0.381085536947535,-0.485729150192249,0.209741257375369
"11","RES2","Restored",0.230551527406975,-0.336484611940135,-0.204639316132525
"12","RES3","Restored",0.303815310814984,-0.164047900556631,-0.373355686357629
"13","RES4","Restored",0.439286873428227,-0.36269314723686,-0.292242130421009
"14","RES5","Restored",0.649375342006539,-0.231600661941959,0.0582043171098599
"15","RES6","Restored",0.546396834260631,0.063091487632547,-0.0451315091267103
"16","RES7","Restored",0.318912490794982,0.00815377161171946,-0.182962274801034
"17","RES8","Restored",0.577925123017154,-0.251495026145905,0.352543939034325
"18","RESOW","Restored",0.256930169699463,0.402937780668723,-0.286843493456882
"19","UNM1","Uninvaded",0.0257027879268951,0.255875622183493,0.321281703061951
"20","UNM2","Uninvaded",-0.0959920963849868,0.391126978586978,-0.397737865584509
"21","UNM3","Uninvaded",-0.376879002981807,-0.30391533757819,0.390580500880954
"22","UNM4","Uninvaded",-0.290806244030281,0.244884516869272,-0.434686682789438
"23","UNM5","Uninvaded",-0.0947191975262894,-0.0444594407012805,0.432429405358273
"24","UNM6","Uninvaded",-0.375734213178396,0.000855965887239028,0.0908275662442961
"25","UNOW","Uninvaded",0.837023115819141,0.284320850218684,-0.0106987456029002
"26","UNT1","Uninvaded",-0.500607826463592,0.0416894001436751,-0.233927017718353
"27","UNT2","Uninvaded",-0.505743476497175,-0.286222841661681,-0.0362281855416331
