"","MDS1","MDS2","species"
"Anthicidae",-0.216505990856929,-0.535290091820787,"Anthicidae"
"Cecidomyiida",-0.403979714661422,-0.253529014749903,"Cecidomyiida"
"Chironomidae",0.464681201681313,-0.168567693419325,"Chironomidae"
"Dolichopodid",-0.493858538968826,0.237893626869607,"Dolichopodid"
"Chloropidae",-0.347789372370928,-0.316439590103825,"Chloropidae"
"Calliphorida",-0.213448899212132,-0.413755616525168,"Calliphorida"
"Caenidae",0.457350427054335,0.155915366395297,"Caenidae"
"Ichneumonida",-0.229418826404238,0.474575278054693,"Ichneumonida"
"Hemerobiidae",-0.407862343320524,0.265072471722842,"Hemerobiidae"
"Coenagrionid",-0.18067069786988,-0.439337653158609,"Coenagrionid"
"Psocoptera",-0.124335555782675,-0.448842357338623,"Psocoptera"
