"","Site","TrtYr","Treatment","HabYr","Year","Habitat","NMDS1","NMDS2","NMDS3"
"1","IN1","Invaded_2017","Invaded","Phragmites_2017","2017","Phragmites",-0.348610291256327,0.0509746936864577,-0.322045782483028
"2","IN2","Invaded_2017","Invaded","Phragmites_2017","2017","Phragmites",-0.537989665503101,0.274049092888724,0.0361225545594411
"3","IN3","Invaded_2017","Invaded","Phragmites_2017","2017","Phragmites",-0.285135689541226,0.347185962397705,-0.16444798254645
"4","IN4","Invaded_2017","Invaded","Phragmites_2017","2017","Phragmites",-0.208153291660263,0.347977331485596,0.241107625601583
"5","IN5","Invaded_2017","Invaded","Phragmites_2017","2017","Phragmites",-0.490211766571357,0.130345602150133,-0.217982632204313
"6","IN6","Invaded_2017","Invaded","Phragmites_2017","2017","Phragmites",-0.545456753689863,0.0879265829698666,0.116813485118877
"7","IN7","Invaded_2017","Invaded","Phragmites_2017","2017","Phragmites",-0.511305446705749,-0.149547596730105,-0.400436800428842
"8","IN8","Invaded_2017","Invaded","Phragmites_2017","2017","Phragmites",-0.571234475406,0.0304878936788562,-0.0610760831632285
"9","INOW","Invaded_2017","Invaded","Phragmites_2017","2017","Phragmites",0.625733353938786,0.0580597372229359,0.603587981500703
"10","RES1","Treated_2017","Treated","Treated_2017","2017","Treated",0.0793601980788334,0.124647882116894,-0.541505254814622
"11","RES2","Treated_2017","Treated","Treated_2017","2017","Treated",0.183167765869525,0.089149783467609,-0.43543073431732
"12","RES3","Treated_2017","Treated","Treated_2017","2017","Treated",0.282415470740291,-0.0632346924728778,-0.356002643651817
"13","RES4","Treated_2017","Treated","Treated_2017","2017","Treated",0.406945618066536,-0.0328642477256813,-0.155125405550895
"14","RES5","Treated_2017","Treated","Treated_2017","2017","Treated",0.31125355274569,0.445142064818854,0.0438319906263928
"15","RES6","Treated_2017","Treated","Treated_2017","2017","Treated",0.487376433196149,0.485059358349926,-0.163398866121366
"16","RES7","Treated_2017","Treated","Treated_2017","2017","Treated",0.342499599143442,0.570799453198415,-0.498405698044979
"17","RES8","Treated_2017","Treated","Treated_2017","2017","Treated",0.18460905808642,0.367035406063902,0.0906110693360089
"18","RESOW","Treated_2017","Treated","Treated_2017","2017","Treated",0.765590131427737,-0.465422966547389,0.179337662204853
"19","UNM1","Uninvaded_2017","Uninvaded","Meadow_2017","2017","Meadow",-0.369633092638782,0.241434293706502,0.349999873963038
"20","UNM2","Uninvaded_2017","Uninvaded","Meadow_2017","2017","Meadow",-0.258811736406588,0.490496509166767,0.49354146715998
"21","UNM3","Uninvaded_2017","Uninvaded","Meadow_2017","2017","Meadow",0.077018636358595,0.064356240962173,0.664791368687652
"22","UNM4","Uninvaded_2017","Uninvaded","Meadow_2017","2017","Meadow",-0.30458862630668,0.379190495338893,-0.439260369042473
"23","UNOW","Uninvaded_2017","Uninvaded","Meadow_2017","2017","Meadow",0.716722326323848,-0.102319617936506,0.398034818418979
"24","UNT1","Uninvaded_2017","Uninvaded","Emergent_2017","2017","Emergent",-0.497597389525745,0.3729072999749,-0.129730009083074
"25","UNT2","Uninvaded_2017","Uninvaded","Emergent_2017","2017","Emergent",-0.325289921827663,0.51170286170464,-0.0132373439440985
"26","UNT3","Uninvaded_2017","Uninvaded","Emergent_2017","2017","Emergent",0.0564874499413717,0.289322124883736,-0.128522916024345
"27","UNT4","Uninvaded_2017","Uninvaded","Emergent_2017","2017","Emergent",-0.0691737839166576,0.531217430443043,0.0560781913189783
"28","IN1","Invaded_2018","Invaded","Phragmites_2018","2018","Phragmites",-0.306111468430126,-0.255755581955562,0.218535319947188
"29","IN2","Invaded_2018","Invaded","Phragmites_2018","2018","Phragmites",-0.23258368519553,-0.290328006238617,0.350507793532614
"30","IN3","Invaded_2018","Invaded","Phragmites_2018","2018","Phragmites",-0.268748882679419,-0.574678584885115,-0.124697687063891
"31","IN4","Invaded_2018","Invaded","Phragmites_2018","2018","Phragmites",-0.303133793021517,-0.203218805067197,-0.123251563240034
