"","NMDS1","NMDS3","X.alltaxa.13.vectors..r","X.alltaxa.13.vectors..pvals"
"Araneae",-0.976562411871619,-0.215234420387368,0.0570337574188369,0.229
"Acari",-0.998497174349878,0.0548032190232336,0.0450065165081274,0.334
"Curculionida",-0.672161847968103,-0.740404247783672,0.0598779685743408,0.24
"Staphylinida",-0.915197532227632,0.403005554557815,0.079503263393957,0.133
"Carabidae",-0.698429753591893,0.715678614531389,0.270488752495652,0.001
"Anthicidae",-0.848313917350581,0.529493623785322,0.0791827007695688,0.119
"Throscidae",0.0489532750401529,-0.998801069714507,0.090751875157616,0.068
"Erotylidae",-0.936436810728901,0.350836285911086,0.193930948622598,0.006
"Cryptophagid",-0.506671243988047,-0.862139345184759,0.113796610713685,0.054
"Latridiidae",-0.27216198582598,0.96225145023079,0.15051656232233,0.012
"Phalacridae",-0.0980398187531608,0.995182492781524,0.234727062086903,0.003
"Scirtidae",-0.769107703714348,0.639119190830038,0.111019615274068,0.051
"Coccinellida",-0.998234669618702,0.0593931340412427,0.055336935750141,0.246
"Lampyridae",-0.9406313496095,-0.339429910484934,0.0683825443824135,0.157
"Chrysomelida",-0.70124389852257,-0.712921450641561,0.0885461052191133,0.068
"Nitidulidae",-0.990255612506468,-0.139261702917349,0.0349025653046283,0.421
"AnthiciLarv",-0.618247062011864,0.785983823188301,0.0490742574745098,0.276
"CocciLarvae",-0.216242257971942,0.976339738957294,0.0437836161436441,0.346
"ErotLarvae",-0.446277045673129,0.89489485332371,0.0647775535854381,0.19
"Collembola",-0.645391146233647,0.763852255585607,0.00480755540740981,0.903
"Cecidomyiida",-0.967302047727535,-0.253627183996744,0.186611523422389,0.011
"Sciaridae",0.637570539478314,-0.770391982817404,0.0473862716017127,0.283
"Scatopsidae",-0.715448526183216,0.698665446678354,0.0289682029957264,0.509
"Phoridae",-0.884024422281226,0.467440713685003,0.0671767033303433,0.161
"Ceratopogoni",0.553195006552623,-0.833051789941804,0.0769082363192536,0.111
"Chironomidae",0.709499602350974,-0.704705835270157,0.347014427386504,0.001
"Culicidae",-0.805445177462943,0.592670284476697,0.0766646094571974,0.121
"Chaoboridae",-0.954959405693839,-0.296736471430239,0.012827781916694,0.797
"Dolichopodid",-0.988399292550362,-0.151877708983064,0.263257962631484,0.001
"Empididae",0.933399763365984,0.358838238971719,0.113512611669174,0.028
"Psychodidae",-0.806609111672085,-0.591085223100333,0.101492282955589,0.053
"Ephydridae",-0.806278580028776,0.591536010219818,0.136166576541258,0.025
"Carnidae",-0.952134975305788,0.305677916767709,0.204690627629578,0.002
"Sciomyzidae",0.143549460668459,-0.989643143937144,0.0998359705593754,0.073
"Ulidiidae",-0.986164577681378,-0.165769194142067,0.0642628260985011,0.174
"Chloropidae",-0.921631320792826,-0.388066628987435,0.155855308462542,0.011
"Agromyzidae",0.140192915315775,-0.990124207609966,0.112893960227804,0.048
"Anthomyzidae",-0.843846255395525,-0.536585032641565,0.077304539132494,0.122
"Drosophilida",-0.682358202566802,-0.731017977473744,0.16071463166807,0.009
"Muscidae",-0.870982360325715,-0.491314286380364,0.085199721550509,0.094
"Anthomyiidae",0.547312992675545,-0.836928006490725,0.000213033300122549,0.992
"Calliphorida",-0.932798238629,0.360399009447355,0.066444066788469,0.168
"Stratiomyida",-0.934330244051112,-0.356408466582079,0.0905855179026907,0.078
"Tabanidae",0.654244280832027,0.756283294142204,0.0382287977681057,0.391
"Tipulidae",-0.566915177426444,-0.82377617202948,0.0793289561457081,0.118
"Dixidae",-0.823958232566277,-0.566650536915175,0.10056586989673,0.053
"Syrphidae",-0.798147387491145,0.602462237688852,0.108907674971162,0.048
"Caenidae",0.970918450007096,0.23941044972143,0.223811355548782,0.001
"Baetidae",0.277603816832473,-0.960695644249542,0.0761379455688607,0.13
"Ephemerellid",0.828009486518089,0.560714089564414,0.112741919432462,0.036
"Pteromalidae",-0.999626436669298,-0.0273310649598936,0.132492450999341,0.018
"Eulophidae",-0.849969740572152,-0.526831510173517,0.121452157112366,0.019
"Aphelinidae",-0.705006655341119,-0.709200688045865,0.0354842077987883,0.409
"Ceraphronida",-0.967365627456482,0.253384574936452,0.0629755055281728,0.183
"Megaspilidae",-0.839035404125743,0.544076824192642,0.00981038779948784,0.797
"Scelionidae",-0.938687721212979,-0.344768563015808,0.210225138342113,0.004
"Platygastrid",-0.864699987466579,-0.5022886935571,0.0106027266255906,0.757
"Braconidae",-0.988439518974515,-0.15161568958861,0.196724708639218,0.007
"Ichneumonida",-0.566578099385082,0.824008044437182,0.155332886212004,0.016
"Pompilidae",-0.9960090714417,-0.089252056591674,0.0595960540143111,0.214
"Formicidae",-0.794760229306238,0.606923535474689,0.0484022408542153,0.3
"Diapriidae",-0.278917737768743,-0.960314998090713,0.140061083884665,0.023
"Sphecidae",-0.388522081870258,0.921439413037667,0.0324673315674337,0.431
"Eurytomidae",-0.950420652725899,-0.310967173303028,0.0995143954678338,0.074
"Mymaridae",-0.167163713901086,-0.985929151995617,0.0623078159769969,0.193
"Encyrtidae",-0.884162509540454,-0.467179469500883,0.0422614444910755,0.326
"Halictidae",0.152751809923325,0.988264582267901,0.0589650916611977,0.201
"Aphididae",-0.734456188058943,0.678656104239788,0.0733398763155924,0.115
"Cicadellidae",-0.812308885120343,0.583227464334924,0.102791496928017,0.059
"Anthocoridae",-0.750341087040112,-0.661050870281148,0.00747385830624462,0.83
"Miridae",-0.680349584655817,-0.732887742194299,0.0874712334123365,0.082
"Coccoidea",-0.402103484811407,0.915594226446695,0.079954363714004,0.107
"Hemerobiidae",-0.921728622871119,-0.387835462251856,0.202246798253516,0.004
"Sisyridae",0.995895717035118,0.0905081255529503,0.100357708736804,0.052
"Libellulidae",-0.829173157722966,0.558991837607424,0.0379157693638109,0.389
"Lestidae",-0.413243934960057,-0.910620365585312,0.0692450393834196,0.144
"Coenagrionid",-0.815298067802347,0.579041501654035,0.0579163838296143,0.199
"Thysanoptera",-0.81903386272241,0.573745180122682,0.0751613190440331,0.124
"Hydroptilida",0.922071067613626,-0.387020601867481,0.0757544435166496,0.094
"Leptoceridae",0.816369304738414,-0.577530222829004,0.21345016187315,0.001
"Molannidae",0.671389976570232,0.741104243248561,0.160156657859179,0.002
"Polycentropo",0.956903674588532,0.290405505386805,0.164734945349827,0.007
"Phryganeidae",0.999250424383737,0.0387116180096055,0.0849999174174505,0.099
"Limnephilida",-0.715859195483434,0.698244665029251,0.0668061729449519,0.149
"Psocoptera",-0.645024475307448,0.764161911020401,0.0394100846296083,0.375
"Cosmopterigi",-0.982228064744218,0.187691312608836,0.0171845697764494,0.696
"Gelechiidae",-0.562022235630649,-0.827122123181775,0.0878466303552166,0.079
"Gracillariid",-0.369098342628301,0.929390345048323,0.0654616488968224,0.183
"Noctuidae",-0.977671136451823,0.2101407836404,0.0519670039405112,0.253
"Crambidae",0.369544150921421,-0.929213172807923,0.0530672060946109,0.246
