"","Sites","Treatment","Date","Year","N","YrCol","NMDS1","NMDS2","NMDS3"
"1","IN1","Invaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.358758882368167,0.165572254991588,0.223518549128571
"2","IN2","Invaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.516678171301619,0.130087347612258,-0.581069813702865
"3","IN3","Invaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.567922632323557,0.254587098224525,-0.130355878963525
"4","IN4","Invaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.346437316444924,0.425209588605553,0.501350737009941
"5","IN5","Invaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.499960130581214,0.0901686672144788,0.382413452762857
"6","IN6","Invaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.440929004483567,0.403811686494057,0.323623392836608
"7","IN7","Invaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.450613560939466,-0.469174126908251,0.402318388777796
"8","IN8","Invaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.284719496248383,-0.186635943926454,0.570716488434643
"9","INOW","Invaded","05-Jun-18",2018,"Col._2","2018Col._2",0.608487107239199,0.00620729640327786,0.728222440320285
"10","RES1","Treated","05-Jun-18",2018,"Col._2","2018Col._2",0.745718286902868,0.168795432591862,-0.333101592454822
"11","RES2","Treated","05-Jun-18",2018,"Col._2","2018Col._2",0.8157740484707,0.0316140788481618,-0.135587271533557
"12","RES3","Treated","05-Jun-18",2018,"Col._2","2018Col._2",0.740804558844043,-0.0831658717408557,-0.0195848779748234
"13","RES4","Treated","05-Jun-18",2018,"Col._2","2018Col._2",0.385324917964945,-0.271222523425232,-0.566474442921578
"14","RES6","Treated","05-Jun-18",2018,"Col._2","2018Col._2",0.684382179037944,-0.185199737652713,-0.0883117971213668
"15","RES7","Treated","05-Jun-18",2018,"Col._2","2018Col._2",0.6458104158735,-0.178429851642761,0.141416970631895
"16","RES8","Treated","05-Jun-18",2018,"Col._2","2018Col._2",0.132670843320836,-0.57670592483219,-0.296511789832967
"17","RESOW","Treated","05-Jun-18",2018,"Col._2","2018Col._2",0.495430746316657,0.715360040787031,0.361986470945522
"18","UNM1","Uninvaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.197282763191707,-0.0853046212457803,-0.656375515696527
"19","UNM2","Uninvaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.120467073740285,-0.656695598022289,0.426925828238584
"20","UNM3","Uninvaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.806277848870877,-0.722682518081923,-0.290998515412433
"21","UNM5","Uninvaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.238260508225667,0.438705695744995,-0.35536552327254
"22","UNM6","Uninvaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.523224587353262,-0.0970243670090562,-0.0858059605751839
"23","UNOW","Uninvaded","05-Jun-18",2018,"Col._2","2018Col._2",0.537615077558216,-0.467493683109527,0.0259995760472595
"24","UNT1","Uninvaded","05-Jun-18",2018,"Col._2","2018Col._2",-0.559429183808732,0.233537069612569,-0.212481818428983
"25","UNT2","Uninvaded","05-Jun-18",2018,"Col._2","2018Col._2",0.11894297835252,0.916078510466676,-0.336467497242792
