"","Taxa","NMDS1","X.taxa.may.axis13.vectors..r","X.taxa.may.axis13.vectors..pvals"
"1","Araneae",-1,0.207777495985938,0.024
"2","Curculionida",1,0.0838329192804968,0.224
"3","Staphylinida",-1,0.0511239454780705,0.272
"4","Carabidae",-1,0.189255186792667,0.031
"5","Anthicidae",-1,0.1943345220095,0.026
"6","Erotylidae",-1,0.0372759261684478,0.386
"7","Latridiidae",1,0.0686045704030564,0.284
"8","Phalacridae",-1,0.0133220858305737,0.675
"9","Scirtidae",-1,0.0231429014180698,0.633
"10","Coccinellida",-1,0.124477542833269,0.085
"11","Nitidulidae",-1,0.0211910213615632,0.564
"12","Collembola",1,0.00152511785424733,0.872
"13","Sciaridae",1,0.181942622642344,0.037
"14","Phoridae",-1,0.0155260500989622,0.584
"15","Ceratopogoni",1,0.173292803526148,0.051
"16","Chironomidae",1,0.448417616006317,0.001
"17","Dolichopodid",-1,0.0921061111189942,0.16
"18","Ephydridae",-1,0.07816588611565,0.176
"19","Carnidae",-1,0.0258395883445247,0.483
"20","Sciomyzidae",-1,0.0128180334775636,0.594
"21","Chloropidae",-1,0.0567822450912541,0.265
"22","Agromyzidae",-1,0.0423811248596278,0.47
"23","Drosophilida",1,0.000594727218080956,0.902
"24","Muscidae",-1,0.140946271661771,0.083
"25","Anthomyiidae",-1,0.0123589090858191,0.629
"26","Syrphidae",-1,0.0133220858305737,0.675
"27","Pteromalidae",-1,0.0197506001428217,0.525
"28","Eulophidae",-1,0.0630246142315179,0.37
"29","Platygastrid",-1,0.0258395883445247,0.483
"30","Formicidae",-1,0.0247857796877543,0.585
"31","Halictidae",-1,0.0231429014180698,0.633
"32","Cicadellidae",1,0.00941447705758105,0.752
"33","Miridae",-1,0.108430069259061,0.129
"34","Coenagrionid",-1,0.00492884701251187,0.786
"35","Thysanoptera",-1,0.112452234789713,0.099
"36","Hydroptilida",1,0.167505164161831,0.017
"37","Limnephilida",-1,0.0149712300550973,0.606
