Sites,Treatment,Date,Year,N,YrCol,Araneae,Curculionida,Staphylinida,Carabidae,Anthicidae,Erotylidae,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Nitidulidae,Collembola,Sciaridae,Phoridae,Ceratopogoni,Chironomidae,Dolichopodid,Ephydridae,Carnidae,Sciomyzidae,Chloropidae,Agromyzidae,Drosophilida,Muscidae,Anthomyiidae,Syrphidae,Pteromalidae,Eulophidae,Platygastrid,Formicidae,Halictidae,Cicadellidae,Miridae,Coenagrionid,Thysanoptera,Hydroptilida,Limnephilida
IN1,Invaded,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,1,0,0,0,0,0,0.5,0,0,1,0,0.05280348,0,0,0,1,0,0,1,0,0.125,0,1,0,0,0,0,0,0,0,1,0,0.07692308
IN2,Invaded,20-May-18,2018,Col._1,2018Col._1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.04790419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
IN3,Invaded,20-May-18,2018,Col._1,2018Col._1,0,0,0.5,0,0.75,0,0,0,0,0,1,0,0,0,0,0.01850844,0,0,0,0,1,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0.1666667,0,0
IN4,Invaded,20-May-18,2018,Col._1,2018Col._1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.02939575,0,0,1,1,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3333333,0,0.3076923
IN5,Invaded,20-May-18,2018,Col._1,2018Col._1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.01306478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923
IN6,Invaded,20-May-18,2018,Col._1,2018Col._1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.01687534,0,0,0,1,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0.3333333,0,0.07692308
IN7,Invaded,20-May-18,2018,Col._1,2018Col._1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002721829,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN8,Invaded,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.01041667,0.127926,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RES1,Treated,20-May-18,2018,Col._1,2018Col._1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03810561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES2,Treated,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04166667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
