"","MDS1","MDS2","Taxa"
"Cecidomyiida",-0.434571265468188,-0.338767102754872,"Cecidomyiida"
"Phoridae",-0.391188795007136,-0.341621384480283,"Phoridae"
"Culicidae",-0.477378077609869,-0.574241550492161,"Culicidae"
"Ephydridae",-0.507596431994069,-0.217195579708386,"Ephydridae"
"Stratiomyida",-0.410351703608854,0.317227128528343,"Stratiomyida"
"Dixidae",-0.515108441182145,0.0269641583168496,"Dixidae"
"Syrphidae",-0.48546908956073,0.181882922070707,"Syrphidae"
"Pteromalidae",-0.387317571317048,0.337265904834931,"Pteromalidae"
"Lestidae",-0.514474386505764,-0.0952942484415891,"Lestidae"
"Coenagrionid",-0.514806048240956,-0.46825089190034,"Coenagrionid"
"Limnephilida",-0.405505257174945,-0.332834957708349,"Limnephilida"
"Limnephilidae",0.256317762379712,-0.529013193199083,"Limnephilidae"
