"","MDS1","MDS2","Taxa"
"Ceratopogonidae",-0.425856629235448,-0.788963175896979,"Ceratopogonidae"
"Chironomidae",0.822625219141492,0.317449491084835,"Chironomidae"
"Ephydridae",0.581110554142721,0.0749799371522508,"Ephydridae"
"Sciomyzidae",0.112013467955556,-0.483623463729502,"Sciomyzidae"
"Tabanidae",0.267701136821213,0.476278667106482,"Tabanidae"
"Tipulidae",0.289182951860458,-0.34134551145703,"Tipulidae"
"Caenidae",-0.828865074416438,0.515264351666616,"Caenidae"
"Pteromalidae",0.295486999313443,-0.376385737944349,"Pteromalidae"
"Eulophidae",0.0946391714100383,-0.627285205632427,"Eulophidae"
"Ichneumonidae",0.262847318452829,0.531819445014507,"Ichneumonidae"
"Mymaridae",0.52747926416221,-0.202821298807716,"Mymaridae"
"Libellulidae",0.391296475172446,-0.288366171358874,"Libellulidae"
"Lestidae",0.293584906100859,-0.402924231070419,"Lestidae"
"Coenagrionidae",0.332558125971268,-0.676797771730445,"Coenagrionidae"
"Hydroptilidae",0.673710000390006,-0.019479713650265,"Hydroptilidae"
"Leptoceridae",0.268079309378208,0.496474884648359,"Leptoceridae"
"Polycentropodidae",0.544241353503989,0.35184791704037,"Polycentropodidae"
"Phryganeidae",0.476528286605513,0.0352137001621311,"Phryganeidae"
"Crambidae",0.286851741785945,-0.482815506514967,"Crambidae"
