"","MDS1","MDS2","Taxa"
"Ceratopogonidae",0.550118874669472,0.674293952169179,"Ceratopogonidae"
"Chironomidae",0.0773590339514612,-0.905652061555807,"Chironomidae"
"Culicidae",-0.799427379072032,0.190206918572336,"Culicidae"
"Dolichopodidae",0.447201826463718,-0.395707709462409,"Dolichopodidae"
"Ephydridae",-0.0475057191635162,0.639241377903632,"Ephydridae"
"Stratiomyidae",0.321365018259599,0.577595347509114,"Stratiomyidae"
"Dixidae",-0.785397375872322,0.300077931222066,"Dixidae"
"Syrphidae",-0.420525771837187,0.699272041157662,"Syrphidae"
"Caenidae",0.00274346672484632,0.564530545519496,"Caenidae"
"Eulophidae",-0.728890415390013,0.364906764240046,"Eulophidae"
"Lestidae",-0.739537610635401,-0.107754337807282,"Lestidae"
"Hydroptilidae",-0.33128887133,0.677415558016983,"Hydroptilidae"
"Phryganeidae",-0.771076788444423,0.262150582963212,"Phryganeidae"
"Cosmopterigidae",-0.752166578930217,0.0459753813293892,"Cosmopterigidae"
