"","ID","Habitat","Type","NMDS1","NMDS2"
"1","IN1","Invaded","Emerging",-0.356917038066459,-0.0783591146339767
"2","IN2","Invaded","Emerging",-0.805807292944983,-0.664593873951982
"3","IN3","Invaded","Emerging",-0.551959259955678,-0.0196225418712487
"4","IN4","Invaded","Emerging",-0.334167949814542,0.007478648286461
"5","IN5","Invaded","Emerging",-0.848486103081603,-0.300449728431699
"6","IN6","Invaded","Emerging",-0.391142212282017,-0.150015885465612
"7","IN7","Invaded","Emerging",-0.716065785632045,-0.452483131447616
"8","IN8","Invaded","Emerging",-0.343706125004492,-0.196715392049402
"9","RES1","Treated","Emerging",-0.191006203678415,0.51174760864113
"10","RES2","Treated","Emerging",-0.187863780594508,0.115643248543173
"11","RES3","Treated","Emerging",-0.0673448864694153,0.107760247023556
"12","RES4","Treated","Emerging",-0.0382884019259435,0.146448999842498
"13","RES5","Treated","Emerging",-0.0324348344534793,0.022408438853852
"14","RES6","Treated","Emerging",-0.0612196327986412,0.0225641443766304
"15","RES7","Treated","Emerging",-0.0690605424156082,0.051454908181276
"16","RES8","Treated","Emerging",-0.0207684775511512,0.102209895791622
"17","RESOW","Treated","Emerging",-0.113346309903872,-0.00439176510567753
"18","UNM1","Uninvaded","Emerging",-0.136074817192448,0.18320281177682
"19","UNM2","Uninvaded","Emerging",-0.225377176020696,0.197574950333744
"20","UNM3","Uninvaded","Emerging",-0.28449337877104,0.515224489314834
"21","UNM4","Uninvaded","Emerging",-0.748554955973591,0.686508030699441
"22","UNM5","Uninvaded","Emerging",-0.436004310057229,0.355330239687057
"23","UNM6","Uninvaded","Emerging",-0.395581467133466,0.0579157345302374
"24","UNT1","Uninvaded","Emerging",-0.779826993607436,-0.129084399392496
"25","UNT2","Uninvaded","Emerging",-0.764746428216505,0.0976368413971133
"26","IN1","Invaded","Aquatic",0.411624896267891,0.0241397449916282
"27","IN2","Invaded","Aquatic",0.383635651037918,-0.576682395213808
"28","IN3","Invaded","Aquatic",0.311777815685873,-0.266713769603699
"29","IN4","Invaded","Aquatic",0.412019254084977,-0.248548705476848
"30","IN5","Invaded","Aquatic",0.0161860412832642,-0.598370378554449
"31","IN6","Invaded","Aquatic",0.396318013502301,-0.142475915404975
"32","IN7","Invaded","Aquatic",0.30151128083707,-0.437861015453575
"33","IN8","Invaded","Aquatic",0.174605303270522,0.0525117517829637
"34","RES1","Treated","Aquatic",0.414376042069149,0.124701278254145
"35","RES2","Treated","Aquatic",0.224528263945492,0.0549741246842366
"36","RES3","Treated","Aquatic",0.145905506260139,0.0339106800918627
"37","RES4","Treated","Aquatic",0.200133581132529,0.0760793650544409
"38","RES5","Treated","Aquatic",0.371472714185395,0.0862906518849827
"39","RES6","Treated","Aquatic",0.40811191229939,0.229846823719966
"40","RES7","Treated","Aquatic",0.318094693458193,0.0836268926642394
"41","RES8","Treated","Aquatic",0.281224503778913,0.133938145739837
"42","RESOW","Treated","Aquatic",0.433458954354312,0.230655819484984
"43","UNM1","Uninvaded","Aquatic",0.544836532043067,0.158372095922362
"44","UNM2","Uninvaded","Aquatic",0.271068666027099,-0.0196743343961511
"45","UNM3","Uninvaded","Aquatic",0.599232182834749,0.031770072148751
"46","UNM4","Uninvaded","Aquatic",0.591771540654814,0.0772071054423054
"47","UNM5","Uninvaded","Aquatic",0.648928727364928,-0.182894277563655
"48","UNM6","Uninvaded","Aquatic",0.553347824972073,-0.162610967209045
"49","UNT1","Uninvaded","Aquatic",0.22573992029148,-0.151394520296791
"50","UNT2","Uninvaded","Aquatic",0.260334541903726,0.203808322376558
