"","ID","Habitat","Type","NMDS1","NMDS2"
"1","IN1","Invaded","Emerging",-0.0169192838048794,0.0341910503164444
"2","IN2","Invaded","Emerging",0.675594434281982,-0.220028509711045
"3","IN3","Invaded","Emerging",0.144329509450504,0.409458013337102
"4","IN4","Invaded","Emerging",-0.0189284629318921,0.273832799025952
"5","IN5","Invaded","Emerging",0.577900865178119,0.183064785123754
"6","IN6","Invaded","Emerging",0.131344160834216,0.211798695770807
"7","IN7","Invaded","Emerging",0.482068992384873,-0.0400930910981178
"8","IN8","Invaded","Emerging",0.196220093618373,0.0367987917630529
"9","IN1","Invaded","Aquatic",-0.608444221789357,0.096442405152966
"10","IN2","Invaded","Aquatic",0.0221134094684236,-0.339672044102548
"11","IN3","Invaded","Aquatic",-0.318229291713064,-0.12690267543675
"12","IN4","Invaded","Aquatic",-0.187267128792616,0.0515067860942964
"13","IN5","Invaded","Aquatic",-0.0916238409116956,-0.478337742900618
"14","IN6","Invaded","Aquatic",-0.430227209595309,-0.124858841707429
"15","IN7","Invaded","Aquatic",-0.114272890271809,-0.223841863015554
"16","IN8","Invaded","Aquatic",-0.443659135405868,0.256641441387686
