"","ID","Habitat","Type","Phoridae","Ceratopogonidae","Chironomidae","Chaoboridae","Ephydridae","Sciomyzidae","Stratiomyidae","Tabanidae","Tipulidae","Caenidae","Pteromalidae","Eulophidae","Scelionidae","Ichneumonidae","Mymaridae","Libellulidae","Lestidae","Coenagrionidae","Hydroptilidae","Leptoceridae","Polycentropodidae","Phryganeidae","Limnephilidae","Crambidae","Cecidomyiidae","Corduliidae"
"1","RES1","Treated","Emerging",0,1196,1157,0,2,1,1,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0
"2","RES2","Treated","Emerging",0,125,2783,0,14,2,0,0,1,1,1,1,1,0,1,5,2,6,203,40,1,0,0,13,0,0
"3","RES3","Treated","Emerging",0,25,1746,1,1,0,0,5,2,2,1,0,0,0,1,0,1,3,3,15,4,0,0,4,0,0
"4","RES4","Treated","Emerging",0,9,1320,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18,3,0,3,0,2,0,0
"5","RES5","Treated","Emerging",0,14,1951,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,22,37,0,0,0,0,0,0
"6","RES6","Treated","Emerging",1,11,2532,0,3,0,0,0,0,2,0,0,0,0,0,3,0,4,3,26,7,8,0,1,0,0
"7","RES7","Treated","Emerging",0,40,1888,0,0,1,2,0,0,4,0,0,0,1,1,1,0,0,4,67,3,2,1,0,0,0
"8","RES8","Treated","Emerging",0,15,1212,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,2,3,0,0,0,0,0,0
"9","RESOW","Treated","Emerging",0,2,261,0,4,0,0,16,0,3,0,0,0,1,0,0,0,0,12,4,2,0,0,0,0,0
"10","RES1","Treated","Aquatic",0,670,2675,0,0,0,0,0,0,871,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0
"11","RES2","Treated","Aquatic",0,41,1385,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,41,0,0,0,1,0,0
"12","RES3","Treated","Aquatic",0,33,1747,0,5,0,0,0,0,70,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0
"13","RES4","Treated","Aquatic",0,48,1415,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"14","RES5","Treated","Aquatic",0,18,239,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0
"15","RES6","Treated","Aquatic",0,40,559,0,0,0,1,0,0,384,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2
"16","RES7","Treated","Aquatic",0,132,1109,0,0,1,0,0,0,180,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0
"17","RES8","Treated","Aquatic",0,26,616,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
"18","RESOW","Treated","Aquatic",0,1,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
