"","ID","Habitat","Type","NMDS1","NMDS2"
"1","UNM1","Uninvaded","Emerging",-0.0109756206636181,-0.196604138968758
"2","UNM2","Uninvaded","Emerging",-0.0883332817223494,-0.225565913582521
"3","UNM3","Uninvaded","Emerging",0.421106240221197,0.0173246138292063
"4","UNM4","Uninvaded","Emerging",0.231923640587104,0.604543966680108
"5","UNM5","Uninvaded","Emerging",-0.124930354564901,0.29315507447925
"6","UNM6","Uninvaded","Emerging",-0.221465381013808,-0.195622410291809
"7","UNT1","Uninvaded","Emerging",-0.674304089554688,-0.0383051113792419
"8","UNT2","Uninvaded","Emerging",-0.627906777817382,0.212658756948122
"9","UNM1","Uninvaded","Aquatic",0.289708518639155,-0.0552935335700434
"10","UNM2","Uninvaded","Aquatic",0.100281249930471,-0.171269267030283
"11","UNM3","Uninvaded","Aquatic",0.227487778485431,0.100826634534599
"12","UNM4","Uninvaded","Aquatic",0.278156545242491,0.0504116166111388
"13","UNM5","Uninvaded","Aquatic",0.0629272206013027,0.224691388283256
"14","UNM6","Uninvaded","Aquatic",-0.0800741424911579,0.0992069679150313
"15","UNT1","Uninvaded","Aquatic",0.0631123885482274,-0.353146695472222
"16","UNT2","Uninvaded","Aquatic",0.153286065572525,-0.367011948985832
