"","ID","Habitat","Type","Lampyridae","Cecidomyiidae","Ceratopogonidae","Chironomidae","Culicidae","Dolichopodidae","Ephydridae","Sciomyzidae","Stratiomyidae","Tipulidae","Dixidae","Syrphidae","Caenidae","Pteromalidae","Eulophidae","Scelionidae","Ichneumonidae","Mymaridae","Libellulidae","Lestidae","Coenagrionidae","Hydroptilidae","Leptoceridae","Polycentropodidae","Phryganeidae","Limnephilidae","Cosmopterigidae","Crambidae","Tabanidae","Corduliidae"
"1","UNM1","Uninvaded","Emerging",3,0,80,1044,0,0,10,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0
"2","UNM2","Uninvaded","Emerging",0,0,25,176,0,0,2,0,0,0,0,0,0,0,1,5,1,0,0,2,0,0,4,0,0,0,0,0,0,0
"3","UNM3","Uninvaded","Emerging",1,0,9,43,0,1,0,0,3,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"4","UNM4","Uninvaded","Emerging",1,0,45,35,0,0,22,0,1,0,0,3,1,4,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"5","UNM5","Uninvaded","Emerging",6,0,23,70,0,0,3,1,1,1,3,1,3,0,1,0,0,2,0,0,0,1,1,0,1,3,0,0,0,0
"6","UNM6","Uninvaded","Emerging",3,1,14,339,0,0,6,0,0,8,4,0,0,4,3,2,0,0,1,1,29,0,1,3,1,0,0,0,0,0
"7","UNT1","Uninvaded","Emerging",0,0,12,131,45,0,0,0,0,0,4,4,0,1,4,0,0,0,0,1,7,0,2,0,1,15,40,0,0,0
"8","UNT2","Uninvaded","Emerging",0,1,1,60,10,0,1,0,1,0,6,1,0,0,15,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0
"9","UNM1","Uninvaded","Aquatic",7,0,9,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","UNM2","Uninvaded","Aquatic",2,2,9,102,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
"11","UNM3","Uninvaded","Aquatic",2,1,11,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","UNM4","Uninvaded","Aquatic",1,3,12,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"13","UNM5","Uninvaded","Aquatic",2,1,15,39,1,0,0,2,1,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1
"14","UNM6","Uninvaded","Aquatic",31,2,8,86,0,0,3,0,0,10,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0
"15","UNT1","Uninvaded","Aquatic",5,0,5,169,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,5,0
"16","UNT2","Uninvaded","Aquatic",0,1,2,67,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
