"","emerg.trt.SCBD$SCBD"
"Araneae",0.0161375944094318
"Curculionidae",0.0550364997223918
"Staphylinidae",0.0345230845466775
"Carabidae",0
"Anthicidae",0.0248076700317465
"Erotylidae",0
"Cryptophagidae",0
"Latridiidae",0.0348424181889394
"Phalacridae",0
"Coccinellidae",0.0175250543528791
"Lampyridae",0
"Nitidulidae",0
"AnthiciLarv",0.0189050284472723
"CocciLarvae",0.0209420732167248
"ErotLarvae",0
"Collembola",0.0236177152503452
"Cecidomyiidae",0
"Sciaridae",0.0480796620138859
"Phoridae",0.0077556062721803
"Ceratopogonidae",0.0183903160056644
"Chironomidae",0.00994861367050244
"Culicidae",0
"Chaoboridae",0.00706733831338641
"Dolichopodidae",0
"Empididae",0
"Ephydridae",0.0142740591426567
"Carnidae",0
"Sciomyzidae",0.0611013358021518
"Chloropidae",0
"Agromyzidae",0.00942005940281543
"Drosophilidae",0.02120201600026
"Muscidae",0
"Anthomyiidae",0.037871779461346
"Calliphoridae",0
"Stratiomyidae",0.031695954227793
"Tabanidae",0.0340603698415027
"Tipulidae",0.0135902016737386
"Dixidae",0
"Syrphidae",0
"Caenidae",0.0185927938513346
"Ephemerellidae",0
"Pteromalidae",0.0164341113416073
"Eulophidae",0.0208520192655636
"Aphelinidae",0.00942005940281543
"Ceraphronidae",0
"Megaspilidae",0
"Scelionidae",0.00729674700231511
"Platygastridae",0.024303002017751
"Braconidae",0
"Ichneumonidae",0.039944740580433
"Pompilidae",0
"Formicidae",0
"Eurytomidae",0
"Mymaridae",0.0408040271625055
"Encyrtidae",0
"Halictidae",0
"Aphididae",0.00238463226982707
"Cicadellidae",0.00969210508994854
"Anthocoridae",0.0189972772528795
"Miridae",0
"Libellulidae",0.0224129893205415
"Lestidae",0.0273980983065218
"Coenagrionidae",0.016933466562786
"Thysanoptera",0.0122021216675821
"Hydroptilidae",0.0101251029196509
"Leptoceridae",0.026345385196588
"Polycentropodidae",0.0376002447221493
"Phryganeidae",0.0439107281558583
"Limnephilidae",0.0034515705221063
"Psocoptera",0
"Cosmopterigidae",0
"Noctuidae",0
"Crambidae",0.0301043273949425
