Site,Treatment,Year,N,Avg_Can,Depth,DO,OpenWater,St.Dead,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCOMOS,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CLAMARIS,CORSTOLO,FRAVIRGI,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,LYSTHYRS,PHRAUSTR,Polygonum.Spp,Rosa.Spp,Solidago.Spp.,TYPHA.SPP,UTRINTER,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Hydrophilida,Scirtidae,Coccinellida,Lampyridae,Chrysomelida,Scraptiidae,AnthiciLarv,CocciLarvae,Cecidomyiida,Sciaridae,Scatopsidae,Mycetophilid,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Dolichopodid,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Chamaemyiida,Agromyzidae,Anthomyzidae,Sepsidae,Drosophilida,Muscidae,Calliphorida,Tachinidae,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Baetidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Scelionidae,Platygastrid,Braconidae,Ichneumonida,Pompilidae,Formicidae,Diapriidae,Sphecidae,Eurytomidae,Mymaridae,Encyrtidae,Figitidae,Trichogramma,Aphididae,Cicadellidae,Anthocoridae,Miridae,Saldidae,Coccoidea,Hemerobiidae,Sisyridae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Psocoptera,Rhaphidophor,Cosmopterigi,Gelechiidae,Bucculatrici,Gracillariid
IN1,Invaded,2017,4,207.3333333,35.5,5.313333333,44.33333333,24.33333333,7.5,0.003333333,0,0.333333333,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.333333333,16.66666667,0,0,0,0,0,0.3066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3333333,0.1132075,0.04529494,0.25,0.5882353,0,0,0.5882353,0,1,0,0.1666667,0,0,0,0,0.3333333,0.5,0,0,0,0,1,0,0,0,0,0,0.1552795,0,0,0.3333333,0,0.2,0,1,0,0.5,0,0,0,0,0,1,0.06709956,0,0,0.1666667,0,0,1,0,0,0,0,0,0,0.1944444,0,0.09090909,1,0,0,0,0,0,0
IN2,Invaded,2017,4,233.6666667,28.66666667,4.556666667,11.66666667,11.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.33333333,0,0,0,0,0,0.3066667,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0.04002809,0.5,1,0,1,0.1764706,1,0,1,0,0,0,0,0,0.3333333,1,1,0,0,0,0,0,1,0,0,0,0.05590062,0,0,0.08333334,0,0.2,1,0,0,1,0,0,0,0,1,0,0.004329004,0,0,0,0,0,0.5,0,0.125,0,0.5,0,0,0.02777778,0,0,0,0,0,0,0,0,0
IN3,Invaded,2017,4,237,35,4.123333333,38.33333333,18.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41.33333333,0,0,0,0,0,0.02666667,0,0,0,0,0,0,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.6666667,0.1509434,0.01860955,0,0.3529412,0,0,0.2941177,0.3333333,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2298137,1,0,0,0,0,0.5,0,0,0.5,0,1,1,0,0,0,0.3073593,0.3333333,0,0,0,0,0,0,0,0,0,0,0.1764706,0.05555556,0,0,0,0,0,0,0,0,0
IN4,Invaded,2017,3,188,36.5,5.626666667,36,25,1,0,0,10.83333333,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,27.66666667,0,0,0,0.333333333,0,0.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333,0.05660377,0.06530899,0.25,0,0,0,0.2352941,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0.0621118,0.3333333,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0.03679654,0.6666667,0,0,0,0,0,0,0,1,0.5,0,0,0.1388889,0,0,0,0,0,0,0,0,0
IN5,Invaded,2017,4,205.3333333,22.33333333,5.79,27,30,0.083333333,0,0,1.666666667,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,30.33333333,0,0,0,0,0,0.24,0.3793103,1,0,1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0754717,0.145014,0.75,0.2352941,0,0,0.2352941,0.3333333,0,0.5,1,1,0,1,0,0.3333333,0,0,0,0,0,0,1,0,0.08333334,0,0,1,0,1,0.3333333,0,0.4,0,0,0,0,0,0,1,0,0,0,0.02380952,0,0,0,0,0,1,0,0,0,0,0,0,0.02777778,0,0,0,0,1,0,0,1,0
IN6,Invaded,2017,4,188.6666667,43.33333333,3.033333333,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.12,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0.3333333,0,0.02949438,1,0.7647059,0,0,0.4117647,1,0,0,0.1666667,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0.07453416,0.3333333,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0.01082251,0,0,0,0,0,1,0,1,0,1,0.3333333,0.05882353,0,0,0,0,1,0,0,0,0,0
IN7,Invaded,2017,4,228.3333333,36.66666667,4.88,36.33333333,32.66666667,1.67,0,0,0,0,0,0,3.666666667,0,0,0,0,0,0,0,0,0,0,0,23.66666667,0.75,0,0,2.583333333,0,0.28,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0.5,0,0,0,0,0.3207547,0.02598315,0,0.05882353,0,0.5,0.1176471,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.1666667,0,1,0.173913,0,0,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0.04761905,0.6666667,0,1,0,0,0,0,0,0,0,0.3333333,0.05882353,0.02777778,0,0,0,0,0,0,1,0,0
IN8,Invaded,2017,4,215.6666667,65.66666667,2.803333333,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,50,0,0,0,0,0,0.3466667,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0.5,0,0,0,0.3333333,0.01886792,0.02563202,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0.05590062,0,0.5,0.1666667,0,0,0,0,0,0.5,0.5,1,0,0,0,0,1,0.6666667,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
INOW,Invaded,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05660377,0.02212079,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333,0,0,0.01863354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.9411765,0.1111111,0.2857143,0,0,0,0,0,0,0,0
RES1,Treated,2017,4,0,46,5.233333333,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03773585,0.1527388,0,0,0,0,0.05882353,0,0,0,0,0,1,0,0,0,0.25,0,0,0.06666667,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,1,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0
RES2,Treated,2017,2,0,40.66666667,5.87,100,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09433962,0.5063202,0,0,0,0,0.05882353,0,0,0,0,0,1,0,0,0,0.25,0,0,0.06666667,0,0,0,0,0.08333334,0,0,0.01242236,0,0,0.08333334,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,1,0,1,0.1176471,0.5277778,0,0,0,0,0,0,0,0,0
RES3,Treated,2017,4,0,48.83333333,7.893333333,98.33333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,1.666666667,0.416666667,0.1866667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5849057,1,0,0,0,0,0.1176471,0,1,0,0,0,1,0,0,0,0,0,0,0.06666667,0,0,0,0,1,1,0,0.02484472,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.006493506,0,0,0,0,0,0,0,0.25,1,0.5,0.6666667,1,0.9444444,0,0,0,0,0,0,0,0,0
RES4,Treated,2017,4,0,50.66666667,5.106666667,93.33333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333,0.16,0.06896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.2798455,0,0,0,0,0.7058824,0,0,0,0,0,1,0,0,0,0,0,0,0.06666667,0,0,0,0,0.6666667,0,0,0.01242236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.002164502,0,0,0,0,0,0,0,0.375,0,0.5,0,0.3529412,1,0,0,0,0,0,0,0,0,0
RES5,Treated,2017,4,0,32.16666667,7.31,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01333333,0.1034483,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2643961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.004329004,0,1,0,0,0,0,0,0.125,0,0,0,0.05882353,0.75,0,0,0,0,0,0,0,0,0
RES6,Treated,2017,4,0,55.5,4.786666667,96.66666667,2.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0.666666667,0.09333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03773585,0.04248596,0,0,0,0,0.05882353,0,0,0,0,0,0,0,0,0,0,0,0,0.06666667,1,0,0,0,0,0,0,0.00621118,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0.05882353,0.3055556,0,0,0,0,0,0,0,0,0
