Site,Treatment,Year,N,Canopy.Height,Water.D,Water.Temp,Litter,Water,Standing.Dead,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CLAMARIS,Chara.spp.,Cornus.sp.1,ELEQUADR,Eleocharis.Spp,ELOCANAD,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,JUNBREVI,LYSTHYRS,LYTSALIC,NAJMINOR,NYMODORA,PHRAUSTR,POLAMPHI,POLAMPLI,Polygonum.Spp,PONCORDA,POTGRAMI,POTILLIN,Potemogeton.sp,PROPALUS,SAGLATIF,Sagitarius.sp,SCHTABER,SCIACUTU,SCIMICRO,SCHPUNGENS,Solidago.Spp.,SPAEURYC,TYPHA.SPP,Unk.Forb,UTRINTER,UTRVULGA,Vetch.sp,ZIZPALUS,Araneae,Curculionidae,Staphylinidae,Carabidae,Anthicidae,Erotylidae,Cryptophagidae,Latridiidae,Phalacridae,Coccinellidae,Lampyridae,Nitidulidae,AnthiciLarv,CocciLarvae,ErotLarvae,Collembola,Cecidomyiidae,Sciaridae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Chaoboridae,Dolichopodidae,Empididae,Ephydridae,Carnidae,Sciomyzidae,Chloropidae,Agromyzidae,Drosophilidae,Muscidae,Anthomyiidae,Calliphoridae,Stratiomyidae,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Ephemerellidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronidae,Megaspilidae,Scelionidae,Platygastridae,Braconidae,Ichneumonidae,Pompilidae,Formicidae,Eurytomidae,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Libellulidae,Lestidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Polycentropodidae,Phryganeidae,Limnephilidae,Psocoptera,Cosmopterigidae,Noctuidae,Crambidae,
IN1,Invaded,2018,6,338.3,23.3,21.1,0.3,20.8,18.3,3.7,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.1685393,0,0,0.5,1,0.5714286,0,0.2,0,0,0.1666667,0.8333333,1,0,0.3333333,0.4,1,0,0.08333334,0.01006192,0.04588744,0.01639344,0,0,0,0.1891892,0.25,0.5,0,0,1,0,0.1111111,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.03125,0,0,0,0,0.2419355,0.2121212,0,0.04477612,0.125,0,0.1333333,0,0,0,0,
IN2,Invaded,2018,6,417.3,58,19.5,0,1.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2696629,0,0,0,0.3846154,0.7142857,0,0.4,1,0.25,0,0,0,0,1,0,1,0,0.08333334,0,0.02770563,0.7213115,0,0,0,1,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0,0,0.1666667,0,0.3709677,0.09090909,0,0.05970149,0,0,0,0.1403509,0,0,0,
IN3,Invaded,2018,6,327.7,22.3,19.5,1.7,6.7,18.5,5,0,0,0.8,0,0,10,5,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0.3,0,0,0,50,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.3846154,0,1,0,0,0.125,0,1,0,0,0,0,0,0,0.5833333,0.00619195,0.04350649,0.06557377,0,0,0,0.05405406,0,0,1,0,0,0,0.5555556,0.5,0.6666667,0,1,1,0,0,0,0,0.06666667,0,0.2,1,0.2,1,0,0,0,1,0,0,0,0,0.002441406,0.15625,0,0,0,1,0.2741936,0.06060606,0,0,0.125,0.125,0.03333334,0,0,0,0,
IN4,Invaded,2018,6,286,28.7,22.4,0,6.7,18.3,0.4,0,0,11,0,0,0,5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.01123596,0,1,0,0.4615385,0.4285714,1,0,0,0.25,0,0,0,0,0,0,1,0,0.08333334,0.01857585,0.1264069,0.04918033,0,1,0,0.05405406,0.25,0.5,0.3333333,0,0,0,0,0,0,0,0.2222222,0.4285714,0,0.03703704,0,0,0.1333333,1,0.6,0,0.2,0.5,0.1666667,0,0,0,1,0,0,0,0.001464844,0.90625,0,0,0.75,0.5,0.2903226,0.1515152,0,0.05970149,0,0,0.5666667,0.1754386,0,0,0.07692308,
IN5,Invaded,2018,6,328.3,42,20.1,0,23.3,21.7,0,0,0,0.8,0,0,11.7,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1910112,0,0,0,0.6153846,0.4285714,0,0.4,0,0.25,0.3333333,0,0,1,0.3333333,0,0,0,1,0.000773994,0.02532468,1,0.2222222,0,0,0.05405406,0.25,0,0,0,0,1,0.1111111,1,1,0,0,0,0,0.03703704,0,0.25,0.2,0,0,0,0.4,0,0,0,1,0,0,0,0,0,0,0.09375,0,0,0.5833333,0.5,1,0,0.004784689,0.04477612,0,0.125,0.2666667,0.05263158,0,0,0,
IN6,Invaded,2018,6,349.7,26.3,20.3,0,5.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1235955,0,1,0,0.4615385,0,0,0,1,0.125,0,0,0,0,0,0,0,0,0.1666667,0.001547988,0.03030303,0,0,0,0,0.02702703,0,0.5,0,0,0,0,0.2222222,0.5,0,0,0,0,0,0,0,0.5,0,0,1,1,0.2,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,1,0,0.1612903,0.1212121,0.02392345,0.04477612,0,0,0.1,1,0,0,0,
IN7,Invaded,2018,6,467.3,70.5,20.8,0,7.5,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2359551,0.5,0,0,0.07692308,1,1,0.2,0,1,0,0,1,0,0,0,1,0,0.3333333,0,0.02705628,0.9180328,1,0,0,0.3513514,0,0,0.3333333,0,0,0,0,0,0,0,0.4444444,0.2857143,0,0.03703704,0,0.25,0,0,0.2,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0.21875,0.5,0,0.3333333,1,0.483871,0,0,0.07462686,0,0.25,0.5666667,0.4210526,0.025,0.5,0,
IN8,Invaded,2018,6,367,48.3,20.9,0,2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,91.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1685393,0,0,0,0,0.8571429,0,1,0,0,0.3333333,0,1,0.2,0,0,0,0,0.08333334,0.000773994,0.1341991,0.1803279,0,0.125,0,0.2972973,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5833333,0,0.483871,0,0.02870813,0,0,0,1,0.0877193,0,0,0,
INOW,Invaded,2018,5,164.3,77,23.1,0,71.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,2.5,0,0.8,0,0,0,0,0.3,1.7,0,2.5,0,0,2.5,0,0,0,0,0,0.1460674,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.02012384,0.1069264,0,0,0,0.125,0.02702703,0.25,0,0,0,0,1,0.1111111,0,0,0.5,0,0,0,0.4444444,1,0,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2296651,0.08955224,0,0,0,0,0.025,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31460666,0.5,2.5,0.5,3.38461548,4,3,2.2,2,2,0.8333333,1.8333333,3,1.4,1.6666666,0.4,4,0,2.41666666,0.058049536,0.56731595,2.95081974,1.2222222,1.125,0.125,2.05405414,1,1.5,1.8333333,0,1,2,1.1111111,2,2,0.5,1.6666666,1.7142857,0.5,0.55555552,1,1.25,0.46666664,1,2,2,1,1.5,0.3333334,1,2,1.5,1,0,0,1,0.00390625,2,0.5,0,3.4166666,3,3.3064517,0.63636365,0.287081369,0.41791044,0.25,0.5,2.66666674,1.87719298,0.05,0.5,0.07692308,68
