,Site,TrtYr,Treatment,Factor,Year,Habitat,Depth,N,rich,abundance,H,D1,J
1,IN1,Invaded_2017,Invaded,b,2017,Phragmites,35.5,4,24,267,1.941031144,0.73206245,0.61076094
2,IN2,Invaded_2017,Invaded,b,2017,Phragmites,28.7,4,26,203,1.801314823,0.659855857,0.552873373
3,IN3,Invaded_2017,Invaded,b,2017,Phragmites,35,4,21,274,1.615584288,0.673530822,0.530652778
4,IN4,Invaded_2017,Invaded,b,2017,Phragmites,36.5,3,19,271,1.291521367,0.510341635,0.438630712
5,IN5,Invaded_2017,Invaded,b,2017,Phragmites,22.3,4,26,668,1.296624289,0.557818495,0.39796988
6,IN6,Invaded_2017,Invaded,b,2017,Phragmites,43.3,4,29,216,2.340449915,0.812757202,0.695053251
7,IN7,Invaded_2017,Invaded,b,2017,Phragmites,36.7,4,25,220,2.315514244,0.838429752,0.719354946
8,IN8,Invaded_2017,Invaded,b,2017,Phragmites,65.7,4,21,629,1.093916891,0.443523295,0.359306562
9,INOW,Invaded_2017,Invaded,b,2017,Phragmites,75,4,10,101,1.322809389,0.577002255,0.574488818
10,RES1,Treated_2017,Treated,c,2017,Treated,46,4,13,465,0.365440526,0.123963464,0.142474753
11,RES2,Treated_2017,Treated,c,2017,Treated,40.7,2,17,1487,0.200939141,0.059417439,0.0709227
12,RES3,Treated_2017,Treated,c,2017,Treated,48.8,4,20,2979,0.275368936,0.085700271,0.091920409
13,RES4,Treated_2017,Treated,c,2017,Treated,50.7,4,16,937,0.6984297,0.2713581,0.251905266
14,RES5,Treated_2017,Treated,c,2017,Treated,32.2,4,11,803,0.32296278,0.119272529,0.13468594
15,RES6,Treated_2017,Treated,c,2017,Treated,55.5,4,11,149,0.822325744,0.332237287,0.342936471
16,RES7,Treated_2017,Treated,c,2017,Treated,40.3,4,8,725,0.166049682,0.05414887,0.079853018
17,RES8,Treated_2017,Treated,c,2017,Treated,66.8,4,15,481,0.476988577,0.162015206,0.176137273
18,RESOW,Treated_2017,Treated,c,2017,Treated,75,3,8,364,0.30851769,0.111007125,0.148365647
19,UNM1,Remnant_2017,Remnant,a,2017,Meadow,27.3,4,23,159,1.913923707,0.67695107,0.610405753
20,UNM2,Remnant_2017,Remnant,a,2017,Meadow,32.3,4,10,330,0.185054471,0.053719008,0.080368136
21,UNM3,Remnant_2017,Remnant,a,2017,Meadow,21.2,4,12,220,0.760183655,0.28161157,0.305920408
22,UNM4,Remnant_2017,Remnant,a,2017,Meadow,17,3,17,408,0.469427738,0.150014418,0.165687395
23,UNOW,Remnant_2017,Remnant,a,2017,Meadow,75,4,11,114,1.406564747,0.5947984,0.58658306
24,UNT1,Remnant_2017,Remnant,a,2017,Emergent,37.7,4,22,157,1.86500445,0.736662745,0.60335776
25,UNT2,Remnant_2017,Remnant,a,2017,Emergent,36.5,4,17,51,2.416891011,0.876585928,0.853056483
26,UNT3,Remnant_2017,Remnant,a,2017,Emergent,47.3,4,23,720,0.810950615,0.300401235,0.25863566
27,UNT4,Remnant_2017,Remnant,a,2017,Emergent,44,4,16,256,1.56861661,0.729309082,0.565758851
28,IN1,Invaded_2018,Invaded,b,2018,Phragmites,23.3,6,30,318,1.565230951,0.545923816,0.460199975
