Site,Treatment,Year,Habitat,Depth,N,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Lampyridae,Chrysomelida,Nitidulidae,AnthiciLarv,CocciLarvae,ErotLarvae,Collembola,Cecidomyiida,Sciaridae,Scatopsidae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Agromyzidae,Anthomyzidae,Drosophilida,Muscidae,Anthomyiidae,Calliphorida,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Baetidae,Ephemerellid,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Megaspilidae,Scelionidae,Platygastrid,Braconidae,Ichneumonida,Pompilidae,Formicidae,Diapriidae,Sphecidae,Eurytomidae,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Coccoidea,Hemerobiidae,Sisyridae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Limnephilida,Psocoptera,Cosmopterigi,Gelechiidae,Gracillariid,Noctuidae,Crambidae
IN1,Invaded,2017,Phragmites,35.5,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,129,1,0,10,0,0,10,0,1,0,1,0,0,1,4,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,31,0,0,1,0,2,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0
IN2,Invaded,2017,Phragmites,28.7,4,23,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,114,2,0,17,0,2,3,3,0,2,0,0,0,1,8,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
IN3,Invaded,2017,Phragmites,35.0,4,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,8,53,0,0,6,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,142,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
IN4,Invaded,2017,Phragmites,36.5,3,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,186,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,17,2,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0
IN5,Invaded,2017,Phragmites,22.3,4,18,11,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,413,3,0,4,0,0,4,1,0,1,6,0,1,1,0,0,0,0,0,0,11,0,1,0,0,0,161,0,2,0,4,0,2,0,0,0,0,0,0,1,0,0,11,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IN6,Invaded,2017,Phragmites,43.3,4,9,29,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,1,0,84,4,0,13,0,0,7,3,0,0,1,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,12,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,8,0,2,1,1,0,0,0,0,0,5,0,0,0,0,0
IN7,Invaded,2017,Phragmites,36.7,4,21,0,0,0,0,1,0,0,0,0,0,0,1,5,5,0,0,0,0,0,1,0,0,0,17,74,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,2,0,0,3,28,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,22,2,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
IN8,Invaded,2017,Phragmites,65.7,4,26,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,73,4,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,462,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
IN9,Invaded,2017,Phragmites,73.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,4,2,0,0,0,0,0,0,0,0,0
RES1,Treated,2017,Treated,46.0,4,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,435,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
RES2,Treated,2017,Treated,40.7,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1442,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,19,0,0,0,0,0,0,0,0,0,0
RES3,Treated,2017,Treated,48.8,4,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2848,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,12,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,2,1,1,2,17,34,0,0,0,0,0,0,0,0,0,0
