"","ID","Treatment","Date","Year","N","YrCol","Time","Family","count"
"1","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Araneae",1
"2","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Acari",0
"3","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Curculionidae",0
"4","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Staphylinidae",0
"5","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Carabidae",0
"6","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Anthicidae",0
"7","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Throscidae",0
"8","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Erotylidae",0
"9","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Cryptophagidae",0
"10","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Latridiidae",0
"11","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Phalacridae",0
"12","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Scirtidae",0
"13","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Coccinellidae",0
"14","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Lampyridae",0
"15","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Chrysomelidae",0
"16","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Nitidulidae",0
"17","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Anthicidae.Larvae",0
"18","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Coccinellidae.Larvae",0
"19","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Erotylidae.Larvae",0
"20","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Collembola",0
"21","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Cecidomyiidae",1
"22","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Sciaridae",0
"23","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Scatopsidae",0
"24","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Phoridae",1
"25","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ceratopogonidae",5
"26","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Chironomidae",28
"27","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Culicidae",1
"28","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Chaoboridae",0
"29","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Dolichopodidae",2
"30","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Empididae",0
"31","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Psychodidae",0
"32","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ephydridae",0
"33","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Carnidae",0
"34","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Sciomyzidae",0
"35","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ulidiidae",0
"36","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Chloropidae",1
"37","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Agromyzidae",0
"38","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Drosophilidae",1
"39","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Muscidae",3
"40","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Anthomyiidae",0
"41","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Calliphoridae",0
"42","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Stratiomyidae",0
"43","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Tabanidae",0
"44","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Tipulidae",3
"45","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Dixidae",0
"46","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Syrphidae",0
"47","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Caenidae",0
"48","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Pteromalidae",0
"49","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Eulophidae",18
"50","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Aphelinidae",0
"51","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ceraphronidae",0
"52","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Scelionidae",1
"53","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Platygastridae",0
"54","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Braconidae",0
"55","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ichneumonidae",0
"56","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Pompilidae",0
"57","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Formicidae",0
"58","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Diapriidae",0
"59","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Sphecidae",0
"60","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Crabronidae",0
"61","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Eurytomidae",0
"62","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Mymaridae",0
"63","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Encyrtidae",0
"64","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Halictidae",0
"65","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Aphididae",2
"66","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Cicadellidae",0
"67","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Anthocoridae",0
"68","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Miridae",0
"69","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Hemerobiidae",1
"70","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Libellulidae",0
"71","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Lestidae",0
"72","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Coenagrionidae",0
"73","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Thysanoptera",0
"74","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Hydroptilidae",0
"75","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Leptoceridae",2
"76","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Molannidae",0
"77","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Polycentropodidae",0
"78","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Phryganeidae",0
"79","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Limnephilidae",0
"80","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Psocoptera",0
"81","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Cosmopterigidae",0
"82","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Gracillariidae",0
"83","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Noctuidae",0
"84","IN1","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Crambidae",0
"85","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Araneae",1
"86","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Acari",0
"87","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Curculionidae",0
"88","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Staphylinidae",1
"89","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Carabidae",1
"90","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Anthicidae",0
"91","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Throscidae",0
"92","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Erotylidae",1
"93","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Cryptophagidae",0
"94","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Latridiidae",0
"95","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Phalacridae",0
"96","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Scirtidae",0
"97","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Coccinellidae",0
"98","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Lampyridae",0
"99","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Chrysomelidae",1
"100","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Nitidulidae",0
"101","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Anthicidae.Larvae",0
"102","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Coccinellidae.Larvae",0
"103","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Erotylidae.Larvae",0
"104","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Collembola",0
"105","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Cecidomyiidae",0
"106","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Sciaridae",0
"107","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Scatopsidae",0
"108","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Phoridae",0
"109","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ceratopogonidae",0
"110","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Chironomidae",45
"111","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Culicidae",2
"112","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Chaoboridae",0
"113","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Dolichopodidae",10
"114","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Empididae",0
"115","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Psychodidae",2
"116","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ephydridae",2
"117","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Carnidae",3
"118","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Sciomyzidae",0
"119","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ulidiidae",2
"120","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Chloropidae",0
"121","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Agromyzidae",0
"122","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Drosophilidae",0
"123","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Muscidae",7
"124","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Anthomyiidae",0
"125","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Calliphoridae",0
"126","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Stratiomyidae",0
"127","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Tabanidae",0
"128","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Tipulidae",0
"129","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Dixidae",0
"130","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Syrphidae",1
"131","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Caenidae",0
"132","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Pteromalidae",0
"133","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Eulophidae",3
"134","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Aphelinidae",0
"135","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ceraphronidae",0
"136","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Scelionidae",0
"137","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Platygastridae",0
"138","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Braconidae",0
"139","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Ichneumonidae",0
"140","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Pompilidae",0
"141","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Formicidae",0
"142","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Diapriidae",1
"143","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Sphecidae",0
"144","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Crabronidae",0
"145","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Eurytomidae",0
"146","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Mymaridae",0
"147","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Encyrtidae",0
"148","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Halictidae",0
"149","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Aphididae",0
"150","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Cicadellidae",0
"151","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Anthocoridae",0
"152","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Miridae",0
"153","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Hemerobiidae",1
"154","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Libellulidae",0
"155","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Lestidae",0
"156","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Coenagrionidae",1
"157","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Thysanoptera",0
"158","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Hydroptilidae",0
"159","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Leptoceridae",1
"160","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Molannidae",0
"161","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Polycentropodidae",0
"162","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Phryganeidae",0
"163","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Limnephilidae",0
"164","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Psocoptera",0
"165","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Cosmopterigidae",0
"166","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Gracillariidae",0
"167","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Noctuidae",0
"168","IN2","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Crambidae",0
"169","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Araneae",0
"170","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Acari",0
"171","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Curculionidae",0
"172","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Staphylinidae",0
"173","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Carabidae",0
"174","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Anthicidae",0
"175","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Throscidae",0
"176","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Erotylidae",0
"177","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Cryptophagidae",0
"178","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Latridiidae",0
"179","IN3","Invaded","19-Jun-17",2017,"Col._1","2017Col._1",30,"Phalacridae",0
