Site,Date ,Time,Avg_Can,Water_D,Water Temp,Quadrat,Litter,Water,St Dead
IN1,28-Jul-18,12:41,350,27,21.1,1,0,50,25
IN1,28-Jul-18,12:41,335,24,21.4,2,0,10,25
IN1,28-Jul-18,12:41,330,19,20.9,3,1,2.5,5
IN2,28-Jul-18,9:30,420,44,19.6,1,0,1,50
IN2,28-Jul-18,9:30,417,64,19.5,2,0,2.5,25
IN2,28-Jul-18,9:30,415,66,19.5,3,0,1,33
IN3,28-Jul-18,10:00,320,16,18.8,1,5,2.5,7.5
IN3,28-Jul-18,10:00,335,21,19.6,2,0,15,15
IN3,28-Jul-18,10:00,328,30,20,3,0,2.5,33
IN4,01-Aug-18,10:50,259,30,22.5,1,0,7.5,15
IN4,01-Aug-18,10:50,302,32,22.4,2,0,5,15
IN4,01-Aug-18,10:50,297,24,22.4,3,0,7.5,25
IN5,28-Jul-18,10:30,315,40,20.1,1,0,15,15
IN5,28-Jul-18,10:30,310,43,20,2,0,50,25
IN5,28-Jul-18,10:30,360,43,20.1,3,0,5,25
IN6,28-Jul-18,1:50,340,28,20.4,1,0,10,25
IN6,28-Jul-18,1:50,346,25,20.4,2,0,5,10
IN6,28-Jul-18,1:50,363,26,20.2,3,0,2.5,2.5
IN7,01-Aug-18,9:30,465,62.5,20.8,1,0,10,15
IN7,01-Aug-18,9:30,470,60,20.8,2,0,10,25
IN7,01-Aug-18,9:30,467,89,20.7,3,0,2.5,25
IN8,28-Jul-18,1:15,354,47,20.9,1,0,2.5,10
IN8,28-Jul-18,1:15,368,51,20.9,2,0,2.5,5
IN8,28-Jul-18,1:15,379,47,21,3,0,1,5
INOW,02-Aug-18,10:47,119,81,23.1,1,0,95,0
INOW,02-Aug-18,10:47,184,84,23.2,2,0,95,0
INOW,02-Aug-18,10:47,190,66,23.1,3,0,25,0
RES1,27-Jul-18,1:55,181,27,26.9,1,0,33,0
RES1,27-Jul-18,1:55,57,24,28.4,2,0,0,0
RES1,27-Jul-18,1:55,220,29,25.1,3,5,0,0
RES2,27-Jul-18,1:15,65,25,26.4,1,0,33,0
RES2,27-Jul-18,1:15,192,27,26.5,2,0,0,0
RES2,27-Jul-18,1:15,140,29.5,27,3,0,0,0
RES3,27-Jul-18,3:50,181,25,29.2,1,25,33,0
RES3,27-Jul-18,3:50,196,33,29,2,0,50,5
RES3,27-Jul-18,3:50,121,31,29.3,3,0,66,1
RES4,27-Jul-18,4:05,148,38,29,1,0,33,0
RES4,27-Jul-18,4:05,0,33,29.9,2,0,0,0
RES4,27-Jul-18,4:05,100,35,30.1,3,0,33,0
RES5,27-Jul-18,12:45,140,22,27.4,1,0,25,0
RES5,27-Jul-18,12:45,87,23,27.4,2,0,0,0
RES5,27-Jul-18,12:45,115,20,28.2,3,0,10,0
RES6,27-Jul-18,12:00,0,50.5,26,1,0,10,0
RES6,27-Jul-18,12:00,173,43,25,2,0,33,2.5
RES6,27-Jul-18,12:00,215,59.5,24.1,3,5,5,0.25
RES7,27-Jul-18,11:15,66,28,24.1,1,0,33,0.01
RES7,27-Jul-18,11:15,105,22,25.1,2,0,5,0.25
RES7,27-Jul-18,11:15,59,22,25.2,3,0,10,0
RES8,27-Jul-18,10:40,106,16.5,24.6,1,0,10,1
RES8,27-Jul-18,10:40,125,9,25.3,2,0,10,0
RES8,27-Jul-18,10:40,195,44,24,3,2.5,0,0
RESOW,27-Jul-18,2:30,125,41,27.2,1,0,33,0
RESOW,27-Jul-18,2:30,116,60,26.7,2,0,85,0
RESOW,27-Jul-18,2:30,115,48,26.6,3,0,33,0
UNM1,28-Jul-18,11:30,135,17,21.2,1,15,10,0
UNM1,28-Jul-18,11:30,115,14,21.2,2,10,15,10
UNM1,28-Jul-18,11:30,120,18,21.4,3,25,25,0
UNM2,26-Jul-18,9:00,128,17,22,1,25,25,0.25
UNM2,26-Jul-18,9:00,110,18,22,2,25,15,0
UNM2,26-Jul-18,9:00,125,15,21.8,3,50,5,0
UNM3,26-Jul-18,10:40,113,12,21.9,1,25,25,25
UNM3,26-Jul-18,10:40,93,2,23.4,2,50,2.5,5
UNM3,26-Jul-18,10:40,100,7,23,3,50,2.5,2.5
UNM4,26-Jul-18,12:15,149,16,22.2,1,0,5,0
UNM4,26-Jul-18,12:15,151,21,22.5,2,0,15,0
UNM4,26-Jul-18,12:15,160,8,22.3,3,5,10,0
UNT1,28-Jul-18,8:50,290,34,19.5,1,0,5,10
UNT1,28-Jul-18,8:50,295,37.5,19.7,2,0,5,25
UNT1,28-Jul-18,8:50,300,33,19.7,3,0,1,7.5
UNT2,01-Aug-18,12:45,241,37.5,20.1,1,0,7.5,75
UNT2,01-Aug-18,12:45,261,36,20.2,2,0,33,33
UNT2,01-Aug-18,12:45,236,35,20.3,3,0,2.5,50
UNM5,26-Jul-18,1:30,125,25,24.3,1,33,15,0
UNM5,26-Jul-18,1:30,128,20,26,2,33,5,2.5
UNM5,26-Jul-18,1:30,115,29,27.2,3,7.5,66,0
UNM6,26-Jul-18,1:21,170,34,25.2,1,0,66,0
UNM6,26-Jul-18,1:21,160,36,26.9,2,0,75,1
UNM6,26-Jul-18,1:21,145,28.5,25.5,3,2.5,50,2.5
