"","Site","Litter","Water","Dead","St_Dead","Bare_Ground","Moss","APOCANNA","ASCINAR","CALCANAD","CAMAPARI","CALSEPIU","CARAQUAT","CARBUXBA","CARCOMOS","CARCRAWE","CARCRYPT","CARLACUS","CARLANGU","CARLASIO","CARSARTW","Carex.Spp","CLAMARIS","Chara.spp.","CORRACEM","CORSTOLO","CORSTOLO.1","Cornus.sp","Cornus.sp.1","DECVERTI","DECVERTI.1","DICIMPLI","DICIMPLI.1","ELEQUADR","ELEQUADR.1","Eleocharis.Spp","ELOCANAD","EQUFLUVI","EQUVARIE","Equisetum.Spp","fern","FRAVIRGI","HYDMORSU","HYPKALMI","IMPCAPEN","IRIVERSA","JUNBALTI","JUNBREVI","Lemma.Sp.","LYSTHYRS","Lycopus.Spp.","LYTSALIC","MENARVEN","NAJMINOR","NYMODORA","PHRAUSTR","POLAMPHI","POLAMPLI","POLPENSY","Polygonum.Spp","PONCORDA","POTANSER","POTALPIN","POTGRAMI","POTILLIN","Potemogeton.sp","PROPALUS","ROSASCIC","ROSPALUS","Rosa.Spp","SAGLATIF","Sagitarius.sp","SCHTABER","SCIACUTU","SCIMICRO","SCIPUNGE","SOLOHIOE","Solidago.Spp.","SPAEURYC","STAPALUS","TOXRADIC","THEPALUS","TRIFRASE","TYPANGUS","TYPANGUS.1","TYPxGLAUC","TYPHA.SPP","Unk.Forb","Unk.Gram","UTRINTER","UTRVULGA","Vetch.sp","VITRIPAR","ZIZPALUS"
"1","IN1",0.333333333333333,20.8333333333333,29,18.3333333333333,0,0,0,0,3.66666666666667,0.00333333333333333,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"2","IN2",0,1.5,29.6666666666667,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,60.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","IN3",1.66666666666667,6.66666666666667,15.6666666666667,18.5,0,0,0,0,5,0,0,0.833333333333333,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16666666666667,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,50,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","IN4",0,6.66666666666667,50,18.3333333333333,0,0,0,0,0.416666666666667,0,0,11,0,0,0,0,0,5,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0
"5","IN5",0,23.3333333333333,41.6666666666667,21.6666666666667,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,43.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","IN6",0,5.83333333333333,33.3333333333333,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","IN7",0,7.5,38.3333333333333,21.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","IN8",0,2,24,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,91.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","INOW",0,71.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0,0,2.5,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0.333333333333333,1.66666666666667,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
"10","RES1",1.66666666666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6666666666667,0,0,0,0,0,8.41666666666667,0,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,25,0.00333333333333333,0,11.0833333333333,4.16666666666667,0,0,0
"11","RES2",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0,27.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0
"12","RES3",8.33333333333333,49.6666666666667,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,5.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6666666666667,0.00333333333333333,0,0,0.833333333333333,0,0,0
"13","RES4",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6666666666667,0,0,0,0
"14","RES5",0,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,16.6666666666667,0,0,1.16666666666667,0,0,0,0
"15","RES6",1.66666666666667,16,0,0.916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3333333333333,0,0,4.16666666666667,25.3333333333333,0,0,0
"16","RES7",0,16,0.666666666666667,0.0866666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,5.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,24.5,10,0,0,0
"17","RES8",0.833333333333333,6.66666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,19.3333333333333,0,0,0,5,0,0,0,0,0,0,0,10.8333333333333,0,0,0,20.1666666666667,0,0,0
"18","RESOW",0,50.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,10.8333333333333,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,16.6666666666667
"19","UNM1",16.6666666666667,16.6666666666667,0,3.33333333333333,0,0,0,0,15,0,0,7,5.83333333333333,0,0,0,0,27,0,10,0,0.00333333333333333,0,0,0,0,1.33333333333333,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","UNM2",33.3333333333333,15,0,0.0833333333333333,0,0,0,0,11.6666666666667,0.00666666666666667,0,5,10,0,0,0,0,6.66666666666667,0,0,0,10.6666666666667,0,0,0,0,0.333333333333333,0.833333333333333,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,2.5,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
"21","UNM3",41.6666666666667,10,0,10.8333333333333,0,0,0,0,10,0.42,0.0833333333333333,0.833333333333333,10,0,0,0.00333333333333333,0,0,0,0,0,10.8333333333333,0,0,0,0,0.666666666666667,1.75,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,3.66666666666667,0,3.33333333333333,1.66666666666667,0,0,1.75,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","UNM4",1.66666666666667,10,0,0,0,0,0,0,88.3333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0.333333333333333,0,0.333333333333333,0,0
"23","UNM5",24.5,28.6666666666667,0,0.833333333333333,0,0,0,0,5,0.00333333333333333,0,11.8333333333333,0.333333333333333,0,0,0,0,5.83333333333333,8.33333333333333,5,0,6.66666666666667,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1.16666666666667,0,0,0,0
"24","UNM6",0.833333333333333,63.6666666666667,0,1.16666666666667,0,0,0,0,2.83333333333333,0,0,1.16666666666667,0,0,0,0,0,18.3333333333333,0,0,0,5.00333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0
"25","UNT1",0,3.66666666666667,0,14.1666666666667,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3333333333333,0,0,0,0,0,0,0
"26","UNT2",0,14.3333333333333,0,52.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6666666666667,0,0,0,0,0,0,0
