Site,Avg_Can,Depth,Moisture,Temp,DissOx,OpenWater,St.Dead,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCOMOS,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CLAMARIS,CORSTOLO,FRAVIRGI,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,LYSTHYRS,PHRAUSTR,Polygonum.Spp,Rosa.Spp,Solidago.Spp.,TYPHA.SPP,Unk.Forb,UTRINTER
IN1,207.3333333,35.5,87.23333333,20.13333333,5.313333333,44.33333333,24.33333333,7.5,0.003333333,0,0.333333333,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.333333333,16.66666667,0,0,0,0,0,0
IN2,233.6666667,28.66666667,62.03333333,19.33333333,4.556666667,11.66666667,11.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.33333333,0,0,0,0,0,0
IN3,237,35,66.03333333,18.66666667,4.123333333,38.33333333,18.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41.33333333,0,0,0,0,0,0
IN4,188,36.5,81.13333333,20.73333333,5.626666667,36,25,1,0,0,10.83333333,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,27.66666667,0,0,0,0.333333333,0,0
IN5,205.3333333,22.33333333,,,5.79,27,30,0.083333333,0,0,1.666666667,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,30.33333333,0,0,0,0,0,0
IN6,188.6666667,43.33333333,85.33333333,18.23333333,3.033333333,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
IN7,228.3333333,36.66666667,,,4.88,36.33333333,32.66666667,1.67,0,0,0,0,0,0,3.666666667,0,0,0,0,0,0,0,0,0,0,0,23.66666667,0.75,0,0,2.583333333,0,0
IN8,215.6666667,65.66666667,89.7,19.4,2.803333333,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,50,0,0,0,0,0,0
RES1,0,46,,,5.233333333,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES2,0,40.66666667,,,5.87,100,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0
RES3,0,48.83333333,,,7.893333333,98.33333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,1.666666667,0,0.416666667
RES4,0,50.66666667,,,5.106666667,93.33333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333
RES5,0,32.16666667,,,7.31,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0
RES6,0,55.5,,,4.786666667,96.66666667,2.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0.666666667
RES7,0,40.33333333,,,6.02,88.66666667,11.33333333,0.083333333,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0
RES8,0,66.83333333,,,4.316666667,81.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33333333,0,0,0,0,0,0,0,0,0,0,0
UNM1,80.33333333,27.33333333,75.7,19.36666667,3.196666667,49.66666667,16.66666667,12.5,0.086666667,0.003333333,5.833333333,9.166666667,0,0,0,0,0,0.833333333,0.083333333,4.166666667,0,0,0,3.333333333,0,0.166666667,0,0,0,0.333333333,0,0,0
UNM2,57.33333333,32.33333333,77.3,20.26666667,7.156666667,49.66666667,22.66666667,10,0.083333333,0.083333333,2.5,1.25,0,0,0,0,0,0,0.75,0,0,0,8.333333333,0,0,0,0,0,0,1.166666667,0,0,0
UNM3,53.33333333,21.16666667,77.63333333,20.4,6.84,60.66666667,5.833333333,8.666666667,0.003333333,0,1,0.25,0,0.333333333,0,0,0,0,0,0.833333333,0.083333333,0,16.83333333,0,0,0.833333333,0,0,0.333333333,6.666666667,0,0.083333333,0
UNM4,79.33333333,17,83.6,17.53333333,3.386666667,30.33333333,24.33333333,36,0.01,0,0,0,0,0,0,3.333333333,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0
UNT1,162.6666667,37.66666667,,,6.08,19.16666667,49.66666667,5.833333333,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.083333333,0,0.833333333,0,0,18.33333333,0,0
UNT2,156.6666667,36.5,,,4.933333333,30.33333333,52.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,15,0,0
UNT3,193,47.33333333,86.03333333,19.4,4.516666667,31,25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,2.5,0,0,38.66666667,0,0
UNT4,189,44,81.7,18.83333333,3.8,21.66666667,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
