Site,Treatment,Year,Three,Four
IN1,Invaded,2017,1,1
IN2,Invaded,2017,1,1
IN3,Invaded,2017,1,1
IN4,Invaded,2017,1,1
IN5,Invaded,2017,1,1
IN6,Invaded,2017,1,1
IN7,Invaded,2017,7,7
IN8,Invaded,2017,1,1
INOW,Invaded,2017,9,9
RES1,Restored,2017,9,10
RES2,Restored,2017,9,10
RES3,Restored,2017,9,10
RES4,Restored,2017,9,10
RES5,Restored,2017,1,1
RES6,Restored,2017,9,9
RES7,Restored,2017,9,9
RES8,Restored,2017,1,1
RESOW,Restored,2017,9,10
UNM1,Uninvaded,2017,1,1
UNM2,Meadow,2017,1,1
UNM3,Meadow,2017,9,9
UNM4,Meadow,2017,1,1
UNOW,Open Water,2017,9,9
UNT1,Typha,2017,1,1
UNT2,Typha,2017,1,1
UNT3,Typha,2017,9,9
UNT4,Typha,2017,1,1
IN1,Invaded,2018,7,7
IN2,Invaded,2018,7,7
IN3,Invaded,2018,7,7
IN4,Invaded,2018,7,7
IN5,Invaded,2018,7,7
IN6,Invaded,2018,7,7
IN7,Invaded,2018,7,7
IN8,Invaded,2018,7,7
INOW,Invaded,2018,9,9
RES1,Restored,2018,9,10
RES2,Restored,2018,9,10
RES3,Restored,2018,9,10
RES4,Restored,2018,9,10
RES5,Restored,2018,9,10
RES6,Restored,2018,9,9
RES7,Restored,2018,9,10
RES8,Restored,2018,9,10
RESOW,Restored,2018,9,9
UNM1,Meadow,2018,7,7
UNM2,Meadow,2018,1,1
UNM3,Meadow,2018,1,1
UNM4,Meadow,2018,7,7
UNM5,Meadow,2018,7,7
UNM6,Meadow,2018,7,7
UNOW,Open Water,2018,9,9
UNT2,Typha,2018,7,7
UNT2,Typha,2018,7,7
