Species,MaxGroup,IV,Mean,Std,pvalue
Araneae,2,30.5,29.1,5.12,0.3361
Acari,1,15.8,13.9,7.38,0.2939
Curculionida,1,15.3,11.4,5.57,0.2046
Staphylinida,3,10.7,12.9,5.52,0.5753
Carabidae,1,21.8,13.2,5.3,0.065
Anthicidae,3,66.8,19.3,6.2,0.0002
Throscidae,4,15.3,8.7,5.71,0.1464
Erotylidae,3,31.2,18.2,5.78,0.0352
Cryptophagid,3,8.4,11.9,5.55,0.6433
Latridiidae,3,32.8,16.4,5.63,0.0156
Phalacridae,4,10.1,11.1,5.19,0.4559
Scirtidae,2,12.7,9.4,5.49,0.2176
Coccinellida,3,42.8,17.4,6.4,0.0042
Lampyridae,3,47.2,13.5,5.97,0.0006
Chrysomelida,3,10.7,10.3,5.43,0.3001
Nitidulidae,3,30.6,11.1,5.87,0.0106
Anthicidae.l,3,10.2,10.2,5.37,0.3279
Coccinellida,3,10.6,12.6,6.04,0.5597
Erotylidae.L,3,26.7,10,5.76,0.0244
Collembola,3,20.9,11.5,6.2,0.0848
Cecidomyiida,3,22.5,12.9,5.56,0.0612
Sciaridae,5,24.8,12.1,5.42,0.0322
Scatopsidae,1,12.9,8.7,5.53,0.2875
Phoridae,3,34.9,17.2,6.79,0.0238
Ceratopogoni,5,80,59,8.24,0.0008
Chironomidae,5,58.5,31,4.79,0.0002
Culicidae,3,51.5,20.7,7.61,0.0026
Chaoboridae,3,11.9,10.6,5.52,0.2625
Dolichopodid,1,79.4,16,6.14,0.0002
Empididae,4,20,10.8,5.4,0.1126
Psychodidae,1,16.4,9.1,5.58,0.144
Ephydridae,3,36.2,28,5.36,0.083
Carnidae,1,25.6,15.1,5.74,0.056
Sciomyzidae,5,24.5,13.1,5.4,0.0428
Ulidiidae,1,20,8.6,4.89,0.082
Chloropidae,3,29.7,16.7,6.22,0.0466
Agromyzidae,5,28.6,11.6,5.82,0.0184
Drosophilida,1,32.4,12,5.54,0.0058
Muscidae,1,33.8,14.6,6.41,0.015
Anthomyiidae,3,21.4,14.8,6.18,0.1352
Calliphorida,3,34.3,11.2,5.41,0.0046
Stratiomyida,1,14.8,19.1,7.47,0.6859
Tabanidae,2,18.3,10.4,5.84,0.0946
Tipulidae,3,22.3,14,6.43,0.1018
Dixidae,3,29.7,12.1,5.73,0.0146
Syrphidae,3,32,12.2,5.72,0.009
Caenidae,4,21.2,23.2,6.93,0.5483
Pteromalidae,3,35.9,15.5,5.75,0.0072
Eulophidae,1,54.9,33.3,8.8,0.0234
Aphelinidae,1,7.3,12.1,5.74,0.8294
Ceraphronida,3,31.7,13.6,6.18,0.0148
Scelionidae,1,23.1,19.9,6.54,0.2575
Platygastrid,3,17.3,10.9,5.59,0.119
Braconidae,1,49.3,15.9,6.13,0.0008
Ichneumonida,2,37.8,14.5,5.41,0.0022
Pompilidae,1,10,10,5.4,0.3687
Formicidae,3,6.7,8.8,5.47,0.4543
Diapriidae,1,21,11.8,5.53,0.0662
Sphecidae,2,17.1,9,5.5,0.108
Crabronidae,3,6.7,9.3,1.76,1
Eurytomidae,1,24.5,9.3,5.52,0.0364
Mymaridae,5,20.9,12.2,5.35,0.08
Encyrtidae,3,7.6,8.5,5.44,0.4331
Halictidae,2,8.5,8.7,4.92,0.2939
Aphididae,3,35.9,38.7,11.76,0.5525
Cicadellidae,3,60.3,22.6,7.16,0.0006
Anthocoridae,2,12.5,11.8,5.52,0.3715
Miridae,3,18.5,12.2,6.03,0.1416
Hemerobiidae,1,70,11.2,5.34,0.0002
Libellulidae,3,22.3,18.3,6.08,0.2104
Lestidae,3,18.9,14.7,5.55,0.1794
Coenagrionid,3,61.3,22.6,7.1,0.0002
Thysanoptera,3,52.4,25.1,6.95,0.0018
Hydroptilida,5,50.3,36.4,9.46,0.0846
Leptoceridae,5,52.6,26.5,6.04,0.0014
Molannidae,4,33.3,10.2,5.46,0.0044
Polycentropo,4,22.2,14.9,6.37,0.129
Phryganeidae,4,25.5,16.7,6.59,0.098
Limnephilida,3,72.4,15.2,6.57,0.0002
Psocoptera,3,50.3,14.4,6.74,0.0014
Cosmopterigi,3,13,16.4,7.96,0.6557
Gracillariid,1,6.3,9.5,5.43,0.7305
Noctuidae,3,12.5,9.5,5.5,0.2314
Crambidae,5,31.1,14.3,7.15,0.03
