Species,MaxGroup,IV,Mean,Std,pvalue
Araneae,3,32.6,33,5.4,0.4715
Acari,1,17.2,13.1,6.37,0.2248
Curculionida,1,15.3,11.3,5.33,0.1888
Staphylinida,3,11.4,13.1,5.35,0.5241
Carabidae,1,27.1,13.7,5.41,0.0278
Anthicidae,3,70.5,20.5,6.15,0.0002
Throscidae,2,5.8,7.9,4.67,0.6243
Erotylidae,3,34,19.5,5.8,0.0234
Cryptophagid,3,8.9,11.9,5.35,0.6415
Latridiidae,3,38.3,17.6,6.01,0.0088
Phalacridae,1,7.1,11.2,5.3,0.7622
Scirtidae,2,4.4,8.7,4.92,0.8528
Coccinellida,3,44.6,18,6.22,0.0018
Lampyridae,3,47.2,13.5,5.78,0.0004
Chrysomelida,3,10.7,9,4.87,0.2829
Nitidulidae,3,30.6,10.7,5.46,0.008
Anthicidae.l,3,10.2,9.9,5.14,0.3269
Coccinellida,3,12.4,12.6,6.06,0.3989
Erotylidae.L,3,26.7,9.3,5.21,0.0106
Collembola,3,22.2,10.9,5.62,0.0476
Cecidomyiida,3,22.5,12.9,5.46,0.059
Sciaridae,4,26.6,12.4,5.38,0.0238
Scatopsidae,1,15.7,8,4.72,0.0946
Phoridae,3,36.2,17.7,6.8,0.0186
Ceratopogoni,4,83.9,60.5,8.32,0.001
Chironomidae,4,68.8,35.9,5.29,0.0002
Culicidae,3,52.8,21.9,7.82,0.004
Chaoboridae,3,11.9,9.3,4.91,0.2218
Dolichopodid,1,81.2,16.6,6.07,0.0002
Empididae,2,16.7,9.5,4.89,0.1642
Psychodidae,1,16.4,8.2,4.71,0.0984
Ephydridae,3,39.7,31.8,5.62,0.092
Carnidae,1,27.1,15.6,5.68,0.0446
Sciomyzidae,4,24.5,13.6,5.38,0.0478
Ulidiidae,1,20,7.5,4.22,0.0328
Chloropidae,3,31.2,17.5,6.28,0.0402
Agromyzidae,4,28.6,11.3,5.63,0.0166
Drosophilida,1,36.1,12.1,5.45,0.0026
Muscidae,1,36.4,14.8,6.16,0.0076
Anthomyiidae,3,24.3,15,5.99,0.0766
Calliphorida,3,34.3,11.2,5.32,0.005
Stratiomyida,1,15,19.8,7.29,0.6947
Tabanidae,2,12.6,9.6,5.25,0.2492
Tipulidae,3,23.4,13.9,6.11,0.078
Dixidae,3,29.7,12.1,5.73,0.0128
Syrphidae,3,32,12.2,5.59,0.0086
Caenidae,2,30.8,25.2,7.08,0.1884
Pteromalidae,3,38,16.2,5.72,0.006
Eulophidae,1,64.4,35.8,8.89,0.0056
Aphelinidae,1,8.7,12.2,5.57,0.6609
Ceraphronida,3,33.1,13.7,5.97,0.0126
Scelionidae,1,27,21,6.44,0.1592
Platygastrid,3,17.3,10.5,5.31,0.114
Braconidae,1,51.5,16.9,6.3,0.0006
Ichneumonida,1,19.8,15.2,5.46,0.1712
Pompilidae,1,10,9.8,5.07,0.3341
Formicidae,3,6.7,8.1,4.81,0.4711
Diapriidae,1,21,11.8,5.24,0.0688
Sphecidae,2,6.9,8.2,4.86,0.5227
Crabronidae,3,6.7,7.4,1.77,0.6693
Eurytomidae,1,24.5,9.1,5.06,0.0188
Mymaridae,4,20.9,12.2,5.26,0.0776
Encyrtidae,3,7.6,8.2,4.87,0.4137
Halictidae,2,3.5,7.6,4.31,1
Aphididae,3,36.1,38.8,11.13,0.5575
Cicadellidae,3,63.3,24.5,7.25,0.0002
Anthocoridae,2,12.6,11.7,5.3,0.3613
Miridae,3,20.4,11.8,5.84,0.084
Hemerobiidae,1,70,11.1,5.06,0.0002
Libellulidae,3,23.7,19.4,6,0.2078
Lestidae,3,21.3,15.3,5.38,0.1258
Coenagrionid,3,63.3,24.2,7.13,0.0002
Thysanoptera,3,57.7,27.1,7.12,0.001
Hydroptilida,4,63.2,38.3,9.37,0.0098
Leptoceridae,4,62.8,30,6.51,0.0002
Molannidae,2,16.7,9,4.85,0.1286
Polycentropo,2,12.4,15.4,6.37,0.6181
Phryganeidae,3,16.6,17.2,6.36,0.4401
Limnephilida,3,72.4,15.6,6.49,0.0002
Psocoptera,3,50.3,14.2,6.39,0.0008
Cosmopterigi,3,15.5,15.5,7.09,0.4431
Gracillariid,1,7.1,8.5,4.86,0.5399
Noctuidae,3,12.5,9,5.06,0.1898
Crambidae,4,31.9,14.1,6.82,0.0194
