,Treatment,Year,TrtYr,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Lampyridae,Chrysomelida,Nitidulidae,Anthicidae.l,Cocci.larv,Erotylidae.l,Collembola,Cecidomyiida,Sciaridae,Scatopsidae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Agromyzidae,Anthomyzidae,Drosophilida,Muscidae,Anthomyiidae,Calliphorida,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Baetidae,Ephemerellid,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Megaspilidae,Scelionidae,Platygastrid,Braconidae,Ichneumonida,Pompilidae,Formicidae,Diapriidae,Sphecidae,Eurytomidae,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Coccoidea,Hemerobiidae,Sisyridae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Limnephilida,Psocoptera,Cosmopterigi,Gelechiidae,Gracillariid,Noctuidae,Crambidae
IN1_2017,Invaded,2017,Invaded2017,0.258427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08333334,0.004643963,0.02792208,0.01639344,0,0.5882353,0,0,0.2702703,0,0.5,0,0.1666667,0,0,0.3333333,0.5,0,0,0,0,0.3333333,0,0,0,0,0,0,0.1552795,0,0,0,0.3333333,0,0.1666667,0,1,0,0.5,0,0,0,0,0,0.01513672,0,0,0.125,0,1,0,0,0,0,0,0,0.1044776,0,0.09090909,0.125,0,0,0,0,0,0,0
IN2_2017,Invaded,2017,Invaded2017,0.258427,0,0,0.5,0.5,0,0,0.2857143,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.02467532,0.03278688,0,1,0,1,0.08108108,0.75,0,1,0,0,0,0.3333333,1,0,0.5,0,0,0,0,0.25,0,0,0,0,0.05590062,0,0,0,0.08333334,0,0.1666667,1,0,0,1,0,0,0,0,0,0.000976563,0,0,0,0,0.5,0,0.08333334,0,0.01612903,0,0,0.01492537,0,0,0,0,0,0,0,0,0,0
IN3_2017,Invaded,2017,Invaded2017,0.02247191,0,0,0,0,0,0,0.1428571,0,0,0,0,0.25,0,0,0,0,0.2,0,0,0,0,0,0.1666667,0.00619195,0.01147186,0,0,0.3529412,0,0,0.1351351,0.25,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2298137,1,0,0,0,0,0,0.5,0,0,0.5,0,1,0.5,0,0,0.06933594,0.03125,0,0,0,0,0,0,0,0,0,0.01435407,0.02985075,0,0,0,0,0,0,0,0,0,0
IN4_2017,Invaded,2017,Invaded2017,0.3370787,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0.002321981,0.04025974,0.01639344,0,0,0,0,0.1081081,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0.03703704,0,0,0,0.0621118,0.3333333,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0.008300781,0.0625,0,0,0,0,0,0,0.5,0.01612903,0,0,0.07462686,0,0,0,0,0,0,0,0,0,0
IN5_2017,Invaded,2017,Invaded2017,0.2022472,0.3793103,0.5,0,0.5,0,0,0.2857143,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.003095975,0.08939394,0.04918033,0,0.2352941,0,0,0.1081081,0.25,0,0.5,1,0,1,0.3333333,0,0,0,0,0,0,1,0,0.03703704,0,0,0,1,0,0.4,0,0.3333333,0,0.3333333,0,0,0,0,0,0,0.5,0,0,0.005371094,0,0,0,0,1,0,0,0,0,0,0,0.01492537,0,0,0,0,0,0,0,0,0,0
IN6_2017,Invaded,2017,Invaded2017,0.1011236,1,0.5,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0.2,0,0,1,0,1,0.08333334,0,0.01818182,0.06557377,0,0.7647059,0,0,0.1891892,0.75,0,0,0.1666667,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0.07453416,0.3333333,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0.002441406,0,0,0,0,1,0,0.6666667,0,0.03225806,0.03030303,0.004784689,0,0,0,0,0,0.0877193,0,0,0,0,0
IN7_2017,Invaded,2017,Invaded2017,0.2359551,0,0,0,0,0.07692308,0,0,0,0,0,0,0.125,0.8333333,1,0,0,0,0,0,0.5,0,0,0,0.01315789,0.01601732,0,0,0.05882353,0,0.5,0.05405406,0,0,0,0.1666667,0,0,0,0,0,0,0.6,0,0,0,0,0.07407407,0,0,0.75,0.173913,0,0,0,1,0,0.3333333,0,0,0,0,0,0,0,0,0,0.01074219,0.0625,0,0.75,0,0,0,0,0,0,0.03030303,0.004784689,0.01492537,0,0,0,0,0,0,1,0,0,0
IN8_2017,Invaded,2017,Invaded2017,0.2921348,0,0,0,0,0,0,0.5714286,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0.5,0,0,0.08333334,0.000773994,0.01580087,0.06557377,0,1,0,0,0.4594595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03703704,0,0,0,0.05590062,0,0.2,0,0.1666667,0,0,0,0,0,0.5,0.5,1,0,0,0,0.2255859,0.0625,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0.03508772,0,0,0,0,0
INOW_2017,Invaded,2017,Invaded2017,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002321981,0.01363636,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2592593,0,0,0,0.01863354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01612903,0,0.07655502,0.05970149,0.2857143,0,0,0,0,0,0,0,0,0
RES1_2017,Restored,2017,Restored2017,0.1348315,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001547988,0.09415584,0,0,0,0,0,0.02702703,0,0,0,0,0.3333333,0,0,0.25,0,0,0.06666667,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0.5,0,0,0,0.08955224,0,0,0,0,0,0,0,0,0,0
