ID,Treatment,Year,N,Sum,Richness
IN1,Invaded,2017,4,268,25
IN2,Invaded,2017,4,205,28
IN3,Invaded,2017,4,274,21
IN4,Invaded,2017,3,271,19
IN5,Invaded,2017,4,671,29
IN6,Invaded,2017,4,216,29
IN7,Invaded,2017,4,220,25
IN8,Invaded,2017,4,629,21
INOW,Invaded,2017,4,101,10
IN1,Invaded,2018,6,318,30
IN2,Invaded,2018,6,313,20
IN3,Invaded,2018,6,309,31
IN3,Invaded,2018,6,757,36
IN5,Invaded,2018,6,342,35
IN6,Invaded,2018,6,274,24
IN7,Invaded,2018,6,357,34
IN8,Invaded,2018,6,756,20
INOW,Invaded,2018,5,620,19
RES1,Restored,2017,4,465,13
RES2,Restored,2017,2,1487,17
RES3,Restored,2017,4,2979,20
RES4,Restored,2017,4,937,16
RES5,Restored,2017,4,803,11
RES6,Restored,2017,4,149,11
RES7,Restored,2017,4,725,8
RES8,Restored,2017,4,481,15
RESOW,Restored,2017,3,365,9
RES1,Restored,2018,6,2536,15
RES2,Restored,2018,6,5055,22
RES3,Restored,2018,6,2651,23
RES4,Restored,2018,5,1920,16
RES5,Restored,2018,4,2037,11
RES6,Restored,2018,6,3328,19
RES7,Restored,2018,6,3122,20
RES8,Restored,2018,6,2151,12
RESOW,Restored,2018,5,426,18
UNT1,Typha,2017,4,157,22
UNT2,Typha,2017,4,51,17
UNT3,Typha,2017,4,721,24
UNT4,Typha,2017,4,257,17
UNT2,Typha,2018,6,387,34
UNT2,Typha,2018,6,237,29
UNM1,Meadow,2018,6,1243,27
UNM2,Meadow,2018,6,255,18
UNM3,Meadow,2018,6,129,27
UNM4,Meadow,2018,6,2257,28
UNM5,Meadow,2018,6,227,37
UNM6,Meadow,2018,6,621,33
UNM1,Meadow,2017,4,159,23
UNM2,Meadow ,2017,4,330,10
UNM3,Meadow ,2017,4,220,12
UNM4,Meadow ,2017,3,410,19
UNOW,Open Water,2017,4,114,11
UNOW,Open water,2018,5,1506,12
