"","MDS1","MDS2","species"
"Oligochaeta",0.331908873610173,0.397638430529454,"Oligochaeta"
"Hirudinea",0.431613011684949,-0.30916063490448,"Hirudinea"
"Hydrazoa",0.367020531045318,0.506619670421272,"Hydrazoa"
"Bivalvia",0.149974167525997,0.520546334097633,"Bivalvia"
"Gastropoda",0.28274050854512,0.54491212962296,"Gastropoda"
"Araneae",-0.653070372633603,0.0235540556974186,"Araneae"
"Amphipoda",0.408800752368336,0.277211792882503,"Amphipoda"
"Ostracoda",0.243597105406064,0.398303593297711,"Ostracoda"
"Collembola",-0.767447680925972,-0.161685148969205,"Collembola"
"Dytiscidae",0.200568626728124,0.218374145043754,"Dytiscidae"
"Hydrophilidae",-0.667905685338098,-0.108642426039462,"Hydrophilidae"
"Lampyridae",-0.294270489384287,-0.15350853830321,"Lampyridae"
"Chironomidae",0.362928927446719,0.712990436312686,"Chironomidae"
"Ceratopogonidae",0.238045295376839,0.369372789751419,"Ceratopogonidae"
"Caenidae",0.300331522748322,0.542560229620473,"Caenidae"
"Thysanoptera",-0.266290399209182,-0.0791245111600151,"Thysanoptera"
"Leptoceridae",0.178277572975276,0.567603388921116,"Leptoceridae"
