"","MDS1","MDS2","species"
"Oligochaeta",0.298930026467224,0.466524954486781,"Oligochaeta"
"Hirudinea",0.459324427803298,-0.240774884343203,"Hirudinea"
"Hydrazoa",0.291076540801384,0.618021076441432,"Hydrazoa"
"Gastropoda",0.242386615453396,0.590206248044455,"Gastropoda"
"Araneae",-0.650483495709892,-0.0484754205567682,"Araneae"
"Collembola",-0.736743897722461,-0.223363140200661,"Collembola"
"Staphylinidae",-0.664244180545483,-0.241539673260297,"Staphylinidae"
"Hydrophilidae",-0.66378121343156,-0.113700743772509,"Hydrophilidae"
"Chironomidae",0.298293200321529,0.766356291798263,"Chironomidae"
"Cecidomyiidae",-0.492695011801065,-0.269291148198749,"Cecidomyiidae"
"Caenidae",0.250696531113778,0.589684753321945,"Caenidae"
"Pleidae",0.149086602399652,0.501661132476724,"Pleidae"
"Leptoceridae",0.122036523686659,0.580668738011596,"Leptoceridae"
