"","X","Site","Treatment","Habitat","Year","TrtYr","HabYr","Cluster3","Cluster4","NMDS1","NMDS2","NMDS3"
"1",1,"IN1","Invaded","Phragmites",2017,"Invaded_2017","Phragmites_2017","1","1",-0.348651550400982,0.0517686622355667,-0.321652071041627
"2",2,"IN2","Invaded","Phragmites",2017,"Invaded_2017","Phragmites_2017","1","1",-0.537321247123856,0.2746837827043,0.036622979266429
"3",3,"IN3","Invaded","Phragmites",2017,"Invaded_2017","Phragmites_2017","1","1",-0.284490468705379,0.347612400450574,-0.164024284976334
"4",4,"IN4","Invaded","Phragmites",2017,"Invaded_2017","Phragmites_2017","1","1",-0.207431591978437,0.34808688813734,0.241303549546215
"5",5,"IN5","Invaded","Phragmites",2017,"Invaded_2017","Phragmites_2017","1","1",-0.490150046894892,0.130893651793845,-0.217070524787311
"6",6,"IN6","Invaded","Phragmites",2017,"Invaded_2017","Phragmites_2017","1","1",-0.544979805191364,0.0884819403804405,0.117458092000492
"7",7,"IN7","Invaded","Phragmites",2017,"Invaded_2017","Phragmites_2017","7","7",-0.51140320188742,-0.148362122240359,-0.400406518246464
"8",8,"IN8","Invaded","Phragmites",2017,"Invaded_2017","Phragmites_2017","1","1",-0.571139645597149,0.0311820946395366,-0.0602520660625343
"9",9,"INOW","Invaded","Phragmites",2017,"Invaded_2017","Phragmites_2017","9","9",0.625587602432182,0.0575537097160371,0.603316712663194
"10",10,"RES1","Treated","Treated",2017,"Treated_2017","Treated_2017","9","10",0.0794824326187135,0.124699583513736,-0.541285217399749
"11",11,"RES2","Treated","Treated",2017,"Treated_2017","Treated_2017","9","10",0.183245512513893,0.088812770885911,-0.435356130180901
"12",12,"RES3","Treated","Treated",2017,"Treated_2017","Treated_2017","9","10",0.28217890973144,-0.0636299241532448,-0.356262461854119
"13",13,"RES4","Treated","Treated",2017,"Treated_2017","Treated_2017","9","10",0.406702794821646,-0.0340115107228581,-0.155831801358071
"14",14,"RES5","Treated","Treated",2017,"Treated_2017","Treated_2017","1","1",0.311611759093671,0.444513293538545,0.0432232914272432
"15",15,"RES6","Treated","Treated",2017,"Treated_2017","Treated_2017","9","9",0.487733617981221,0.484059336106584,-0.164397269208946
"16",16,"RES7","Treated","Treated",2017,"Treated_2017","Treated_2017","9","9",0.342689820763255,0.570549585092097,-0.498394814379968
"17",17,"RES8","Treated","Treated",2017,"Treated_2017","Treated_2017","1","1",0.185042398416132,0.366266536918295,0.0907221396536376
"18",18,"RESOW","Treated","Treated",2017,"Treated_2017","Treated_2017","9","10",0.762535499580874,-0.465689075231029,0.185760478428618
"19",19,"UNM1","Uninvaded","Meadow",2017,"Uninvaded_2017","Meadow_2017","1","1",-0.369110802663943,0.241747525937584,0.34991403872199
"20",20,"UNM2","Uninvaded","Meadow",2017,"Uninvaded_2017","Meadow_2017","1","1",-0.257913071996365,0.489302059972583,0.494705806913493
"21",21,"UNM3","Uninvaded","Meadow",2017,"Uninvaded_2017","Meadow_2017","9","9",0.0775073892466975,0.0638961611770993,0.6644624209844
"22",22,"UNM4","Uninvaded","Meadow",2017,"Uninvaded_2017","Meadow_2017","1","1",-0.304325955163251,0.379543041599908,-0.438754037587259
"23",23,"UNOW","Uninvaded","Meadow",2017,"Uninvaded_2017","Meadow_2017","9","9",0.718488403616281,-0.0976128691548477,0.395300100257695
"24",24,"UNT1","Uninvaded","Emergent",2017,"Uninvaded_2017","Emergent_2017","1","1",-0.496951958238131,0.373259859905589,-0.129859007092454
"25",25,"UNT2","Uninvaded","Emergent",2017,"Uninvaded_2017","Emergent_2017","1","1",-0.324598670058164,0.511925221026988,-0.0127453697051168
"26",26,"UNT3","Uninvaded","Emergent",2017,"Uninvaded_2017","Emergent_2017","9","9",0.0567515906400924,0.289169318286196,-0.128319198279434
"27",27,"UNT4","Uninvaded","Emergent",2017,"Uninvaded_2017","Emergent_2017","1","1",-0.0684948871431292,0.531058463415463,0.0560547059906793
"28",28,"IN1","Invaded","Phragmites",2018,"Invaded_2018","Phragmites_2018","7","7",-0.306055313186463,-0.25557740958056,0.218603061073224
"29",29,"IN2","Invaded","Phragmites",2018,"Invaded_2018","Phragmites_2018","7","7",-0.232604568799719,-0.290238155271054,0.350170363464967
"30",30,"IN3","Invaded","Phragmites",2018,"Invaded_2018","Phragmites_2018","7","7",-0.268979201669184,-0.574632010048903,-0.123069181288033
