"","Site","Treatment","TrtYr","HabYr","Year","Habitat","NMDS1","NMDS2","NMDS3"
"1","IN1","Invaded","Invaded_2017","Phragmites_2017","2017","Phragmites",-0.348651550400982,0.0517686622355667,-0.321652071041627
"2","IN2","Invaded","Invaded_2017","Phragmites_2017","2017","Phragmites",-0.537321247123856,0.2746837827043,0.036622979266429
"3","IN3","Invaded","Invaded_2017","Phragmites_2017","2017","Phragmites",-0.284490468705379,0.347612400450574,-0.164024284976334
"4","IN4","Invaded","Invaded_2017","Phragmites_2017","2017","Phragmites",-0.207431591978437,0.34808688813734,0.241303549546215
"5","IN5","Invaded","Invaded_2017","Phragmites_2017","2017","Phragmites",-0.490150046894892,0.130893651793845,-0.217070524787311
"6","IN6","Invaded","Invaded_2017","Phragmites_2017","2017","Phragmites",-0.544979805191364,0.0884819403804405,0.117458092000492
"7","IN7","Invaded","Invaded_2017","Phragmites_2017","2017","Phragmites",-0.51140320188742,-0.148362122240359,-0.400406518246464
"8","IN8","Invaded","Invaded_2017","Phragmites_2017","2017","Phragmites",-0.571139645597149,0.0311820946395366,-0.0602520660625343
"9","INOW","Invaded","Invaded_2017","Phragmites_2017","2017","Phragmites",0.625587602432182,0.0575537097160371,0.603316712663194
"10","RES1","Treated","Treated_2017","Treated_2017","2017","Treated",0.0794824326187135,0.124699583513736,-0.541285217399749
"11","RES2","Treated","Treated_2017","Treated_2017","2017","Treated",0.183245512513893,0.088812770885911,-0.435356130180901
"12","RES3","Treated","Treated_2017","Treated_2017","2017","Treated",0.28217890973144,-0.0636299241532448,-0.356262461854119
"13","RES4","Treated","Treated_2017","Treated_2017","2017","Treated",0.406702794821646,-0.0340115107228581,-0.155831801358071
"14","RES5","Treated","Treated_2017","Treated_2017","2017","Treated",0.311611759093671,0.444513293538545,0.0432232914272432
"15","RES6","Treated","Treated_2017","Treated_2017","2017","Treated",0.487733617981221,0.484059336106584,-0.164397269208946
"16","RES7","Treated","Treated_2017","Treated_2017","2017","Treated",0.342689820763255,0.570549585092097,-0.498394814379968
"17","RES8","Treated","Treated_2017","Treated_2017","2017","Treated",0.185042398416132,0.366266536918295,0.0907221396536376
"18","RESOW","Treated","Treated_2017","Treated_2017","2017","Treated",0.762535499580874,-0.465689075231029,0.185760478428618
"19","UNM1","Uninvaded","Uninvaded_2017","Meadow_2017","2017","Meadow",-0.369110802663943,0.241747525937584,0.34991403872199
"20","UNM2","Uninvaded","Uninvaded_2017","Meadow_2017","2017","Meadow",-0.257913071996365,0.489302059972583,0.494705806913493
"21","UNM3","Uninvaded","Uninvaded_2017","Meadow_2017","2017","Meadow",0.0775073892466975,0.0638961611770993,0.6644624209844
"22","UNM4","Uninvaded","Uninvaded_2017","Meadow_2017","2017","Meadow",-0.304325955163251,0.379543041599908,-0.438754037587259
"23","UNOW","Uninvaded","Uninvaded_2017","Meadow_2017","2017","Meadow",0.718488403616281,-0.0976128691548477,0.395300100257695
"24","UNT1","Uninvaded","Uninvaded_2017","Emergent_2017","2017","Emergent",-0.496951958238131,0.373259859905589,-0.129859007092454
"25","UNT2","Uninvaded","Uninvaded_2017","Emergent_2017","2017","Emergent",-0.324598670058164,0.511925221026988,-0.0127453697051168
"26","UNT3","Uninvaded","Uninvaded_2017","Emergent_2017","2017","Emergent",0.0567515906400924,0.289169318286196,-0.128319198279434
"27","UNT4","Uninvaded","Uninvaded_2017","Emergent_2017","2017","Emergent",-0.0684948871431292,0.531058463415463,0.0560547059906793
"28","IN1","Invaded","Invaded_2018","Phragmites_2018","2018","Phragmites",-0.306055313186463,-0.25557740958056,0.218603061073224
"29","IN2","Invaded","Invaded_2018","Phragmites_2018","2018","Phragmites",-0.232604568799719,-0.290238155271054,0.350170363464967
"30","IN3","Invaded","Invaded_2018","Phragmites_2018","2018","Phragmites",-0.268979201669184,-0.574632010048903,-0.123069181288033
"31","IN4","Invaded","Invaded_2018","Phragmites_2018","2018","Phragmites",-0.303250387096117,-0.202814563373171,-0.122952936331761
"32","IN5","Invaded","Invaded_2018","Phragmites_2018","2018","Phragmites",-0.228169619597111,-0.391116428743398,0.155023145077855
"33","IN6","Invaded","Invaded_2018","Phragmites_2018","2018","Phragmites",-0.0821850004374721,-0.511912043061992,0.249730500784486
"34","IN7","Invaded","Invaded_2018","Phragmites_2018","2018","Phragmites",-0.278307214272126,-0.340943913811825,-0.0439293195826084
"35","IN8","Invaded","Invaded_2018","Phragmites_2018","2018","Phragmites",-0.155760574382944,-0.0790992873109065,0.408693753608358
"36","INOW","Invaded","Invaded_2018","Phragmites_2018","2018","Phragmites",0.386687781007862,0.406835723533347,0.36677841575755
"37","RES1","Treated","Treated_2018","Treated_2018","2018","Treated",0.449145422493008,-0.301644556603626,-0.394219717571009
"38","RES2","Treated","Treated_2018","Treated_2018","2018","Treated",0.20276692722407,-0.255021218499488,-0.315692898593288
"39","RES3","Treated","Treated_2018","Treated_2018","2018","Treated",0.110221604235513,-0.130903405224535,-0.396141264902694
"40","RES4","Treated","Treated_2018","Treated_2018","2018","Treated",0.475961576665857,-0.430123921458378,-0.115546711003576
"41","RES5","Treated","Treated_2018","Treated_2018","2018","Treated",0.542249791754951,0.0851665328346218,-0.217124241068137
"42","RES6","Treated","Treated_2018","Treated_2018","2018","Treated",0.420450337144467,0.00517680363092136,0.0119190890672073
"43","RES7","Treated","Treated_2018","Treated_2018","2018","Treated",0.315153062835317,-0.14242403985434,-0.0163658036518583
"44","RES8","Treated","Treated_2018","Treated_2018","2018","Treated",0.616706097278226,-0.149460568940916,-0.178834615989598
"45","RESOW","Treated","Treated_2018","Treated_2018","2018","Treated",0.218177195720305,0.127815619818159,0.254395319230598
"46","UNM1","Uninvaded","Uninvaded_2018","Meadow_2018","2018","Meadow",0.0269447954701884,-0.205179756641704,0.258066947211742
"47","UNM2","Uninvaded","Uninvaded_2018","Meadow_2018","2018","Meadow",-0.115020931712807,0.18511669506517,0.220266149450635
"48","UNM3","Uninvaded","Uninvaded_2018","Meadow_2018","2018","Meadow",-0.511180809341331,-0.252932106798099,0.0462850587199446
"49","UNM4","Uninvaded","Uninvaded_2018","Meadow_2018","2018","Meadow",-0.465426058257856,-0.0647472816610477,0.365932262832688
"50","UNM5","Uninvaded","Uninvaded_2018","Meadow_2018","2018","Meadow",-0.0777900760319938,-0.454175951933458,-0.175083342963051
"51","UNM6","Uninvaded","Uninvaded_2018","Meadow_2018","2018","Meadow",-0.275021788557125,-0.311074214812318,-0.239366898214036
"52","UNOW","Uninvaded","Uninvaded_2018","Emergent_2018","2018","Emergent",0.791987276998611,0.101206421417025,0.0715239897197955
