taxa,maxgroup,IV,mean,stdev,pvalue
Oligochaeta,2,75.8,53.5,8.59,0.0062
Hirudinea,1,47.1,27,9.12,0.0312
Hydrazoa,2,84,32.1,9.77,0.0002
Bivalvia,2,60.5,38.6,8.17,0.0154
Gastropoda,2,86.6,52.1,10.32,0.0002
Nematoda,2,69.4,52.6,9.79,0.0602
Platyhelmint,1,9.4,22.3,9.74,0.9572
Acanthocepha,3,20,12.6,7.56,0.3173
Acari,2,66,52.7,8.43,0.061
Araneae,3,60.8,28.3,10.34,0.0124
Isopoda,2,58,46.1,7.91,0.0816
Amphipoda,2,62.1,39.2,7.38,0.0054
Ostracoda,2,86.3,46.3,11.1,0.0004
Collembola,3,65.4,32.6,9.99,0.0066
Dytiscidae,2,65,26.2,10.88,0.0036
Staphylinida,3,31,20.7,8.97,0.1146
Hydrophilidae,3,50,19.7,9.4,0.0134
Lampyridae,3,70,25.8,10.9,0.001
Curculionida,3,30,15.2,8.4,0.0974
Scirtidae,3,30,16.1,8.18,0.0924
Chironomidae,2,90.5,50.3,9.12,0.0002
Ceratopogonidae,2,92.2,64.5,9.76,0.0002
Culicidae,1,22.1,15.6,8.36,0.2276
Dolichopodid,3,30,14.7,8.07,0.0866
Sciomyzidae,3,13.5,15.1,8.28,0.6345
Tipulidae,3,39.6,21.3,9.32,0.0552
Ephydridae,2,10.1,12.7,7.55,0.4303
Tabanidae,3,10,11.9,1.8,1
Psychodidae,3,20,12.6,7.63,0.3129
Stratiomyida,3,29.5,18.6,8.17,0.0952
Cecidomyiida,3,42.7,27.7,8.63,0.0658
Cyclorrhapho,3,7.6,14,6.84,0.8886
Caenidae,2,95.2,37.2,11.51,0.0002
Corixidae,2,14.3,12,1.79,0.2893
Pleidae,2,29.5,20.4,8.79,0.1294
Sternorrhync,3,20,12.6,7.57,0.3197
Thysanoptera,3,40,17,8.36,0.0248
Crambidae,3,17.5,18.9,8.97,0.4813
Corduliidae,2,10.6,12.9,7.47,0.4297
Coenagrionid,3,10.5,22.1,9.01,1
Limnephilida,1,42.9,27.8,8.65,0.063
Leptoceridae,2,81.9,37.4,10.76,0.0006
Hydroptilida,2,28.6,12.5,7.53,0.0666
