"","X","Site","Habitat","NMDS1","NMDS2","NMDS3","group3","group4"
"1",1,1,"Invaded",-0.135536077747684,-0.424036548163036,-0.170593282100844,"1","1"
"2",2,2,"Treated",0.258115855569968,0.704283082424435,-0.328930045334068,"2","2"
"3",3,3,"Invaded",0.099789884987468,-0.345259516232851,-0.45058832964953,"1","1"
"4",4,4,"Invaded",0.300402496253929,-0.416151713506825,0.168940172691781,"1","1"
"5",5,5,"Uninvaded",-0.733381289692051,-0.0881065361977308,-0.115277556477063,"5","5"
"6",6,6,"Uninvaded",-0.257595620332277,-0.255772732077065,0.66354048600162,"5","6"
"7",7,7,"Uninvaded",-0.493695007964817,0.108697495558902,-0.385491496821491,"5","5"
"8",8,8,"Uninvaded",-0.392790087670727,-0.0599415766134399,-0.597782740581617,"5","5"
"9",9,9,"Treated",0.377434341062671,0.2464375978502,-0.242179563437724,"2","2"
"10",10,10,"Uninvaded",-0.836113540512602,-0.119394081918811,0.130655806252089,"5","5"
"11",11,11,"Invaded",0.439842872225354,-0.150674693933282,0.399143336938751,"1","1"
"12",12,12,"Treated",0.703253754100201,-0.843340649207989,-0.138164610611222,"1","1"
"13",13,13,"Uninvaded",-0.503588092780656,0.165780455990169,0.608569280704512,"5","6"
"14",14,14,"Treated",0.312044342196409,0.576768561025641,0.31328680104184,"2","2"
"15",15,15,"Invaded",0.192342841185859,-0.102886090153298,0.619870656904575,"5","6"
"16",16,16,"Uninvaded",-1.03321347912339,-0.0548163361260296,-0.280189744071142,"5","5"
"17",17,17,"Invaded",0.534837181430087,-0.203953629237663,-0.20384061356208,"1","1"
"18",18,18,"Invaded",0.385072384780812,-0.252475724485371,-0.252881736123095,"1","1"
"19",19,19,"Uninvaded",-0.315194765867276,-0.138627612039009,0.448165681802279,"5","6"
"20",20,20,"Invaded",0.111651569638538,-0.754705269671216,-0.0386706433790252,"1","1"
"21",21,21,"Treated",0.210883148011179,0.46277039104852,-0.291318658524689,"2","2"
"22",22,22,"Treated",-0.219287142117758,0.592855800635293,0.073703942289775,"5","6"
"23",23,23,"Treated",0.489579254956943,0.506662706478049,0.207620023396271,"2","2"
"24",24,24,"Treated",0.148221352894315,0.563870051287237,-0.0792198622617584,"2","2"
"25",25,25,"Treated",0.356923824515509,0.282016567265172,-0.0583673050881433,"2","2"
