Site ID,Habitat,Sample Type,Lampyridae,Chironomidae,Ceratopogonidae,Culicidae,Dolichopodidae,Tipulidae,Ephydridae,Tabanidae,Psychodidae,Stratiomyidae,Cecidomyiidae,Mycetophilidae,Cyclorrhaphous-Bracycera pupae,Caenidae,Thysanoptera,Crambidae,Corduliidae,Coenagrionidae,Limnephilidae,Leptoceridae,Hydroptilidae
IN3,Invaded,Vegetation,0,38,8,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,2,0
RES4,Treated,Vegetation,0,1415,48,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,6,1
IN5,Invaded,Vegetation,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
IN7,Invaded,Vegetation,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0
UNM2,Uninvaded,Vegetation,2,102,9,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0
UNM6,Uninvaded,Vegetation,31,86,8,0,0,10,3,0,1,0,2,0,0,4,3,0,0,3,3,0,0
UNT2,Uninvaded,Vegetation,0,67,2,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
UNT1,Uninvaded,Vegetation,5,169,5,0,1,4,0,5,0,0,0,0,0,0,0,0,0,0,6,3,0
RES8,Treated,Vegetation,0,616,26,0,0,0,0,0,0,0,0,0,0,181,0,1,0,0,0,4,0
UNM4,Uninvaded,Vegetation,1,30,12,0,0,0,0,0,0,1,3,0,4,0,0,1,0,0,0,0,0
IN4,Invaded,Vegetation,0,22,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,2,1,0
RESOW,Treated,Vegetation,0,11,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
UNM3,Uninvaded,Vegetation,2,23,11,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0
RES3,Treated,Vegetation,0,1747,33,0,0,0,5,0,0,0,0,0,0,70,0,0,0,2,0,19,0
IN2,Invaded,Vegetation,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0
UNM1,Uninvaded,Vegetation,7,28,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN8,Invaded,Vegetation,0,380,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0
IN6,Invaded,Vegetation,0,26,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0
UNM5,Uninvaded,Vegetation,2,39,15,1,0,2,0,0,0,1,1,0,0,3,2,0,1,1,2,0,0
IN1,Invaded,Vegetation,0,9,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
RES6,Treated,Vegetation,0,559,40,0,0,0,0,0,0,1,0,0,0,384,0,0,2,0,0,7,1
RES5,Treated,Vegetation,0,239,18,0,0,0,0,0,1,0,2,0,0,121,0,0,0,0,0,9,0
RES1,Treated,Vegetation,0,2675,670,0,0,0,0,0,0,0,0,0,0,871,0,0,0,1,0,8,0
RES2,Treated,Vegetation,0,1385,41,0,0,0,0,0,0,0,0,0,0,251,0,1,0,0,0,41,0
RES7,Treated,Vegetation,0,1109,132,0,0,0,0,0,0,0,1,0,0,180,0,0,0,0,2,3,0
