"","Site.ID","Habitat","Depth","Sample.Type","Collection.date","rich","abundance","H","D1","J"
"1","IN1","Invaded",23.3,"Vegetation","11-May-18",13,73,2.09479535221415,0.836554700694314,0.816700472514325
"2","IN2","Invaded",58,"Vegetation","16-May-18",14,330,1.11534815909021,0.512727272727273,0.422631273134492
"3","IN3","Invaded",22.3,"Vegetation","16-May-18",17,1352,1.02975216048886,0.46787577465775,0.36345733110751
"4","IN4","Invaded",28.7,"Vegetation","14-May-18",16,263,1.37549283907107,0.540704650927438,0.496104174426528
"5","IN5","Invaded",42,"Vegetation","16-May-18",14,431,1.09534468111095,0.445938598521756,0.415051491613728
"6","IN6","Invaded",26.3,"Vegetation","11-May-18",15,311,1.76553772036825,0.727784038626565,0.651959007129798
"7","IN7","Invaded",70.5,"Vegetation","14-May-18",16,144,1.64842836327197,0.654803240740741,0.594544856238297
"8","IN8","Invaded",48.3,"Vegetation","11-May-18",15,1767,1.28752255407481,0.660354630849354,0.475442646355216
"9","RES1","Treated",26.7,"Vegetation","15-May-18",19,9851,1.79031902803129,0.788986082457054,0.608034006036058
"10","RES2","Treated",27.2,"Vegetation","15-May-18",16,3089,1.79577024725828,0.747569802768227,0.647687207573867
"11","RES3","Treated",29.7,"Vegetation","15-May-18",16,3180,1.41641394187051,0.634889244887465,0.510863342445645
"12","RES4","Treated",35.3,"Vegetation","15-May-18",13,2193,1.3145492458812,0.555633114442608,0.512504951435834
"13","RES5","Treated",21.7,"Vegetation","15-May-18",14,1286,1.79926559537333,0.779816857701917,0.681783444104128
"14","RES6","Treated",51,"Vegetation","15-May-18",18,2471,1.94643319323204,0.822346012613168,0.673419669256942
"15","RES7","Treated",24,"Vegetation","15-May-18",18,6047,2.0073533810567,0.841385717617049,0.694496607771245
"16","RES8","Treated",23.2,"Vegetation","15-May-18",18,2213,1.95872265927265,0.816057356511221,0.677671532709122
"17","RESOW","Treated",49.7,"Vegetation","15-May-18",9,42,1.86669010184333,0.812925170068027,0.849567277326923
"18","UNM1","Uninvaded",16.3,"Vegetation","11-May-18",13,461,1.5496203044376,0.659784209560467,0.604152397757754
"19","UNM2","Uninvaded",16.7,"Vegetation","14-May-18",20,402,1.84979156364199,0.773743224177619,0.617475593520742
"20","UNM3","Uninvaded",7,"Vegetation","14-May-18",15,234,1.90441308291055,0.782781795602308,0.703241425190503
"21","UNM4","Uninvaded",15,"Vegetation","14-May-18",16,410,1.79874139900524,0.760440214158239,0.648758824046634
"22","UNM5","Uninvaded",34.8,"Vegetation","14-May-18",26,520,2.0686341116206,0.786989644970414,0.634921061263826
"23","UNM6","Uninvaded",36.2,"Vegetation","14-May-18",22,365,2.16890280217932,0.83793582285607,0.701673572882468
"24","UNT1","Uninvaded",24.7,"Vegetation","14-May-18",21,780,1.89251108050141,0.796370808678501,0.621611802577667
"25","UNT2","Uninvaded",32.8,"Vegetation","14-May-18",15,385,2.03992298600918,0.841612413560465,0.753281082152356
