,Site,Habitat,Community,Group4,Group3,Oligochaeta,Hirudinea,Hydrazoa,Bivalvia,Gastropoda,Nematoda,Platyhelminthes,Acanthocephala,Acari,Araneae,Isopoda,Amphipoda,Ostracoda,Collembola,Dytiscidae,Staphylinidae,Hydrophilidae,Lampyridae,Curculionidae,Scirtidae,Cryptophagidae,Chironomidae,Ceratopogonidae,Culicidae,Dolichopodidae,Sciomyzidae,Tipulidae,Ephydridae,Tabanidae,Psychodidae,Stratiomyidae,Cecidomyiidae,Mycetophilidae,Cyclorrhaphous.Bracycera.pupae,Caenidae,Corixidae,Pleidae,Sternorrhyncha,Thysanoptera,Crambidae,Corduliidae,Coenagrionidae,Limnephilidae,Leptoceridae,Hydroptilidae
1,IN3,Invaded,Phragmites,1,1,0.301041338,0.25,0,0.020408163,0.030181087,0.210848644,0,0,0.03451582,0,0.003478261,0.058823529,0.073972603,0,0.090909091,0.2,0,0,0,0,0,0.014205607,0.011940299,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666667,0.048780488,0
2,RES4,Treated,Treated,2,2,0.043862417,0,0.195121951,0.306122449,0.317907445,0.059492563,0,0,0.037392138,0,0.066086957,0.058823529,0.095890411,0,0,0,0,0,0,0,0,0.528971963,0.071641791,0,0,0,0,0,0,0,0,0,0,0,0.074626866,0,0,0,0,0,0,0,0,0.146341463,1
3,IN5,Invaded,Phragmites,1,1,0.015777848,0,0.048780488,0.081632653,0.011066398,0,0.142857143,0,0.001917546,0,0.549565217,0.352941176,0,0.285714286,0,0.4,0,0,0,0,0,0.004485981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.073170732,0
4,IN7,Invaded,Phragmites,1,1,0.003786683,1,0,0.040816327,0.015090543,0.000874891,0.142857143,0,0.001917546,0.1,0.140869565,0.235294118,0.002739726,0,0,0,0,0,0,0,0,0.004859813,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0.024390244,0
5,UNM2,Uninvaded,Meadow,5,5,0.002208899,0,0,0.020408163,0.093561368,0.005249344,0,0,0.12464046,1,0.006956522,0.235294118,0.005479452,0.326530612,0,1,0.333333333,0.064516129,0,0,0,0.038130841,0.013432836,0,0,0.5,0.1,0,0,0,0,0.666666667,0,0,0,0,0,1,0,1,0,0,0,0.048780488,0
6,UNM6,Uninvaded,Meadow,6,5,0.005048911,0,0,0.040816327,0.089537223,0.006124234,0,0,0.061361457,0.1,0.045217391,0.117647059,0,0.020408163,0,0,0.111111111,1,1,0.25,0,0.032149533,0.011940299,0,0,0,1,0.6,0,1,0,0.666666667,0,0,0.004592423,0,0,0,1,0,0,1,0.5,0,0
7,UNT2,Uninvaded,Emergent,5,5,0.023982329,0,0,0.428571429,0.005030181,0.069991251,0,1,0.069990412,0,0.04,0.176470588,0.032876712,0.367346939,0,0,0,0,0,0,0,0.025046729,0.002985075,0,1,0,0.2,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0
8,UNT1,Uninvaded,Emergent,5,5,0.076364784,0,0,0.448979592,0.010060362,0.102362205,1,0,0.14189837,0.2,0.006956522,0.058823529,0.043835616,0.224489796,0,0.2,0,0.161290323,0,0.25,0,0.06317757,0.007462687,0,1,0,0.4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.073170732,0
9,RES8,Treated,Treated,2,2,0.166298517,0.75,0.390243902,0.448979592,0.129778672,0.043744532,0.142857143,0,0.052732502,0,0.700869565,0.588235294,0.430136986,0,1,0,0,0,0,0,0,0.230280374,0.03880597,0,0,0,0,0,0,0,0,0,0,0,0.207807118,0,0.5,0,0,0.5,0,0,0,0.097560976,0
10,UNM4,Uninvaded,Meadow,5,5,0.02903124,0,0,0,0.04527163,0.000874891,0,0,0.15915628,0.1,0.017391304,0,0,0.632653061,0,0.6,1,0.032258065,0,0,0,0.011214953,0.017910448,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.5,0,0,0,0,0
11,IN4,Invaded,Phragmites,1,1,0.001893342,0,0,0,0.016096579,0.001749781,0,0,0.015340364,0,0.304347826,0.470588235,0.002739726,0.06122449,0,0,0,0,0,0,0,0.008224299,0.002985075,0,0,0,0.4,0,0,0,0,0,0,0,0.002296211,0,0.5,0,0,0,0,0.666666667,0.333333333,0.024390244,0
12,RESOW,Treated,Treated,1,1,0.003471127,0.25,0,0,0.002012072,0,0,0,0.001917546,0,0.008695652,0.117647059,0,0,0,0,0,0,0,0,0,0.00411215,0.001492537,0,0,0,0,0,0,0,0,0,0,0,0.008036739,0,0,0,0,0,0,0,0,0,0
13,UNM3,Uninvaded,Meadow,6,5,0.011044494,0,0,0,0.036217304,0.080489939,0,0,0.0105465,0.6,0.015652174,0,0,0.040816327,0.090909091,0,0,0.064516129,0,0,0,0.008598131,0.01641791,0,0,0,0,0,0,0,1,0.333333333,0,0,0,0,0.5,0,1,0,0,0,0,0,0
14,RES3,Treated,Treated,2,2,0.233196592,0,0.926829268,0.102040816,0.221327968,0.079615048,0,0,0.161073826,0,0.010434783,0.058823529,0.095890411,0,0.090909091,0,0,0,0,0,0,0.653084112,0.049253731,0,0,0,0,1,0,0,0,0,0,0,0.080367394,0,0,0,0,0,0,0.666666667,0,0.463414634,0
15,IN2,Invaded,Phragmites,6,5,0.020195645,0,0.536585366,0.020408163,0.005030181,0.001749781,0,0,0,0,0.382608696,0.176470588,0.002739726,0,0,0,0,0,0.5,0,0,0.002242991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0.333333333,0,0
16,UNM1,Uninvaded,Meadow,5,5,0.022088987,0,0,0,0.00804829,0.018372703,0,0,0.241610738,0.6,0,0,0.002739726,1,0,0.8,0.555555556,0.225806452,0,0,0,0.01046729,0.013432836,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,IN8,Invaded,Phragmites,1,1,0.264121174,0.75,0.024390244,0.142857143,0.021126761,0.01399825,0,0,0.013422819,0,0.805217391,0.117647059,0.032876712,0.040816327,0,0,0,0,0,0,0,0.142056075,0.004477612,0,0,0,0,0,0,0,0,0,0,0,0.004592423,0,0,0,0,0,0,0,0.333333333,0,0
18,IN6,Invaded,Phragmites,1,1,0.014831177,0.25,0.073170732,0.551020408,0.021126761,0.000874891,0,0,0.015340364,0,0.257391304,0.176470588,0.005479452,0,0,0,0,0,0,0,0,0.009719626,0.011940299,0,0,0,0,0,0,0,0,0,0,0,0.001148106,0,0,0,0,0,0,0,0.5,0.097560976,0
19,UNM5,Uninvaded,Meadow,6,5,0.020826759,0.25,0.195121951,0.12244898,0.047283702,0.052493438,0,1,0.203259827,0,0.026086957,0,0.038356164,0.265306122,0,0,0.111111111,0.064516129,0.5,1,0,0.014579439,0.02238806,0.25,0,1,0.2,0,0,0,1,0.333333333,0,0,0.003444317,0,0,0,0.666666667,0,0.5,0.333333333,0.333333333,0,0
20,IN1,Invaded,Phragmites,1,1,0.000631114,0.25,0,0,0.010060362,0.002624672,0.142857143,0,0.011505273,0,0.03826087,0.235294118,0,0.102040816,0,0,0,0,0,0,0,0.003364486,0.002985075,0,0,0,0,0,0,0,0,0.333333333,0,0.25,0,0,0,0,0,0,0,0,0,0,0
