25,Site,,,,,,,,,,,,,,,,,,,,,,,
24,Species,,,,,,,,,,,,,,,,,,,,,,,
,C,C,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
,Habitat,Sample Type,Staphylinida,Lampyridae,Curculionida,Scirtidae,Chironomidae,Ceratopogoni,Culicidae,Dolichopodid,Sciomyzidae,Tipulidae,Ephydridae,Psychodidae,Stratiomyida,CyclorBrapup,Caenidae,Thysanoptera,Crambidae,Corduliidae,Coenagrionid,Limnephilida,Leptoceridae,Hydroptilida
IN1,Invaded,Vegetation,0.,0.,0.,0.,0.003364,0.002985,0.,0.,0.,0.,0.,0.,0.,0.25,0.,0.,0.,0.,0.,0.,0.,0.,
IN2,Invaded,Vegetation,0.,0.,0.5,0.,0.002243,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.333333,0.,0.,0.333333,0.333333,0.,0.,
IN3,Invaded,Vegetation,0.2,0.,0.,0.,0.014206,0.01194,0.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.666667,0.04878,0.,
IN4,Invaded,Vegetation,0.,0.,0.,0.,0.008224,0.002985,0.,0.,0.,0.4,0.,0.,0.,0.,0.002296,0.,0.,0.,0.666667,0.333333,0.02439,0.,
IN5,Invaded,Vegetation,0.4,0.,0.,0.,0.004486,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.666667,0.073171,0.,
IN6,Invaded,Vegetation,0.,0.,0.,0.,0.00972,0.01194,0.,0.,0.,0.,0.,0.,0.,0.,0.001148,0.,0.,0.,0.,0.5,0.097561,0.,
IN7,Invaded,Vegetation,0.,0.,0.,0.,0.00486,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.666667,0.5,0.02439,0.,
IN8,Invaded,Vegetation,0.,0.,0.,0.,0.142056,0.004478,0.,0.,0.,0.,0.,0.,0.,0.,0.004592,0.,0.,0.,0.,0.333333,0.,0.,
RES1,Restored,Vegetation,0.,0.,0.,0.,1.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.333333,0.,0.195122,0.,
RES2,Restored,Vegetation,0.,0.,0.,0.,0.517757,0.061194,0.,0.,0.,0.,0.,0.,0.,0.,0.288175,0.,0.5,0.,0.,0.,1.,0.,
RES3,Restored,Vegetation,0.,0.,0.,0.,0.653084,0.049254,0.,0.,0.,0.,1.,0.,0.,0.,0.080367,0.,0.,0.,0.666667,0.,0.463415,0.,
RES4,Restored,Vegetation,0.,0.,0.,0.,0.528972,0.071642,0.,0.,0.,0.,0.,0.,0.,0.,0.074627,0.,0.,0.,0.,0.,0.146341,1.,
RES5,Restored,Vegetation,0.,0.,0.,0.,0.089346,0.026866,0.,0.,0.,0.,0.,1.,0.,0.,0.138921,0.,0.,0.,0.,0.,0.219512,0.,
RES6,Restored,Vegetation,0.,0.,0.,0.,0.208972,0.059701,0.,0.,0.,0.,0.,0.,1.,0.,0.440873,0.,0.,1.,0.,0.,0.170732,1.,
RES7,Restored,Vegetation,0.,0.,0.,0.,0.414579,0.197015,0.,0.,0.5,0.,0.,0.,0.,0.,0.206659,0.,0.,0.,0.,0.333333,0.073171,0.,
RES8,Restored,Vegetation,0.,0.,0.,0.,0.23028,0.038806,0.,0.,0.,0.,0.,0.,0.,0.,0.207807,0.,0.5,0.,0.,0.,0.097561,0.,
RESOW,Restored,Vegetation,0.,0.,0.,0.,0.004112,0.001493,0.,0.,0.,0.,0.,0.,0.,0.,0.008037,0.,0.,0.,0.,0.,0.,0.,
UNM1,Uninvaded,Vegetation,0.8,0.225806,0.,0.,0.010467,0.013433,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,
UNM2,Uninvaded,Vegetation,1.,0.064516,0.,0.,0.038131,0.013433,0.,0.,0.5,0.1,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.04878,0.,
UNM3,Uninvaded,Vegetation,0.,0.064516,0.,0.,0.008598,0.016418,0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,0.,0.,0.,0.,0.,0.,
UNM4,Uninvaded,Vegetation,0.6,0.032258,0.,0.,0.011215,0.01791,0.,0.,0.,0.,0.,0.,1.,1.,0.,0.,0.5,0.,0.,0.,0.,0.,
UNM5,Uninvaded,Vegetation,0.,0.064516,0.5,1.,0.014579,0.022388,0.25,0.,1.,0.2,0.,0.,1.,0.,0.003444,0.666667,0.,0.5,0.333333,0.333333,0.,0.,
UNM6,Uninvaded,Vegetation,0.,1.,1.,0.25,0.03215,0.01194,0.,0.,0.,1.,0.6,1.,0.,0.,0.004592,1.,0.,0.,1.,0.5,0.,0.,
UNT1,Uninvaded,Vegetation,0.2,0.16129,0.,0.25,0.063178,0.007463,0.,1.,0.,0.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.073171,0.,
UNT2,Uninvaded,Vegetation,0.,0.,0.,0.,0.025047,0.002985,0.,1.,0.,0.2,0.,0.,0.,0.,0.,0.,0.5,0.,0.,0.,0.,0.,
