Site,Treatment,Habitat,Year,TrtYr,ClusterGroups4,ClusterGroup5,ClusterGroup3
IN1,Invaded,Phragmites,2017,Invaded_2017,1,1,1
IN2,Invaded,Phragmites,2017,Invaded_2017,1,1,1
IN3,Invaded,Phragmites,2017,Invaded_2017,1,1,1
IN4,Invaded,Phragmites,2017,Invaded_2017,4,4,4
IN5,Invaded,Phragmites,2017,Invaded_2017,1,1,1
IN6,Invaded,Phragmites,2017,Invaded_2017,1,1,1
IN7,Invaded,Phragmites,2017,Invaded_2017,7,7,1
IN8,Invaded,Phragmites,2017,Invaded_2017,1,1,1
INOW,Invaded,Phragmites,2017,Invaded_2017,4,9,4
IN1,Invaded,Phragmites,2018,Invaded_2018,7,7,1
IN2,Invaded,Phragmites,2018,Invaded_2018,7,7,1
IN3,Invaded,Phragmites,2018,Invaded_2018,7,7,1
IN3,Invaded,Phragmites,2018,Invaded_2018,7,7,1
IN5,Invaded,Phragmites,2018,Invaded_2018,7,7,1
IN6,Invaded,Phragmites,2018,Invaded_2018,7,7,1
IN7,Invaded,Phragmites,2018,Invaded_2018,7,7,1
IN8,Invaded,Phragmites,2018,Invaded_2018,7,7,1
INOW,Invaded,Phragmites,2018,Invaded_2018,4,4,4
UNM1,Uninvaded,Meadow,2018,Uninvaded_2018,7,7,1
UNM2,Uninvaded,Meadow,2018,Uninvaded_2018,4,4,4
UNM3,Uninvaded,Meadow,2018,Uninvaded_2018,1,1,1
UNM4,Uninvaded,Meadow,2018,Uninvaded_2018,7,7,1
UNM5,Uninvaded,Meadow,2018,Uninvaded_2018,7,7,1
UNM6,Uninvaded,Meadow,2018,Uninvaded_2018,7,7,1
UNM2,Uninvaded,Meadow,2017,Uninvaded_2017,4,4,4
UNM3,Uninvaded,Meadow,2017,Uninvaded_2017,4,9,4
UNM4,Uninvaded,Meadow,2017,Uninvaded_2017,1,1,1
UNOW,Uninvaded,Emergent,2017,Uninvaded_2017,4,9,4
UNOW,Uninvaded,Emergent,2018,Uninvaded_2018,4,9,4
RES1,Treated,Treated,2017,Treated_2017,30,30,30
RES2,Treated,Treated,2017,Treated_2017,30,30,30
RES3,Treated,Treated,2017,Treated_2017,30,30,30
RES4,Treated,Treated,2017,Treated_2017,30,30,30
RES5,Treated,Treated,2017,Treated_2017,4,4,4
RES6,Treated,Treated,2017,Treated_2017,4,9,4
RES7,Treated,Treated,2017,Treated_2017,4,9,4
RES8,Treated,Treated,2017,Treated_2017,4,4,4
RESOW,Treated,Treated,2017,Treated_2017,4,9,4
RES1,Treated,Treated,2018,Treated_2018,30,30,30
RES2,Treated,Treated,2018,Treated_2018,30,30,30
RES3,Treated,Treated,2018,Treated_2018,30,30,30
RES4,Treated,Treated,2018,Treated_2018,30,30,30
RES5,Treated,Treated,2018,Treated_2018,30,30,30
RES6,Treated,Treated,2018,Treated_2018,4,9,4
RES7,Treated,Treated,2018,Treated_2018,30,30,30
RES8,Treated,Treated,2018,Treated_2018,30,30,30
RESOW,Treated,Treated,2018,Treated_2018,4,4,4
UNT1,Uninvaded,Emergent,2017,Uninvaded_2017,1,1,1
UNT2,Uninvaded,Emergent,2017,Uninvaded_2017,4,4,4
UNT3,Uninvaded,Emergent,2017,Uninvaded_2017,4,9,4
UNT4,Uninvaded,Emergent,2017,Uninvaded_2017,4,4,4
UNT1,Uninvaded,Emergent,2018,Uninvaded_2018,7,7,1
UNT2,Uninvaded,Emergent,2018,Uninvaded_2018,7,7,1
UNM1,Uninvaded,Meadow,2017,Uninvaded_2017,1,1,1
