,Araneae,Acari,Curculionidae,Staphylinidae,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagidae,Latridiidae,Phalacridae,Scirtidae,Coccinellidae,Lampyridae,Chrysomelidae,Nitidulidae,Anthicidae.lar,Coccinellidae.Larvae,Erotylidae.Larvae,Collembola,Cecidomyiidae,Sciaridae,Scatopsidae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Chaoboridae,Dolichopodidae,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Agromyzidae,Drosophilidae,Muscidae,Anthomyiidae,Calliphoridae,Stratiomyidae,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronidae,Scelionidae,Platygastridae,Braconidae,Ichneumonidae,Pompilidae,Formicidae,Diapriidae,Sphecidae,Crabronidae,Eurytomidae,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Lestidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Molannidae,Polycentropodidae,Phryganeidae,Limnephilidae,Psocoptera,Cosmopterigidae,Gracillariidae,Noctuidae,Crambidae
1,0.258426966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.083333333,0.004643963,0.027922078,0.016393443,0,0.588235294,0,0,0.27027027,0,0.5,0,0.166666667,0,0.333333333,0.5,0,0,0,0,0.333333333,0,0,0,0,0.155279503,0,0,0.333333333,0,0.166666667,0,1,0,0.5,0,0,0,0,0,0,0.015136719,0,0,0.125,1,0,0,0,0,0,0.104477612,0,0.090909091,0.125,0,0,0,0,0,0
2,0.258426966,0,0,0.5,0.5,0,0,0.285714286,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.024675325,0.032786885,0,1,0,1,0.081081081,0.75,0,1,0,0,0.333333333,1,0,0.5,0,0,0,0,0.25,0,0,0.055900621,0,0,0.083333333,0,0.166666667,1,0,0,1,0,0,0,0,0,0,0.000976563,0,0,0,0.5,0.083333333,0,0.016129032,0,0,0.014925373,0,0,0,0,0,0,0,0,0
3,0.02247191,0,0,0,0,0,0,0.142857143,0,0,0,0,0.25,0,0,0,0,0.2,0,0,0,0,0,0.166666667,0.00619195,0.011471861,0,0,0.352941176,0,0,0.135135135,0.25,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.229813665,1,0,0,0,0,0.5,0,0,0.5,0,0,1,0.5,0,0,0.069335938,0.03125,0,0,0,0,0,0,0,0.014354067,0.029850746,0,0,0,0,0,0,0,0,0
4,0.337078652,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.002321981,0.04025974,0.016393443,0,0,0,0,0.108108108,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0.062111801,0.333333333,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0.008300781,0.0625,0,0,0,0,0.5,0.016129032,0,0,0.074626866,0,0,0,0,0,0,0,0,0
5,0.202247191,0.379310345,0.5,0,0.5,0,0,0.285714286,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.003095975,0.089393939,0.049180328,0,0.235294118,0,0,0.108108108,0.25,0,0.5,1,0,0.333333333,0,0,0,0,0,0,1,0,0.037037037,0,1,0,0.4,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0.5,0,0,0.005371094,0,0,0,1,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0,0
6,0.101123596,1,0.5,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0.2,0,0,1,0,1,0.083333333,0,0.018181818,0.06557377,0,0.764705882,0,0,0.189189189,0.75,0,0,0.166666667,0,0,0.25,0,0,1,0,0,0,0,0,0,0.074534161,0.333333333,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.002441406,0,0,0,1,0.666666667,0,0.032258065,0.03030303,0.004784689,0,0,0,0,0,0.087719298,0,0,0,0
7,0.235955056,0,0,0,0,0.076923077,0,0,0,0,0,0,0.125,0.833333333,1,0,0,0,0,0,0.5,0,0,0,0.013157895,0.016017316,0,0,0.058823529,0,0.5,0.054054054,0,0,0,0.166666667,0,0,0,0,0,0.6,0,0,0,0,0.074074074,0.75,0.173913043,0,0,1,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.010742188,0.0625,0,0.75,0,0,0,0,0.03030303,0.004784689,0.014925373,0,0,0,0,0,0,0,0,0
8,0.292134831,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0.5,0,0,0.083333333,0.000773994,0.015800866,0.06557377,0,1,0,0,0.459459459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0.055900621,0,0.2,0.166666667,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0.225585938,0.0625,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002321981,0.013636364,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259259259,0,0.01863354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0.076555024,0.059701493,0.285714286,0,0,0,0,0,0,0,0
10,0.168539326,0,0,0,0.5,1,0,0.571428571,0,0.2,0,0,0,0.166666667,0,0.833333333,1,0,0.333333333,0.4,0.5,0,0,0.083333333,0.01006192,0.045887446,0.016393443,0,0,0,0,0.189189189,0.25,0.5,0,0,0,0.333333333,0,0.111111111,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0.241935484,0.212121212,0,0.044776119,0,0.090909091,0,0.133333333,0,0,0,0,0
11,0.269662921,0,0,0,0,0.384615385,0,0.714285714,0,0.4,0.5,0,0.25,0,0,0,0,0,1,0,0.5,0,0,0.083333333,0,0.027705628,0.721311475,0,0,0,0,1,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0,0,0,0.166666667,0,0.370967742,0.090909091,0,0.059701493,0,0,0,0,0.140350877,0,0,0,0
12,0,0,0,0.5,0,0.384615385,0,0,0.5,0,0,0,0.125,0,0,1,0,0,0,0,0,0,0,0.583333333,0.00619195,0.043506494,0.06557377,0,0,0,0,0.054054054,0,0,0,1,0,0,0,0.555555556,0.5,0.133333333,0,1,0.636363636,0,0,0,0.00621118,0,0.2,0.083333333,1,0,0,0,1,0,0,0,0,0,0,0,0.002441406,0.15625,0,0,0,0,1,0.274193548,0.060606061,0,0,0,0.090909091,0.125,0.033333333,0,0,0,0,0
