"","ID","TrtYr","Treatment","Habitat","Year","N","rich","abundance","H","D1","J"
"1","IN1","Invaded_2017","Invaded","Phragmites","2017",4,24,267,1.94103114422193,0.732062450027353,0.610760939820022
"2","IN2","Invaded_2017","Invaded","Phragmites","2017",4,26,203,1.80131482277769,0.659855856730326,0.552873373074317
"3","IN3","Invaded_2017","Invaded","Phragmites","2017",4,21,274,1.61558428794667,0.673530822100272,0.530652777568209
"4","IN4","Invaded_2017","Invaded","Phragmites","2017",3,19,271,1.291521367004,0.510341634781661,0.438630712384342
"5","IN5","Invaded_2017","Invaded","Phragmites","2017",4,25,667,1.28731856884868,0.556493867009524,0.399927999366483
"6","IN6","Invaded_2017","Invaded","Phragmites","2017",4,29,216,2.34044991487532,0.812757201646091,0.695053251345819
"7","IN7","Invaded_2017","Invaded","Phragmites","2017",4,24,219,2.29690311593193,0.836971706177936,0.72273889573496
"8","IN8","Invaded_2017","Invaded","Phragmites","2017",4,21,629,1.09391689088243,0.443523295108444,0.359306562279901
"9","INOW","Invaded_2017","Invaded","Phragmites","2017",4,10,101,1.32280938912345,0.577002254680914,0.574488818306127
"10","IN1","Invaded_2018","Invaded","Phragmites","2018",6,29,317,1.54884216087236,0.543064415010598,0.459966168424999
"11","IN2","Invaded_2018","Invaded","Phragmites","2018",6,20,313,2.00623457489661,0.782757811144342,0.669697553619004
"12","IN3","Invaded_2018","Invaded","Phragmites","2018",6,29,307,1.67038186981623,0.563337542042886,0.496060326788377
"13","IN3","Invaded_2018","Invaded","Phragmites","2018",6,36,757,1.20530713837153,0.400576565005785,0.336347361091613
"14","IN5","Invaded_2018","Invaded","Phragmites","2018",6,33,340,2.22240973054722,0.809844290657439,0.635608443991212
"15","IN6","Invaded_2018","Invaded","Phragmites","2018",6,23,273,1.77277326374962,0.686551543694401,0.565388784563358
"16","IN7","Invaded_2018","Invaded","Phragmites","2018",6,32,355,2.3605874799919,0.829549692521325,0.681121570193779
"17","IN8","Invaded_2018","Invaded","Phragmites","2018",6,20,756,0.891962637473612,0.323139749727051,0.297744443102531
"18","INOW","Invaded_2018","Invaded","Phragmites","2018",5,18,619,0.892537729942506,0.354206195306934,0.308796862377372
"19","UNM1","Uninvaded_2018","Uninvaded","Meadow","2018",6,26,1242,0.713590742032144,0.263780303442839,0.219020748373982
"20","UNM2","Uninvaded_2018","Uninvaded","Meadow","2018",6,18,255,1.06192807163792,0.40399846212995,0.367401898643957
"21","UNM3","Uninvaded_2018","Uninvaded","Meadow","2018",6,27,129,2.33537116411022,0.806922660897783,0.708582147435435
"22","UNM4","Uninvaded_2018","Uninvaded","Meadow","2018",6,27,2256,0.510473501290112,0.174521606684774,0.154884335009268
