ID,Treatment,Habitat,Year,N,Araneae,Acari,Curculionidae,Staphylinidae,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagidae,Latridiidae,Phalacridae,Scirtidae,Coccinellidae,Lampyridae,Chrysomelidae,Nitidulidae,Anthicidae.lar,Coccinellidae Larvae,Erotylidae Larvae,Collembola,Cecidomyiidae,Sciaridae,Scatopsidae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Chaoboridae,Dolichopodidae,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Agromyzidae,Drosophilidae,Muscidae,Anthomyiidae,Calliphoridae,Stratiomyidae,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronidae,Scelionidae,Platygastridae,Braconidae,Ichneumonidae,Pompilidae,Formicidae,Diapriidae,Sphecidae,Crabronidae,Eurytomidae ,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Lestidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Molannidae,Polycentropodidae,Phryganeidae,Limnephilidae,Psocoptera,Cosmopterigidae,Gracillariidae,Noctuidae,Crambidae
IN1,Invaded,Phragmites,2017,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,129,1,0,10,0,0,10,0,1,0,1,0,1,4,0,0,0,0,3,0,0,0,0,25,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,31,0,0,1,2,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0
IN2,Invaded,Phragmites,2017,4,23,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,114,2,0,17,0,2,3,3,0,2,0,0,1,8,0,1,0,0,0,0,1,0,0,9,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
IN3,Invaded,Phragmites,2017,4,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,8,53,0,0,6,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,1,0,0,1,0,0,1,1,0,0,142,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
IN4,Invaded,Phragmites,2017,3,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,186,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,17,2,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0
IN5,Invaded,Phragmites,2017,4,18,11,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,413,3,0,4,0,0,4,1,0,1,6,0,1,0,0,0,0,0,0,11,0,1,0,161,0,2,4,0,2,0,0,0,0,0,0,0,1,0,0,11,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IN6,Invaded,Phragmites,2017,4,9,29,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,1,0,84,4,0,13,0,0,7,3,0,0,1,0,0,2,0,0,15,0,0,0,0,0,0,12,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,8,0,2,1,1,0,0,0,0,0,5,0,0,0,0
IN7,Invaded,Phragmites,2017,4,21,0,0,0,0,1,0,0,0,0,0,0,1,5,5,0,0,0,0,0,1,0,0,0,17,74,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,9,0,0,0,0,2,3,28,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,22,2,0,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
IN8,Invaded,Phragmites,2017,4,26,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,73,4,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,2,0,0,0,0,0,1,1,0,1,0,0,0,462,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
INOW,Invaded,Phragmites,2017,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,4,2,0,0,0,0,0,0,0,0
IN1,Invaded,Phragmites,2018,6,15,0,0,0,1,13,0,4,0,1,0,0,0,1,0,5,1,0,1,2,1,0,0,1,13,212,1,0,0,0,0,7,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,7,0,3,0,1,0,4,0,0,0,0,0
IN2,Invaded,Phragmites,2018,6,24,0,0,0,0,5,0,5,0,2,1,0,2,0,0,0,0,0,3,0,1,0,0,1,0,128,44,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,23,3,0,4,0,0,0,0,8,0,0,0,0
IN3,Invaded,Phragmites,2018,6,0,0,0,1,0,5,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,8,201,4,0,0,0,0,2,0,0,0,6,0,0,0,5,1,2,0,9,7,0,0,0,1,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,5,5,0,0,0,0,2,17,2,0,0,0,1,1,1,0,0,0,0,0
IN3,Invaded,Phragmites,2018,6,1,0,0,2,0,6,0,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,24,584,3,0,8,0,0,2,1,1,0,2,0,0,0,0,0,0,0,2,3,0,1,0,2,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,3,29,0,0,0,9,1,18,5,0,4,0,0,0,17,10,0,0,0,1
IN5,Invaded,Phragmites,2018,6,17,0,0,0,0,8,0,3,0,2,0,0,2,2,0,0,0,5,1,0,0,0,0,12,1,117,61,2,0,0,0,2,1,0,0,0,0,0,1,1,2,3,0,0,0,0,1,1,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,7,1,62,0,1,3,0,0,1,8,3,0,0,0,0
IN6,Invaded,Phragmites,2018,6,11,0,0,2,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,140,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,10,4,5,3,0,0,0,3,57,0,0,0,0
IN7,Invaded,Phragmites,2018,6,21,0,1,0,0,1,0,7,1,1,0,0,8,0,0,0,1,0,0,0,1,0,0,4,0,125,56,9,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,4,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,4,2,30,0,0,5,0,0,2,17,24,1,0,1,0
IN8,Invaded,Phragmites,2018,6,15,0,0,0,0,0,0,6,0,5,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,620,11,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,30,0,6,0,0,0,0,30,5,0,0,0,0
INOW,Invaded,Phragmites,2018,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,26,494,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,8,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,48,6,0,0,0,0,0,1,0,0,0
UNM1,Uninvaded,Meadow,2018,6,8,0,0,0,0,2,0,0,0,2,0,0,7,3,0,1,0,3,0,1,0,0,0,0,80,1062,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,32,0,0,0,0,0,1,8,0,1,0,1,1,1,0,0,0,0,1
UNM2,Uninvaded,Meadow,2018,6,4,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,195,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,Meadow,2018,6,6,0,2,1,1,2,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,9,51,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,6,0,1,0,0,0,0,1,2,0,0,6,19,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0
UNM4,Uninvaded,Meadow,2018,6,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,45,54,0,0,0,0,0,23,4,0,0,1,0,0,0,0,1,1,0,0,0,3,1,4,1,0,1,3,1,0,1,0,0,0,0,3,0,0,0,1,2048,19,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,1
UNM5,Uninvaded,Meadow,2018,6,4,0,0,0,0,1,0,1,0,4,0,0,0,6,0,3,0,0,0,3,0,2,0,0,23,79,0,0,0,0,0,4,1,1,0,0,3,0,0,9,2,1,0,1,3,1,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,32,13,2,3,0,0,0,0,8,1,1,0,0,1,3,0,0,1,0,0
UNM6,Uninvaded,Meadow,2018,6,89,0,2,0,0,6,0,1,0,0,0,0,2,3,0,2,0,0,0,0,1,0,0,0,14,380,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,8,4,0,0,4,3,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,27,2,0,8,0,1,1,29,12,0,1,0,3,1,0,0,0,0,0,0
UNM2,Uninvaded,Meadow,2017,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,Meadow,2017,4,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,186,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0
UNM4,Uninvaded,Meadow,2017,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,376,1,0,8,0,1,4,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNOW,Uninvaded,Emergent,2017,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,3,7,11,1,0,0,0,0,0,0
UNOW,Uninvaded,Emergent,2018,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1377,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,14,0,8,4,0,0,0,0,0,0
RES1,Treated,Treated,2017,4,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,435,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0
